Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-10-31,2007-10-31,80.1,,
2007-11-30,2007-11-30,80.7,,
2007-12-31,2007-12-31,79.5,,
2008-01-31,2008-01-31,80.0,,
2008-02-29,2008-02-29,78.7,,
2008-03-31,2008-03-31,79.6,,
2008-04-30,2008-04-30,74.7,,
2008-05-31,2008-05-31,78.0,,
2008-06-30,2008-06-30,75.4,,
2008-07-31,2008-07-31,78.0,,
2008-08-31,2008-08-31,74.4,,
2008-09-30,2008-09-30,76.1,,
2008-10-31,2008-10-31,74.4,,
2008-11-30,2008-11-30,76.2,,
2008-12-31,2008-12-31,75.6,,
2009-01-31,2009-01-31,76.4,,
2009-02-28,2009-02-28,75.8,,
2009-03-31,2009-03-31,72.8,,
2009-04-30,2009-04-30,75.6,,
2009-05-31,2009-05-31,71.3,,
2009-06-30,2009-06-30,75.8,,
2009-07-31,2009-07-31,72.3,,
2009-08-31,2009-08-31,75.9,,
2009-09-30,2009-09-30,74.2,,
2009-10-31,2009-10-31,76.0,,
2009-11-30,2009-11-30,73.9,,
2009-12-31,2009-12-31,77.8,,
2010-01-31,2010-01-31,74.4,,
2010-02-28,2010-02-28,76.8,,
2010-03-31,2010-03-31,75.2,,
2010-04-30,2010-04-30,75.7,,
2010-05-31,2010-05-31,76.4,,
2010-06-30,2010-06-30,76.1,,
2010-07-31,2010-07-31,74.4,,
2010-08-31,2010-08-31,76.6,,
2010-09-30,2010-09-30,74.8,,
2010-10-31,2010-10-31,76.4,,
2010-11-30,2010-11-30,74.6,,
2010-12-31,2010-12-31,74.5,,
2011-01-31,2011-01-31,74.8,,
2011-02-28,2011-02-28,74.8,,
2011-03-31,2011-03-31,76.6,,
2011-04-30,2011-04-30,82.0,,
2011-05-31,2011-05-31,75.5,,
2011-06-30,2011-06-30,73.0,,
2011-07-31,2011-07-31,77.7,,
2011-08-31,2011-08-31,76.6,,
2011-09-30,2011-09-30,76.9,,
2011-10-31,2011-10-31,76.0,,
2011-11-30,2011-11-30,76.9,,
2011-12-31,2011-12-31,76.2,,
2012-01-31,2012-01-31,76.3,,
2012-02-29,2012-02-29,73.8,,
2012-03-31,2012-03-31,74.8,,
2012-04-30,2012-04-30,74.6,,
2012-05-31,2012-05-31,75.4,,
2012-06-30,2012-06-30,74.5,,
2012-07-31,2012-07-31,75.6,,
2012-08-31,2012-08-31,74.8,,
2012-09-30,2012-09-30,73.7,,
2012-10-31,2012-10-31,74.3,,
2012-11-30,2012-11-30,74.4,,
2012-12-31,2012-12-31,75.0,,
2013-01-31,2013-01-31,74.1,,
2013-02-28,2013-02-28,75.2,,
2013-03-31,2013-03-31,74.2,,
2013-04-30,2013-04-30,73.0,,
2013-05-31,2013-05-31,73.0,,
2013-06-30,2013-06-30,73.5,,
2013-07-31,2013-07-31,72.9,,
2013-08-31,2013-08-31,72.4,,
2013-09-30,2013-09-30,74.8,,
2013-10-31,2013-10-31,77.0,,
2013-11-30,2013-11-30,75.0,,
2013-12-31,2013-12-31,73.7,,
