Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,11.84,,
2003-07-31,2003-07-31,11.07,,
2003-08-31,2003-08-31,11.82,,
2003-09-30,2003-09-30,12.94,,
2003-10-31,2003-10-31,11.61,,
2003-11-30,2003-11-30,11.25,,
2003-12-31,2003-12-31,11.91,,
2004-01-31,2004-01-31,11.35,,
2004-02-29,2004-02-29,11.71,,
2004-03-31,2004-03-31,11.65,,
2004-04-30,2004-04-30,10.42,,
2004-05-31,2004-05-31,9.19,,
2004-06-30,2004-06-30,9.8,,
2004-07-31,2004-07-31,10.19,,
2004-08-31,2004-08-31,8.44,,
2004-09-30,2004-09-30,7.46,,
2004-10-31,2004-10-31,9.04,,
2004-11-30,2004-11-30,9.49,,
2004-12-31,2004-12-31,8.93,,
2005-01-31,2005-01-31,8.96,,
2005-02-28,2005-02-28,8.74,,
2005-03-31,2005-03-31,9.28,,
2005-04-30,2005-04-30,9.12,,
2005-05-31,2005-05-31,10.23,,
2005-06-30,2005-06-30,10.69,,
2005-07-31,2005-07-31,9.92,,
2005-08-31,2005-08-31,10.23,,
2005-09-30,2005-09-30,10.82,,
2005-10-31,2005-10-31,8.74,,
2005-11-30,2005-11-30,8.56,,
2005-12-31,2005-12-31,8.68,,
2006-01-31,2006-01-31,8.97,,
2006-02-28,2006-02-28,9.28,,
2006-03-31,2006-03-31,9.78,,
2006-04-30,2006-04-30,10.45,,
2006-05-31,2006-05-31,9.95,,
2006-06-30,2006-06-30,9.36,,
2006-07-31,2006-07-31,10.05,,
2006-08-31,2006-08-31,10.64,,
2006-09-30,2006-09-30,10.88,,
2006-10-31,2006-10-31,12.6,,
2006-11-30,2006-11-30,12.27,,
2006-12-31,2006-12-31,12.26,,
2007-01-31,2007-01-31,12.69,,
2007-02-28,2007-02-28,12.84,,
2007-03-31,2007-03-31,12.5,,
2007-04-30,2007-04-30,12.31,,
2007-05-31,2007-05-31,12.9,,
2007-06-30,2007-06-30,14.55,,
2007-07-31,2007-07-31,14.99,,
2007-08-31,2007-08-31,15.98,,
2007-09-30,2007-09-30,14.95,,
2007-10-31,2007-10-31,17.09,,
2007-11-30,2007-11-30,18.41,,
2007-12-31,2007-12-31,19.1,,
2008-01-31,2008-01-31,18.85,,
2008-02-29,2008-02-29,18.14,,
2008-03-31,2008-03-31,17.69,,
2008-04-30,2008-04-30,17.2,,
