Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-29,6.2,0.6,0.0
2003-07-31,2003-09-01,2.1,-4.0,-2.9
2003-08-31,2003-09-29,-2.4,-1.6,-0.9
2003-09-30,2003-10-30,7.5,0.5,0.1
2003-10-31,2003-12-01,1.6,-4.0,-3.0
2003-11-30,2004-01-06,-6.7,-5.0,-4.4
2003-12-31,2004-02-02,-1.5,-1.8,-1.2
2004-01-31,2004-03-03,-3.3,-3.0,-3.0
2004-02-29,2004-03-29,3.2,-3.5,-3.3
2004-03-31,2004-05-04,-4.4,-5.0,-4.9
2004-04-30,2004-06-03,1.5,-2.0,-1.8
2004-05-31,2004-07-01,1.5,-2.8,-2.6
2004-06-30,2004-07-29,1.5,-2.0,-1.9
2004-07-31,2004-09-01,-0.7,-1.5,-1.8
2004-08-31,2004-10-01,-5.9,-1.5,-1.6
2004-09-30,2004-11-02,-3.8,0.3,0.4
2004-10-31,2004-11-29,-2.4,0.0,-0.3
2004-11-30,2005-01-06,-0.3,-0.8,-0.3
2004-12-31,2005-02-02,2.7,0.4,0.3
2005-01-31,2005-03-03,1.7,-2.0,-1.9
2005-02-28,2005-04-01,-0.5,0.5,-0.2
2005-03-31,2005-05-02,-6.8,0.0,-0.5
2005-04-30,2005-06-01,1.8,1.8,1.6
2005-05-31,2005-07-01,4.5,0.0,-0.4
2005-06-30,2005-08-02,0.9,-0.8,-0.6
2005-07-31,2005-08-30,-8.9,-1.0,-1.8
2005-08-31,2005-10-04,-8.0,2.3,1.5
2005-09-30,2005-11-01,1.8,4.0,3.5
2005-10-31,2005-12-01,0.0,2.5,1.4
2005-11-30,2006-01-05,3.4,1.8,1.5
2005-12-31,2006-02-01,-3.5,-0.7,-0.5
2006-01-31,2006-03-01,-1.9,1.5,1.6
2006-02-28,2006-03-30,2.2,1.3,1.5
2006-03-31,2006-05-04,2.2,1.0,1.1
2006-04-30,2006-05-29,-3.4,1.0,0.7
2006-05-31,2006-07-02,3.3,1.0,0.5
2006-06-30,2006-08-01,1.6,0.2,0.2
2006-07-31,2006-09-03,8.3,0.8,0.2
2006-08-31,2006-10-02,-12.6,-3.0,-2.6
2006-09-30,2006-11-01,6.1,2.2,2.8
2006-10-31,2006-12-03,-7.4,-1.5,-1.2
2006-11-30,2007-01-07,4.1,2.0,1.5
2006-12-31,2007-02-04,-1.9,-1.0,-1.1
2007-01-31,2007-03-05,-0.9,0.5,0.5
2007-02-28,2007-04-01,10.6,0.2,0.5
2007-03-31,2007-05-07,-11.4,-5.0,-4.6
2007-04-30,2007-06-04,8.1,2.5,2.9
2007-05-31,2007-07-02,-5.6,-1.4,-1.1
2007-06-30,2007-07-30,7.5,2.0,2.7
