Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,10853.0,,
2003-07-31,2003-07-31,10474.0,,
2003-08-31,2003-08-31,10135.0,,
2003-09-30,2003-09-30,10488.0,,
2003-10-31,2003-10-31,10490.0,,
2003-11-30,2003-11-30,10439.0,,
2003-12-31,2003-12-31,10721.0,,
2004-01-31,2004-01-31,10176.0,,
2004-02-29,2004-02-29,9860.0,,
2004-03-31,2004-03-31,10052.0,,
2004-04-30,2004-04-30,10114.0,,
2004-05-31,2004-05-31,9466.0,,
2004-06-30,2004-06-30,9554.0,,
2004-07-31,2004-07-31,9064.0,,
2004-08-31,2004-08-31,9091.0,,
2004-09-30,2004-09-30,8793.0,,
2004-10-31,2004-10-31,8788.0,,
2004-11-30,2004-11-30,8954.0,,
2004-12-31,2004-12-31,8703.0,,
2005-01-31,2005-01-31,9390.0,,
2005-02-28,2005-02-28,8749.0,,
2005-03-31,2005-03-31,9037.0,,
2005-04-30,2005-04-30,8799.0,,
2005-05-31,2005-05-31,9496.0,,
2005-06-30,2005-06-30,9765.0,,
2005-07-31,2005-07-31,9003.0,,
2005-08-31,2005-08-31,8475.0,,
2005-09-30,2005-09-30,8319.0,,
2005-10-31,2005-10-31,8525.0,,
2005-11-30,2005-11-30,8843.0,,
2005-12-31,2005-12-31,8853.0,,
2006-01-31,2006-01-31,9003.0,,
2006-02-28,2006-02-28,9097.0,,
2006-03-31,2006-03-31,8887.0,,
2006-04-30,2006-04-30,8938.0,,
2006-05-31,2006-05-31,9205.0,,
2006-06-30,2006-06-30,8797.0,,
2006-07-31,2006-07-31,9123.0,,
2006-08-31,2006-08-31,9098.0,,
2006-09-30,2006-09-30,9300.0,,
2006-10-31,2006-10-31,8591.0,,
2006-11-30,2006-11-30,9073.0,,
2006-12-31,2006-12-31,9037.0,,
2007-01-31,2007-01-31,8758.0,,
2007-02-28,2007-02-28,8634.0,,
2007-03-31,2007-03-31,8878.0,,
2007-04-30,2007-04-30,9205.0,,
2007-05-31,2007-05-31,8889.0,,
2007-06-30,2007-06-30,8858.0,,
2007-07-31,2007-07-31,9081.0,,
2007-08-31,2007-08-31,8981.0,,
2007-09-30,2007-09-30,9339.0,,
2007-10-31,2007-10-31,9231.0,,
2007-11-30,2007-11-30,9589.0,,
2007-12-31,2007-12-31,9471.0,,
2008-01-31,2008-01-31,9505.0,,
2008-02-29,2008-02-29,9451.0,,
2008-03-31,2008-03-31,8945.0,,
2008-04-30,2008-04-30,9043.0,,
2008-05-31,2008-05-31,8949.0,,
2008-06-30,2008-06-30,8817.0,,
2008-07-31,2008-07-31,8462.0,,
2008-08-31,2008-08-31,8276.0,,
2008-09-30,2008-09-30,7871.0,,
2008-10-31,2008-10-31,7690.0,,
2008-11-30,2008-11-30,7281.0,,
2008-12-31,2008-12-31,7428.0,,
2009-01-31,2009-01-31,7315.0,,
2009-02-28,2009-02-28,7501.0,,
2009-03-31,2009-03-31,7828.0,,
2009-04-30,2009-04-30,8327.0,,
2009-05-31,2009-05-31,8441.0,,
2009-06-30,2009-06-30,8991.0,,
2009-07-31,2009-07-31,9116.0,,
2009-08-31,2009-08-31,9687.0,,
2009-09-30,2009-09-30,9778.0,,
2009-10-31,2009-10-31,10341.0,,
2009-11-30,2009-11-30,10290.0,,
2009-12-31,2009-12-31,10280.0,,
2010-01-31,2010-01-31,10229.0,,
2010-02-28,2010-02-28,10320.0,,
2010-03-31,2010-03-31,10391.0,,
2010-04-30,2010-04-30,9779.0,,
2010-05-31,2010-05-31,9571.0,,
2010-06-30,2010-06-30,9335.0,,
2010-07-31,2010-07-31,9141.0,,
2010-08-31,2010-08-31,8896.0,,
2010-09-30,2010-09-30,8691.0,,
2010-10-31,2010-10-31,8838.0,,
2010-11-30,2010-11-30,8587.0,,
2010-12-31,2010-12-31,8640.0,,
2011-01-31,2011-01-31,8423.0,,
2011-02-28,2011-02-28,8459.0,,
2011-03-31,2011-03-31,8330.0,,
2011-04-30,2011-04-30,8270.0,,
2011-05-31,2011-05-31,8143.0,,
2011-06-30,2011-06-30,8173.0,,
2011-07-31,2011-07-31,7787.0,,
2011-08-31,2011-08-31,7918.0,,
2011-09-30,2011-09-30,7905.0,,
2011-10-31,2011-10-31,7381.0,,
2011-11-30,2011-11-30,7740.0,,
2011-12-31,2011-12-31,7779.0,,
2012-01-31,2012-01-31,7947.0,,
2012-02-29,2012-02-29,7470.0,,
2012-03-31,2012-03-31,7665.0,,
2012-04-30,2012-04-30,6860.0,,
2012-05-31,2012-05-31,7345.0,,
2012-06-30,2012-06-30,7438.0,,
2012-07-31,2012-07-31,7909.0,,
2012-08-31,2012-08-31,7808.0,,
2012-09-30,2012-09-30,8063.0,,
2012-10-31,2012-10-31,7913.0,,
2012-11-30,2012-11-30,7877.0,,
2012-12-31,2012-12-31,7895.0,,
2013-01-31,2013-01-31,7962.0,,
2013-02-28,2013-02-28,8402.0,,
2013-03-31,2013-03-31,8098.0,,
2013-04-30,2013-04-30,8299.0,,
2013-05-31,2013-05-31,8516.0,,
2013-06-30,2013-06-30,8457.0,,
2013-07-31,2013-07-31,8656.0,,
2013-08-31,2013-08-31,8532.0,,
2013-09-30,2013-09-30,8849.0,,
2013-10-31,2013-10-31,8860.0,,
2013-11-30,2013-11-30,9393.0,,
2013-12-31,2013-12-31,9265.0,,
2014-01-31,2014-01-31,10447.0,,
2014-02-28,2014-02-28,9844.0,,
2014-03-31,2014-03-31,9522.0,,
2014-04-30,2014-04-30,9926.0,,
2014-05-31,2014-05-31,9956.0,,
2014-06-30,2014-06-30,9803.0,,
2014-07-31,2014-07-31,9929.0,,
2014-08-31,2014-08-31,9897.0,,
2014-09-30,2014-09-30,9685.0,,
2014-10-31,2014-10-31,9998.0,,
2014-11-30,2014-11-30,9960.0,,
2014-12-31,2014-12-31,9915.0,,
2015-01-31,2015-01-31,10106.0,,
2015-02-28,2015-02-28,9888.0,,
2015-03-31,2015-03-31,9775.0,,
2015-04-30,2015-04-30,9692.0,,
2015-05-31,2015-05-31,9696.0,,
