Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-08-31,2005-10-04,-11.7,,
2005-09-30,2005-11-01,-6.4,,
2005-10-31,2005-12-01,-6.3,,
2005-11-30,2006-01-05,-3.8,-7.2,-6.9
2005-12-31,2006-02-01,-8.9,,
2006-01-31,2006-03-01,-12.5,,
2006-02-28,2006-03-30,-6.3,,
2006-03-31,2006-05-04,-1.7,,
2006-04-30,2006-05-29,-7.5,,
2006-05-31,2006-07-02,-11.7,,
2006-06-30,2006-08-01,-7.5,,
2006-07-31,2006-09-03,9.1,,
2006-08-31,2006-10-02,2.1,,
2006-09-30,2006-11-01,9.0,,
2006-10-31,2006-12-03,-1.8,,
2006-11-30,2007-01-07,-0.4,,
2006-12-31,2007-02-04,-1.5,,
2007-01-31,2007-03-05,-1.0,,
2007-02-28,2007-04-01,10.0,,
2007-03-31,2007-05-07,-9.6,,
2007-04-30,2007-06-04,4.5,,
2007-05-31,2007-07-02,-7.2,,
2007-06-30,2007-07-30,0.9,,
2007-07-31,2007-09-02,-7.5,,
2007-08-31,2007-10-03,-0.1,,
2007-09-30,2007-10-30,4.2,,
2007-10-31,2007-12-03,9.1,5.3,5.3
2007-11-30,2008-01-07,14.6,,
2007-12-31,2008-02-04,-0.9,,
2008-01-31,2008-03-05,5.1,,
2008-02-29,2008-04-06,-1.6,,
2008-03-31,2008-04-30,-0.7,,
2008-04-30,2008-06-02,5.2,-3.3,-2.8
2008-05-31,2008-07-01,0.2,7.2,6.6
2008-06-30,2008-07-29,-7.8,-4.1,-3.4
2008-07-31,2008-09-01,-3.7,-6.4,-5.2
2008-08-31,2008-09-29,-8.6,-4.5,-3.8
2008-09-30,2008-11-04,-21.6,-14.3,-14.1
2008-10-31,2008-12-03,-26.1,-21.5,-21.4
2008-11-30,2009-01-07,-34.7,-27.4,-27.7
2008-12-31,2009-02-03,-32.9,-29.7,-30.9
2009-01-31,2009-03-04,-33.5,-30.4,-30.8
2009-02-28,2009-03-31,-25.5,-30.0,-30.3
2009-03-31,2009-05-04,-16.5,-18.9,-19.8
2009-04-30,2009-06-01,-16.1,-21.7,-21.7
2009-05-31,2009-06-30,-22.4,-6.9,-6.5
2009-06-30,2009-07-29,-14.3,-18.2,-18.0
2009-07-31,2009-08-31,-3.9,-9.1,-9.3
2009-08-31,2009-09-29,0.0,1.5,1.4
2009-09-30,2009-11-03,11.7,8.2,8.0
2009-10-31,2009-11-30,11.7,9.6,9.9
2009-11-30,2010-01-05,33.3,28.0,25.2
2009-12-31,2010-02-03,53.3,38.2,37.8
2010-01-31,2010-03-01,47.6,59.8,58.6
2010-02-28,2010-03-30,34.2,38.1,36.9
2010-03-31,2010-05-04,51.6,25.6,25.7
2010-04-30,2010-05-31,21.3,34.0,33.2
2010-05-31,2010-06-30,26.6,32.5,32.9
2010-06-30,2010-08-02,13.2,16.0,15.8
2010-07-31,2010-08-30,11.0,6.1,4.9
2010-08-31,2010-09-29,4.4,10.8,10.8
2010-09-30,2010-11-02,-11.6,-3.7,-4.6
2010-10-31,2010-11-29,1.2,-8.3,-9.2
2010-11-30,2011-01-05,-9.9,-9.8,-10.2
2010-12-31,2011-02-02,-5.0,-13.7,-14.6
2011-01-31,2011-03-02,-24.8,-6.6,-6.1
2011-02-28,2011-03-30,-21.8,-12.8,-13.3
2011-03-31,2011-05-04,-18.1,-25.2,-24.4
2011-04-30,2011-05-30,-11.5,-12.7,-11.9
2011-05-31,2011-07-03,-14.4,-5.6,-5.6
2011-06-30,2011-08-01,-15.5,-10.3,-8.7
2011-07-31,2011-08-29,-15.0,-12.4,-12.3
2011-08-31,2011-10-03,-5.5,-15.1,-15.1
2011-09-30,2011-11-01,-12.0,0.1,0.1
2011-10-31,2011-11-30,-29.8,-14.4,-14.3
2011-11-30,2012-01-09,-18.9,-19.8,-20.1
2011-12-31,2012-02-01,-24.5,-22.1,-22.4
2012-01-31,2012-02-29,-14.6,-13.7,-12.7
2012-02-29,2012-04-01,-15.2,-5.3,-5.2
2012-03-31,2012-05-06,-15.0,-18.0,-16.5
