Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-27,-12690.0,-12.0,-12.0
2003-09-30,2003-11-30,,-12.0,-12.0
2003-12-31,2004-03-01,,-12.0,-12.0
2004-03-31,2004-05-31,,-12.0,-12.0
2004-06-30,2004-08-29,,-12.0,-12.0
2004-09-30,2004-11-28,-13685.0,-13.0,-12.0
2004-12-31,2005-02-28,-15174.0,-14.0,-14.0
2005-03-31,2005-05-30,-15600.0,-15.0,-15.0
2005-06-30,2005-08-30,-12600.0,-14.0,-14.0
2005-09-30,2005-11-30,-13500.0,-13.0,-13.0
2005-12-31,2006-02-27,-14400.0,-14.0,-14.0
2006-03-31,2006-06-05,-14000.0,-15.0,-15.0
2006-06-30,2006-08-31,-13200.0,-14.0,-14.0
2006-09-30,2006-12-04,-12100.0,-11.0,-11.0
2006-12-31,2007-03-01,-15100.0,-14.0,-14.0
2007-03-31,2007-06-04,-15400.0,-15.0,-15.0
2007-06-30,2007-08-29,-16000.0,-16.0,-16.0
2007-09-30,2007-11-29,-15600.0,-16.0,-16.0
2007-12-31,2008-03-03,-19300.0,-18.0,-18.0
2008-03-31,2008-06-02,-19500.0,-21.0,-21.0
2008-06-30,2008-08-31,-12800.0,-12.0,-13.0
2008-09-30,2008-12-01,-9700.0,-11.0,-11.0
2008-12-31,2009-03-02,-6500.0,-7.0,-7.0
2009-03-31,2009-06-01,-4600.0,-5.0,-5.0
2009-06-30,2009-08-31,-13300.0,-11.0,-10.0
2009-09-30,2009-12-07,-16200.0,-17.0,-17.0
2009-12-31,2010-02-28,-17500.0,-17.0,-17.0
2010-03-31,2010-05-30,-16600.0,-16.0,-16.0
2010-06-30,2010-08-30,-5600.0,-7.0,-6.0
2010-09-30,2010-11-29,-7800.0,-7.0,-6.0
2010-12-31,2011-02-28,-7300.0,-7.0,-7.0
2011-03-31,2011-05-30,-10400.0,-10.0,-10.0
2011-06-30,2011-09-05,-7400.0,-7.0,-7.0
2011-09-30,2011-12-05,-5600.0,-6.0,-6.0
2011-12-31,2012-03-05,-8400.0,-8.0,-8.0
2012-03-31,2012-06-04,-14900.0,-15.0,-14.0
2012-06-30,2012-09-03,-11800.0,-12.0,-12.0
2012-09-30,2012-12-03,-14900.0,-15.0,-14.0
2012-12-31,2013-03-04,-14700.0,-15.0,-15.0
2013-03-31,2013-06-03,-8500.0,-9.0,-9.0
2013-06-30,2013-09-02,-9400.0,-9.0,-8.0
2013-09-30,2013-12-02,-12700.0,-11.0,-11.0
2013-12-31,2014-03-03,-10100.0,-10000.0,-10200.0
2014-03-31,2014-06-02,-5700.0,-7000.0,-7245.0
2014-06-30,2014-09-01,-13700.0,-14000.0,-13652.0
2014-09-30,2014-12-01,-12500.0,-13450.0,-13633.0
2014-12-31,2015-03-02,-9600.0,-11000.0,-10873.0
2015-03-31,2015-06-01,-10700.0,-10800.0,-10693.0
2015-06-30,2015-08-31,-19000.0,-15900.0,-15642.0
2015-09-30,2015-11-30,-18100.0,-16500.0,-16052.0
2015-12-31,2016-02-29,-21100.0,-20000.0,-19632.0
2016-03-31,2016-05-30,-20800.0,-19500.0,-19273.0
2016-06-30,2016-09-05,-15500.0,-20000.0,-19987.0
2016-09-30,2016-12-05,-11400.0,-13500.0,-13653.0
2016-12-31,2017-02-27,-3900.0,-4000.0,-4498.0
2017-03-31,2017-06-05,-3100.0,-500.0,-618.0
2017-06-30,2017-09-04,-9600.0,-7500.0,-7060.0
2017-09-30,2017-12-04,-9100.0,-8950.0,-8753.0
2017-12-31,2018-03-05,-14000.0,-12150.0,-11880.0
2018-03-31,2018-06-04,-10500.0,-9900.0,-9837.0
2018-06-30,2018-09-03,-13500.0,-11000.0,-10974.0
2018-09-30,2018-12-03,-10700.0,-10200.0,-10207.0
2018-12-31,2019-03-04,-7200.0,-9200.0,-9198.0
2019-03-31,2019-06-03,-2900.0,-2900.0,-3071.0
2019-06-30,2019-09-02,5900.0,1450.0,1573.0
2019-09-30,2019-12-02,7900.0,6100.0,5913.0
2019-12-31,2020-03-02,1000.0,2400.0,2340.0
2020-03-31,2020-06-01,8400.0,6100.0,6135.0
2020-06-30,2020-08-31,17700.0,13000.0,12667.0
2020-09-30,2020-11-30,10000.0,7100.0,7305.0
2020-12-31,2021-03-01,14500.0,13000.0,12818.0
2021-03-31,2021-05-31,18300.0,17700.0,17826.0
2021-06-30,2021-08-30,20461.0,21400.0,914774.0
2021-09-30,2021-11-29,23886.0,29250.0,27950.0
2021-12-31,2022-02-28,12700.0,15300.0,1015730.0
2022-03-31,2022-05-30,7532.0,13200.0,12941.0
2022-06-30,2022-09-05,18324.0,22000.0,20865.0
2022-09-30,2022-12-05,-2278.0,6000.0,7344.0
2022-12-31,2023-02-27,14114.0,5500.0,5028.0
2023-03-31,2023-06-05,12283.0,15000.0,12848.0
2023-06-30,2023-09-04,7721.0,8000.0,7018.0
2023-09-30,2023-12-04,-158.0,3150.0,3375.0
2023-12-31,2024-03-04,11800.0,5000.0,4807.0
2024-03-31,2024-06-03,-4896.0,5200.0,6515.0
2024-06-30,2024-09-02,-10725.0,-5000.0,-2977.0
2024-09-30,2024-12-02,-14149.0,-10900.0,-8658.0
2024-12-31,2025-03-03,-12547.0,-12000.0,-12093.0
2025-03-31,2025-06-02,-14663.0,-12500.0,-12270.0
