Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-4.88,,
2003-09-30,2003-09-30,-5.23,,
2003-12-31,2003-12-31,-5.33,,
2004-03-31,2004-03-31,-5.55,,
2004-06-30,2004-06-30,-5.53,,
2004-09-30,2004-09-30,-5.82,,
2004-12-31,2004-12-31,-6.3,,
2005-03-31,2005-03-31,-6.48,,
2005-06-30,2005-06-30,-6.53,,
2005-09-30,2005-09-30,-6.38,,
2005-12-31,2005-12-31,-5.95,,
2006-03-31,2006-03-31,-5.7,,
2006-06-30,2006-06-30,-5.83,,
2006-09-30,2006-09-30,-5.75,,
2006-12-31,2006-12-31,-5.85,,
2007-03-31,2007-03-31,-6.03,,
2007-06-30,2007-06-30,-6.13,,
2007-09-30,2007-09-30,-6.4,,
2007-12-31,2007-12-31,-6.73,,
2008-03-31,2008-03-31,-6.88,,
2008-06-30,2008-06-30,-6.68,,
2008-09-30,2008-09-30,-5.98,,
2008-12-31,2008-12-31,-4.88,,
2009-03-31,2009-03-31,-3.53,,
2009-06-30,2009-06-30,-3.33,,
2009-09-30,2009-09-30,-3.65,,
2009-12-31,2009-12-31,-4.53,,
2010-03-31,2010-03-31,-5.55,,
2010-06-30,2010-06-30,-5.02,,
2010-09-30,2010-09-30,-4.45,,
2010-12-31,2010-12-31,-3.7,,
2011-03-31,2011-03-31,-3.15,,
2011-06-30,2011-06-30,-3.18,,
2011-09-30,2011-09-30,-3.1,,
2011-12-31,2011-12-31,-2.98,,
2012-03-31,2012-03-31,-3.33,,
2012-06-30,2012-06-30,-3.5,,
2012-09-30,2012-09-30,-3.9,,
2012-12-31,2012-12-31,-4.38,,
2013-03-31,2013-03-31,-4.08,,
2013-06-30,2013-06-30,-4.05,,
2013-09-30,2013-09-30,-3.9,,
2013-12-31,2013-12-31,-3.4,,
2014-03-31,2014-03-31,-3.2,,
2014-06-30,2014-06-30,-3.1,,
2014-09-30,2014-09-30,-3.03,,
2014-12-31,2014-12-31,-3.1,,
2015-03-31,2015-03-31,-3.25,,
2015-06-30,2015-06-30,-3.75,,
2015-09-30,2015-09-30,-4.15,,
2015-12-31,2015-12-31,-4.72,,
2016-03-31,2016-03-31,-5.0,,
2016-06-30,2016-06-30,-4.8,,
2016-09-30,2016-09-30,-4.45,,
2016-12-31,2016-12-31,-3.48,,
2017-03-31,2017-03-31,-2.95,,
2017-06-30,2017-06-30,-2.53,,
2017-09-30,2017-09-30,-2.33,,
2017-12-31,2017-12-31,-2.83,,
2018-03-31,2018-03-31,-3.03,,
2018-06-30,2018-06-30,-3.13,,
2018-09-30,2018-09-30,-3.03,,
2018-12-31,2018-12-31,-2.6,,
2019-03-31,2019-03-31,-2.13,,
2019-06-30,2019-06-30,-1.28,,
2019-09-30,2019-09-30,-0.45,,
2019-12-31,2019-12-31,-0.02,,
2020-03-31,2020-03-31,0.45,,
2020-06-30,2020-06-30,1.05,,
2020-09-30,2020-09-30,1.2,,
2020-12-31,2020-12-31,1.78,,
2021-03-31,2021-03-31,2.35,,
2021-06-30,2021-06-30,2.42,,
2021-09-30,2021-09-30,2.93,,
2021-12-31,2021-12-31,2.42,,
2022-03-31,2022-03-31,1.68,,
2022-06-30,2022-06-30,1.27,,
2022-09-30,2022-09-30,0.25,,
2022-12-31,2022-12-31,0.35,,
2023-03-31,2023-03-31,0.45,,
2023-06-30,2023-06-30,0.03,,
2023-09-30,2023-09-30,-0.1,,
2023-12-31,2023-12-31,-0.28,,
2024-03-31,2024-03-31,-0.75,,
2024-06-30,2024-06-30,-1.27,,
2024-09-30,2024-09-30,-1.5,,
2024-12-31,2024-12-31,-2.03,,
2025-03-31,2025-03-31,-2.2,,
