Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-01-31,2006-01-31,100.0,,
2006-02-28,2006-02-28,101.1,,
2006-03-31,2006-03-31,102.1,,
2006-04-30,2006-04-30,102.7,,
2006-05-31,2006-05-31,102.8,,
2006-06-30,2006-06-30,102.8,,
2006-07-31,2006-07-31,103.6,,
2006-08-31,2006-08-31,105.3,,
2006-09-30,2006-09-30,107.4,,
2006-10-31,2006-10-31,109.5,,
2006-11-30,2006-11-30,111.4,,
2006-12-31,2006-12-31,113.7,,
2007-01-31,2007-01-31,116.7,,
2007-02-28,2007-02-28,120.0,,
2007-03-31,2007-03-31,122.8,,
2007-04-30,2007-04-30,124.7,,
2007-05-31,2007-05-31,126.2,,
2007-06-30,2007-06-30,127.8,,
2007-07-31,2007-07-31,129.5,,
2007-08-31,2007-08-31,131.2,,
2007-09-30,2007-09-30,132.8,,
2007-10-31,2007-10-31,134.7,,
2007-11-30,2007-11-30,137.2,,
2007-12-31,2007-12-31,139.9,,
2008-01-31,2008-01-31,141.8,,
2008-02-29,2008-02-29,142.5,,
2008-03-31,2008-03-31,142.4,,
2008-04-30,2008-04-30,142.0,,
2008-05-31,2008-05-31,141.0,,
2008-06-30,2008-06-30,138.5,,
2008-07-31,2008-07-31,134.2,,
2008-08-31,2008-08-31,128.6,,
2008-09-30,2008-09-30,122.6,,
2008-10-31,2008-10-31,116.1,,
2008-11-30,2008-11-30,108.9,,
2008-12-31,2008-12-31,100.7,,
2009-01-31,2009-01-31,92.5,,
2009-02-28,2009-02-28,85.4,,
2009-03-31,2009-03-31,80.4,,
2009-04-30,2009-04-30,77.1,,
2009-05-31,2009-05-31,75.4,,
2009-06-30,2009-06-30,75.0,,
2009-07-31,2009-07-31,75.4,,
2009-08-31,2009-08-31,76.3,,
2009-09-30,2009-09-30,77.2,,
2009-10-31,2009-10-31,78.1,,
2009-11-30,2009-11-30,79.1,,
2009-12-31,2009-12-31,80.3,,
2010-01-31,2010-01-31,81.4,,
2010-02-28,2010-02-28,82.6,,
2010-03-31,2010-03-31,83.7,,
2010-04-30,2010-04-30,84.8,,
2010-05-31,2010-05-31,86.0,,
2010-06-30,2010-06-30,87.2,,
2010-07-31,2010-07-31,88.7,,
2010-08-31,2010-08-31,90.7,,
2010-09-30,2010-09-30,92.9,,
2010-10-31,2010-10-31,95.1,,
2010-11-30,2010-11-30,96.8,,
2010-12-31,2010-12-31,98.1,,
2011-01-31,2011-01-31,99.2,,
2011-02-28,2011-02-28,100.0,,
2011-03-31,2011-03-31,99.9,,
2011-04-30,2011-04-30,99.1,,
2011-05-31,2011-05-31,98.1,,
2011-06-30,2011-06-30,96.9,,
2011-07-31,2011-07-31,95.5,,
2011-08-31,2011-08-31,94.1,,
2011-09-30,2011-09-30,92.9,,
