Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2011-06-30,2011-07-19,0.0,,
2011-07-31,2011-08-16,-0.8,,
2011-08-31,2011-09-20,-0.6,,
2011-09-30,2011-10-18,-1.3,,
2011-10-31,2011-11-15,-1.9,,
2011-11-30,2011-12-13,-1.0,,
2011-12-31,2012-01-24,-1.1,,
2012-01-31,2012-02-21,-0.6,,
2012-02-29,2012-03-20,-0.2,,
2012-03-31,2012-04-25,0.8,,
2012-04-30,2012-05-22,-0.8,,
2012-05-31,2012-06-19,-0.7,,
2012-06-30,2012-07-24,-1.8,,
2012-07-31,2012-08-21,-3.1,,
2012-08-31,2012-09-25,-2.9,,
2012-09-30,2012-10-23,-3.7,,
2012-10-31,2012-11-20,-2.5,,
2012-11-30,2012-12-18,-3.5,,
2012-12-31,2013-01-29,-2.8,,
2013-01-31,2013-02-19,-0.7,,
2013-02-28,2013-03-19,-1.5,,
2013-03-31,2013-04-23,0.1,,
2013-04-30,2013-05-21,-1.3,,
2013-05-31,2013-06-18,-0.5,,
2013-06-30,2013-07-23,-1.8,,
2013-07-31,2013-08-20,0.7,,
2013-08-31,2013-09-24,0.3,,
2013-09-30,2013-10-22,0.5,,
2013-10-31,2013-11-19,-0.1,,
2013-11-30,2013-12-17,0.4,,
2013-12-31,2014-01-28,-0.6,,
2014-01-31,2014-02-18,1.4,,
2014-02-28,2014-03-18,0.2,,
2014-03-31,2014-04-22,-0.2,,
2014-04-30,2014-05-20,-0.2,,
2014-05-31,2014-06-24,-1.3,,
2014-06-30,2014-07-22,1.6,,
2014-07-31,2014-08-19,0.9,,
2014-08-31,2014-09-23,1.1,,
2014-09-30,2014-10-21,0.5,,
2014-10-31,2014-11-18,0.0,,
2014-11-30,2014-12-16,-0.8,,
2014-12-31,2015-01-27,-1.0,,
2015-01-31,2015-02-24,0.7,,
2015-02-28,2015-03-24,0.2,,
2015-03-31,2015-04-21,0.4,,
2015-04-30,2015-05-19,0.0,,
2015-05-31,2015-06-23,-1.0,,
2015-06-30,2015-07-21,-0.9,,
2015-07-31,2015-08-18,0.1,,
2015-08-31,2015-09-22,0.2,,
2015-09-30,2015-10-20,1.8,,
2015-10-31,2015-11-24,0.6,,
2015-11-30,2015-12-15,1.2,,
2015-12-31,2016-01-26,0.4,,
2016-01-31,2016-02-23,0.4,,
2016-02-29,2016-03-22,-0.9,,
2016-03-31,2016-04-19,-1.2,,
2016-04-30,2016-05-24,0.6,,
2016-05-31,2016-06-21,1.0,,
2016-06-30,2016-07-19,0.8,,
2016-07-31,2016-08-23,-0.6,,
2016-08-31,2016-09-20,-0.4,,
2016-09-30,2016-10-18,-1.2,,
2016-10-31,2016-11-22,-0.4,,
2016-11-30,2016-12-20,0.0,,
2016-12-31,2017-01-24,0.2,,
2017-01-31,2017-02-21,1.0,,
2017-02-28,2017-03-21,0.1,,
2017-03-31,2017-04-25,-0.6,,
2017-04-30,2017-05-23,0.1,,
2017-05-31,2017-06-20,1.2,,
2017-06-30,2017-07-25,0.9,,
2017-07-31,2017-08-22,0.8,,
2017-08-31,2017-09-19,0.3,,
2017-09-30,2017-10-24,0.0,,
2017-10-31,2017-11-21,0.5,,
2017-11-30,2017-12-19,0.3,,
2017-12-31,2018-01-23,0.2,,
2018-01-31,2018-02-20,1.2,,
2018-02-28,2018-03-20,0.6,,
2018-03-31,2018-04-17,0.9,,
2018-04-30,2018-05-22,-0.5,,
2018-05-31,2018-06-19,-0.9,,
2018-06-30,2018-07-24,-1.0,,
2018-07-31,2018-08-21,0.2,,
2018-08-31,2018-09-18,0.6,,
2018-09-30,2018-10-23,-0.6,,
2018-10-31,2018-11-20,-0.5,,
2018-11-30,2018-12-18,-0.1,,
2018-12-31,2019-01-22,0.7,,
2019-01-31,2019-02-19,1.3,,
2019-02-28,2019-03-19,-0.9,,
2019-03-31,2019-04-23,-1.5,,
2019-04-30,2019-05-21,-1.6,,
2019-05-31,2019-06-18,-0.7,,
2019-06-30,2019-07-23,-0.6,,
2019-07-31,2019-08-20,0.4,,
2019-08-31,2019-09-24,-0.1,,
2019-09-30,2019-10-22,-0.7,,
2019-10-31,2019-11-19,-0.9,,
2019-11-30,2019-12-17,-1.3,,
2019-12-31,2020-01-21,0.6,,
2020-01-31,2020-02-18,0.7,,
2020-02-29,2020-03-24,-0.2,,
2020-03-31,2020-04-21,-5.3,,
2020-04-30,2020-05-19,-16.4,,
2020-05-31,2020-06-23,-8.7,,
