Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-7.1,,
2003-09-30,2003-09-30,-9.7,,
2003-12-31,2003-12-31,-12.7,,
2004-03-31,2004-03-31,-12.1,,
2004-06-30,2004-06-30,2.0,,
2004-09-30,2004-09-30,12.4,,
2004-12-31,2004-12-31,14.2,,
2005-03-31,2005-03-31,13.6,,
2005-06-30,2005-06-30,14.3,,
2005-09-30,2005-09-30,12.1,,
2005-12-31,2005-12-31,16.2,,
2006-03-31,2006-03-31,22.7,,
2006-06-30,2006-06-30,16.3,,
2006-09-30,2006-09-30,13.2,,
2006-12-31,2006-12-31,11.0,,
2007-03-31,2007-03-31,5.6,,
2007-06-30,2007-06-30,2.5,,
2007-09-30,2007-09-30,-2.4,,
2007-12-31,2007-12-31,-3.1,,
2008-03-31,2008-03-31,0.3,,
2008-06-30,2008-06-30,13.3,,
2008-09-30,2008-09-30,32.8,,
2008-12-31,2008-12-31,54.8,,
2009-03-31,2009-03-31,42.7,,
2009-06-30,2009-06-30,-0.1,,
2009-09-30,2009-09-30,-20.7,,
2009-12-31,2009-12-31,-32.7,,
2010-03-31,2010-03-31,-26.7,,
2010-06-30,2010-06-30,7.1,,
2010-09-30,2010-09-30,27.7,,
2010-12-31,2010-12-31,19.5,,
2011-03-31,2011-03-31,20.9,,
2011-06-30,2011-06-30,10.5,,
2011-09-30,2011-09-30,6.5,,
2011-12-31,2011-12-31,14.2,,
2012-03-31,2012-03-31,1.1,,
2012-06-30,2012-06-30,-3.9,,
2012-09-30,2012-09-30,-13.4,,
2012-12-31,2012-12-31,-14.3,,
2013-03-31,2013-03-31,-5.2,,
2013-06-30,2013-06-30,-6.4,,
2013-09-30,2013-09-30,4.2,,
2013-12-31,2013-12-31,6.2,,
2014-03-31,2014-03-31,6.2,,
2014-06-30,2014-06-30,-1.9,,
2014-09-30,2014-09-30,-9.5,,
2014-12-31,2014-12-31,-9.1,,
2015-03-31,2015-03-31,-12.2,,
2015-06-30,2015-06-30,-8.9,,
2015-09-30,2015-09-30,-5.2,,
2015-12-31,2015-12-31,-10.3,,
2016-03-31,2016-03-31,-13.8,,
2016-06-30,2016-06-30,-8.7,,
2016-09-30,2016-09-30,-4.9,,
2016-12-31,2016-12-31,15.3,,
2017-03-31,2017-03-31,31.7,,
2017-06-30,2017-06-30,22.5,,
2017-09-30,2017-09-30,14.2,,
2017-12-31,2017-12-31,2.4,,
2018-03-31,2018-03-31,-1.4,,
2018-06-30,2018-06-30,6.6,,
2018-09-30,2018-09-30,14.0,,
2018-12-31,2018-12-31,15.7,,
2019-03-31,2019-03-31,15.3,,
2019-06-30,2019-06-30,17.4,,
2019-09-30,2019-09-30,14.7,,
2019-12-31,2019-12-31,4.1,,
2020-03-31,2020-03-31,2.3,,
2020-06-30,2020-06-30,-3.8,,
2020-09-30,2020-09-30,-9.9,,
2020-12-31,2020-12-31,0.3,,
2021-03-31,2021-03-31,8.6,,
2021-06-30,2021-06-30,26.0,,
2021-09-30,2021-09-30,41.0,,
2021-12-31,2021-12-31,38.3,,
2022-03-31,2022-03-31,42.6,,
2022-06-30,2022-06-30,38.7,,
2022-09-30,2022-09-30,25.9,,
2022-12-31,2022-12-31,20.5,,
2023-03-31,2023-03-31,6.9,,
2023-06-30,2023-06-30,-11.2,,
2023-09-30,2023-09-30,-10.7,,
2023-12-31,2023-12-31,-4.8,,
2024-03-31,2024-03-31,-8.3,,
2024-06-30,2024-06-30,-5.7,,
2024-09-30,2024-09-30,-6.8,,
2024-12-31,2024-12-31,-8.6,,
2025-03-31,2025-03-31,-4.7,,
