Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-06-30,2005-08-01,14616.0,,
2005-07-31,2005-08-29,14992.0,,
2005-08-31,2005-10-03,14703.0,,
2005-09-30,2005-11-02,14669.0,,
2005-10-31,2005-12-05,15033.0,,
2005-11-30,2006-01-09,15120.0,,
2005-12-31,2006-02-02,16268.0,,
2006-01-31,2006-03-02,15178.0,,
2006-02-28,2006-04-02,16813.0,,
2006-03-31,2006-05-04,16072.0,,
2006-04-30,2006-05-30,16904.0,,
2006-05-31,2006-07-13,16454.0,,
2006-06-30,2006-08-10,17827.0,,
2006-07-31,2006-09-07,17405.0,,
2006-08-31,2006-10-03,18037.0,,
2006-09-30,2006-11-01,17692.0,,
2006-10-31,2006-11-28,18047.0,,
2006-11-30,2007-01-09,18026.0,,
2006-12-31,2007-02-01,17781.0,,
2007-01-31,2007-03-05,18119.0,,
2007-02-28,2007-04-02,18546.0,,
2007-03-31,2007-05-03,17839.0,,
2007-04-30,2007-05-30,18079.0,,
2007-05-31,2007-07-03,18727.0,,
2007-06-30,2007-08-01,17962.0,,
2007-07-31,2007-08-30,18361.0,,
2007-08-31,2007-10-02,18638.0,,
2007-09-30,2007-11-01,17916.0,,
2007-10-31,2007-12-02,17235.0,,
2007-11-30,2008-01-09,18379.0,,
2007-12-31,2008-02-04,,,
2008-01-31,2008-03-06,,,
2008-02-29,2008-04-07,,,
2008-03-31,2008-05-06,,,
