Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-12-31,2003-12-31,2.76,,
2004-12-31,2004-12-31,1.75,,
2005-12-31,2005-12-31,2.2,,
2006-12-31,2006-12-31,2.43,,
2007-12-31,2007-12-31,1.72,,
2008-12-31,2008-12-31,-0.54,,
2009-12-31,2009-12-31,-4.41,,
2010-12-31,2010-12-31,-4.12,,
2011-12-31,2011-12-31,-3.67,,
2012-12-31,2012-12-31,-2.84,,
2013-12-31,2013-12-31,-1.5,,
2014-12-31,2014-12-31,-1.3,,
2015-12-31,2015-12-31,-0.66,,
2016-12-31,2016-12-31,-1.2,,
2017-12-31,2017-12-31,-0.18,,
2018-12-31,2018-12-31,-0.04,,
2019-12-31,2019-12-31,-0.99,,
2020-12-31,2020-12-31,-11.43,,
2021-12-31,2021-12-31,-3.72,,
2022-12-31,2022-12-31,-0.62,,
2023-12-31,2023-12-31,0.06,,
2024-12-31,2024-12-31,-1.41,,
