Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2008-12-31,2009-01-14,,,
2009-01-31,2009-02-11,33.7,,
2009-02-28,2009-03-11,-53.8,,
2009-03-31,2009-04-08,-38.9,-10.0,-5.0
2009-04-30,2009-05-06,49.1,,
2009-05-31,2009-06-10,-26.2,,
2009-06-30,2009-07-08,-21.9,,
2009-07-31,2009-08-05,-16.0,,
2009-08-31,2009-09-09,-30.8,,
2009-09-30,2009-10-07,35.4,,
2009-10-31,2009-11-11,2.9,,
2009-11-30,2009-12-09,30.8,,
2009-12-31,2010-01-13,7.3,,
2010-01-31,2010-02-10,15.9,,
2010-02-28,2010-03-10,11.4,,
2010-03-31,2010-04-07,30.1,,
2010-04-30,2010-05-12,37.5,,
2010-05-31,2010-06-09,36.4,,
2010-06-30,2010-07-07,18.4,,
2010-07-31,2010-08-11,-4.2,,
2010-08-31,2010-09-08,53.1,,
2010-09-30,2010-10-06,55.8,,
2010-10-31,2010-11-10,-14.1,,
2010-11-30,2010-12-08,55.1,,
2010-12-31,2011-01-12,1.7,,
2011-01-31,2011-02-09,-8.0,,
2011-02-28,2011-03-09,47.6,,
2011-03-31,2011-04-06,32.1,,
2011-04-30,2011-05-11,-49.1,,
2011-05-31,2011-06-08,-22.0,,
2011-06-30,2011-07-06,59.0,,
2011-07-31,2011-08-10,-22.2,,
2011-08-31,2011-09-07,-12.6,,
2011-09-30,2011-10-12,10.8,,
2011-10-31,2011-11-09,20.0,,
2011-11-30,2011-12-07,-39.9,,
2011-12-31,2012-01-18,24.5,18.8,17.5
2012-01-31,2012-02-15,12.3,0.0,0.0
2012-02-29,2012-03-07,0.0,,
2012-03-31,2012-04-11,15.8,,
2012-04-30,2012-05-09,-10.5,,
2012-05-31,2012-06-06,46.1,,
2012-06-30,2012-07-11,-33.5,,
2012-07-31,2012-08-08,9.2,,
2012-08-31,2012-09-05,0.6,,
2012-09-30,2012-10-10,32.1,,
2012-10-31,2012-11-07,18.7,,
2012-11-30,2012-12-05,-4.2,,
2012-12-31,2013-01-16,-13.8,,
2013-01-31,2013-02-06,-9.8,,
2013-02-28,2013-03-13,17.8,,
2013-03-31,2013-04-10,-7.4,,
2013-04-30,2013-05-08,34.5,,
2013-05-31,2013-06-12,-5.3,,
2013-06-30,2013-07-10,-4.4,,
2013-07-31,2013-08-07,-6.7,,
2013-08-31,2013-09-11,-2.6,,
2013-09-30,2013-10-09,5.0,,
2013-10-31,2013-11-06,-27.9,,
2013-11-30,2013-12-11,15.5,,
2013-12-31,2014-01-15,-31.6,,
2014-01-31,2014-02-12,-7.1,,
2014-02-28,2014-03-12,80.5,,
2014-03-31,2014-04-09,-22.1,,
2014-04-30,2014-05-07,14.2,,
2014-05-31,2014-06-11,22.2,,
2014-06-30,2014-07-09,-3.8,,
2014-07-31,2014-08-06,14.5,,
2014-08-31,2014-09-10,14.3,,
2014-09-30,2014-10-08,21.6,,
2014-10-31,2014-11-05,33.4,,
2014-11-30,2014-12-10,1.8,,
2014-12-31,2015-01-14,41.6,,
2015-01-31,2015-02-11,-28.1,,
2015-02-28,2015-03-11,10.3,,
2015-03-31,2015-04-15,31.5,,
2015-04-30,2015-05-06,-21.9,,
2015-05-31,2015-06-10,14.7,,
2015-06-30,2015-07-08,24.5,,
2015-07-31,2015-08-05,12.4,,
2015-08-31,2015-09-09,11.5,,
2015-09-30,2015-10-14,-13.9,,
2015-10-31,2015-11-11,40.0,,
2015-11-30,2015-12-09,41.6,,
2015-12-31,2016-01-13,17.6,,
2016-01-31,2016-02-17,-40.6,,
2016-02-29,2016-03-16,15.9,,
2016-03-31,2016-04-13,-8.8,,
2016-04-30,2016-05-18,-9.3,,
2016-05-31,2016-06-15,0.0,,
2016-06-30,2016-07-13,38.4,,
2016-07-31,2016-08-17,-45.4,,
2016-08-31,2016-09-14,11.5,,
2016-09-30,2016-10-19,-53.0,,
2016-10-31,2016-11-16,41.5,,
2016-11-30,2016-12-14,39.3,,
2016-12-31,2017-01-18,9.3,,
2017-01-31,2017-02-15,-44.8,,
2017-02-28,2017-03-15,27.1,,
2017-03-31,2017-04-12,74.5,,
2017-04-30,2017-05-17,-11.6,,
2017-05-31,2017-06-14,52.1,,
2017-06-30,2017-07-19,62.0,,
2017-07-31,2017-08-16,-20.3,,
2017-08-31,2017-09-13,40.1,,
2017-09-30,2017-10-18,6.1,,
