Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,6638.4,,
2003-07-31,2003-07-31,6664.6,,
2003-08-31,2003-08-31,6706.3,,
2003-09-30,2003-09-30,6718.6,,
2003-10-31,2003-10-31,6750.5,,
2003-11-30,2003-11-30,6764.1,,
2003-12-31,2003-12-31,6776.0,,
2004-01-31,2004-01-31,6805.5,,
2004-02-29,2004-02-29,6779.1,,
2004-03-31,2004-03-31,6819.2,,
2004-04-30,2004-04-30,6814.5,,
2004-05-31,2004-05-31,6814.7,,
2004-06-30,2004-06-30,6832.3,,
2004-07-31,2004-07-31,6838.9,,
2004-08-31,2004-08-31,6847.2,,
2004-09-30,2004-09-30,6860.8,,
2004-10-31,2004-10-31,6910.7,,
2004-11-30,2004-11-30,6928.4,,
2004-12-31,2004-12-31,6937.2,,
2005-01-31,2005-01-31,6967.7,,
2005-02-28,2005-02-28,7013.4,,
2005-03-31,2005-03-31,7015.2,,
2005-04-30,2005-04-30,7062.4,,
2005-05-31,2005-05-31,7033.6,,
2005-06-30,2005-06-30,7087.6,,
2005-07-31,2005-07-31,7078.9,,
2005-08-31,2005-08-31,7096.7,,
2005-09-30,2005-09-30,7083.0,,
2005-10-31,2005-10-31,7064.0,,
2005-11-30,2005-11-30,7107.6,,
2005-12-31,2005-12-31,7099.6,,
2006-01-31,2006-01-31,7134.1,,
2006-02-28,2006-02-28,7137.4,,
2006-03-31,2006-03-31,7139.8,,
2006-04-30,2006-04-30,7159.3,,
2006-05-31,2006-05-31,7183.4,,
2006-06-30,2006-06-30,7209.1,,
2006-07-31,2006-07-31,7246.1,,
2006-08-31,2006-08-31,7269.7,,
2006-09-30,2006-09-30,7307.8,,
2006-10-31,2006-10-31,7271.1,,
2006-11-30,2006-11-30,7301.9,,
2006-12-31,2006-12-31,7342.2,,
2007-01-31,2007-01-31,7357.1,,
2007-02-28,2007-02-28,7381.6,,
2007-03-31,2007-03-31,7419.4,,
2007-04-30,2007-04-30,7417.2,,
2007-05-31,2007-05-31,7476.1,,
2007-06-30,2007-06-30,7464.8,,
2007-07-31,2007-07-31,7484.7,,
2007-08-31,2007-08-31,7512.9,,
2007-09-30,2007-09-30,7498.1,,
2007-10-31,2007-10-31,7561.8,,
2007-11-30,2007-11-30,7566.6,,
2007-12-31,2007-12-31,7582.5,,
2008-01-31,2008-01-31,7578.3,,
2008-02-29,2008-02-29,7634.2,,
2008-03-31,2008-03-31,7624.4,,
2008-04-30,2008-04-30,7636.4,,
2008-05-31,2008-05-31,7634.0,,
2008-06-30,2008-06-30,7673.4,,
2008-07-31,2008-07-31,7747.8,,
2008-08-31,2008-08-31,7762.8,,
2008-09-30,2008-09-30,7721.3,,
2008-10-31,2008-10-31,7702.7,,
2008-11-30,2008-11-30,7705.7,,
2008-12-31,2008-12-31,7665.2,,
2009-01-31,2009-01-31,7723.1,,
2009-02-28,2009-02-28,7663.0,,
2009-03-31,2009-03-31,7620.0,,
2009-04-30,2009-04-30,7666.1,,
2009-05-31,2009-05-31,7617.1,,
2009-06-30,2009-06-30,7597.4,,
2009-07-31,2009-07-31,7596.9,,
2009-08-31,2009-08-31,7571.4,,
2009-09-30,2009-09-30,7578.6,,
2009-10-31,2009-10-31,7582.4,,
2009-11-30,2009-11-30,7608.5,,
2009-12-31,2009-12-31,7616.6,,
2010-01-31,2010-01-31,7639.3,,
2010-02-28,2010-02-28,7622.3,,
2010-03-31,2010-03-31,7636.3,,
2010-04-30,2010-04-30,7677.8,,
2010-05-31,2010-05-31,7695.0,,
2010-06-30,2010-06-30,7712.8,,
2010-07-31,2010-07-31,7713.1,,
2010-08-31,2010-08-31,7776.8,,
2010-09-30,2010-09-30,7814.4,,
2010-10-31,2010-10-31,7793.0,,
2010-11-30,2010-11-30,7858.4,,
2010-12-31,2010-12-31,7855.2,,
2011-01-31,2011-01-31,7863.5,,
2011-02-28,2011-02-28,7895.7,,
2011-03-31,2011-03-31,7931.8,,
2011-04-30,2011-04-30,7883.7,,
2011-05-31,2011-05-31,7836.7,,
2011-06-30,2011-06-30,7907.4,,
2011-07-31,2011-07-31,7884.3,,
2011-08-31,2011-08-31,7885.5,,
2011-09-30,2011-09-30,7895.6,,
2011-10-31,2011-10-31,7916.6,,
2011-11-30,2011-11-30,7883.0,,
2011-12-31,2011-12-31,7916.5,,
2012-01-31,2012-01-31,7961.9,,
2012-02-29,2012-02-29,7948.7,,
2012-03-31,2012-03-31,7967.3,,
2012-04-30,2012-04-30,7945.4,,
2012-05-31,2012-05-31,7987.4,,
2012-06-30,2012-06-30,7958.9,,
2012-07-31,2012-07-31,7966.8,,
2012-08-31,2012-08-31,7978.8,,
2012-09-30,2012-09-30,8023.5,,
2012-10-31,2012-10-31,8038.4,,
2012-11-30,2012-11-30,8016.1,,
2012-12-31,2012-12-31,8005.1,,
2013-01-31,2013-01-31,8062.8,,
2013-02-28,2013-02-28,8009.8,,
2013-03-31,2013-03-31,7993.8,,
2013-04-30,2013-04-30,8023.3,,
