Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,54.4,,
2003-09-30,2003-09-30,54.8,,
2003-12-31,2003-12-31,55.2,,
2004-03-31,2004-03-31,55.8,,
2004-06-30,2004-06-30,56.3,,
2004-09-30,2004-09-30,56.7,,
2004-12-31,2004-12-31,57.3,,
2005-03-31,2005-03-31,57.9,,
2005-06-30,2005-06-30,58.8,,
2005-09-30,2005-09-30,59.5,,
2005-12-31,2005-12-31,60.4,,
2006-03-31,2006-03-31,61.0,,
2006-06-30,2006-06-30,61.7,,
2006-09-30,2006-09-30,62.5,,
2006-12-31,2006-12-31,63.4,,
2007-03-31,2007-03-31,64.1,,
2007-06-30,2007-06-30,64.7,,
2007-09-30,2007-09-30,64.9,,
2007-12-31,2007-12-31,65.9,,
2008-03-31,2008-03-31,66.9,,
2008-06-30,2008-06-30,68.4,,
2008-09-30,2008-09-30,70.1,,
2008-12-31,2008-12-31,70.5,,
2009-03-31,2009-03-31,70.1,,
2009-06-30,2009-06-30,68.7,,
2009-09-30,2009-09-30,68.7,,
2009-12-31,2009-12-31,69.7,,
2010-03-31,2010-03-31,71.0,,
2010-06-30,2010-06-30,73.0,,
2010-09-30,2010-09-30,73.6,,
2010-12-31,2010-12-31,74.3,,
2011-03-31,2011-03-31,75.7,,
2011-06-30,2011-06-30,76.7,,
2011-09-30,2011-09-30,76.9,,
2011-12-31,2011-12-31,76.3,,
2012-03-31,2012-03-31,75.8,,
2012-06-30,2012-06-30,76.3,,
2012-09-30,2012-09-30,76.0,,
2012-12-31,2012-12-31,76.0,,
2013-03-31,2013-03-31,76.3,,
2013-06-30,2013-06-30,76.9,,
2013-09-30,2013-09-30,77.1,,
2013-12-31,2013-12-31,77.6,,
2014-03-31,2014-03-31,77.6,,
2014-06-30,2014-06-30,77.2,,
2014-09-30,2014-09-30,76.8,,
2014-12-31,2014-12-31,77.0,,
2015-03-31,2015-03-31,76.8,,
2015-06-30,2015-06-30,76.6,,
2015-09-30,2015-09-30,76.7,,
2015-12-31,2015-12-31,76.3,,
2016-03-31,2016-03-31,76.0,,
2016-06-30,2016-06-30,76.4,,
2016-09-30,2016-09-30,77.4,,
2016-12-31,2016-12-31,79.1,,
2017-03-31,2017-03-31,80.2,,
2017-06-30,2017-06-30,79.7,,
2017-09-30,2017-09-30,80.0,,
2017-12-31,2017-12-31,80.2,,
2018-03-31,2018-03-31,80.9,,
2018-06-30,2018-06-30,81.4,,
2018-09-30,2018-09-30,82.3,,
2018-12-31,2018-12-31,83.0,,
2019-03-31,2019-03-31,83.6,,
2019-06-30,2019-06-30,84.6,,
2019-09-30,2019-09-30,85.3,,
2019-12-31,2019-12-31,84.6,,
2020-03-31,2020-03-31,85.1,,
2020-06-30,2020-06-30,84.7,,
2020-09-30,2020-09-30,85.3,,
2020-12-31,2020-12-31,86.4,,
2021-03-31,2021-03-31,88.0,,
2021-06-30,2021-06-30,90.4,,
2021-09-30,2021-09-30,91.6,,
2021-12-31,2021-12-31,91.4,,
2022-03-31,2022-03-31,94.6,,
2022-06-30,2022-06-30,98.1,,
2022-09-30,2022-09-30,99.0,,
2022-12-31,2022-12-31,99.6,,
2023-03-31,2023-03-31,101.0,,
2023-06-30,2023-06-30,100.2,,
2023-09-30,2023-09-30,101.1,,
2023-12-31,2023-12-31,102.4,,
2024-03-31,2024-03-31,103.6,,
2024-06-30,2024-06-30,103.7,,
2024-09-30,2024-09-30,103.8,,
2024-12-31,2024-12-31,104.8,,
2025-03-31,2025-03-31,106.0,,
