Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-12-31,2004-02-24,3.7,3.6,3.7
2004-03-31,2004-05-18,3.5,3.8,3.8
2004-06-30,2004-08-17,3.6,3.7,3.7
2004-09-30,2004-11-16,3.5,3.6,3.6
2004-12-31,2005-02-22,3.6,,
2005-03-31,2005-05-17,3.9,3.8,3.8
2005-06-30,2005-08-16,4.0,4.0,4.0
2005-09-30,2005-11-15,4.2,4.2,4.2
2005-12-31,2006-02-21,4.2,4.3,4.3
2006-03-31,2006-05-16,4.0,4.1,4.1
2006-06-30,2006-08-14,4.1,4.0,4.0
2006-09-30,2006-11-13,3.8,4.1,4.1
2006-12-31,2007-02-19,4.0,3.9,3.9
2007-03-31,2007-05-15,4.1,4.4,4.3
2007-06-30,2007-08-14,4.0,4.1,4.0
2007-09-30,2007-11-13,4.2,4.2,4.2
2007-12-31,2008-02-19,4.2,4.2,4.2
2008-03-31,2008-05-13,4.1,4.3,4.3
2008-06-30,2008-08-12,4.2,4.1,4.1
2008-09-30,2008-11-11,4.1,4.2,4.2
2008-12-31,2009-02-24,4.3,3.8,3.8
2009-03-31,2009-05-19,4.2,4.2,4.2
2009-06-30,2009-08-11,3.8,3.8,3.7
2009-09-30,2009-11-17,3.6,3.6,3.6
2009-12-31,2010-02-23,2.9,3.1,3.1
2010-03-31,2010-05-18,3.0,2.9,2.9
2010-06-30,2010-08-17,3.0,3.1,3.1
2010-09-30,2010-11-16,3.5,3.3,3.3
2010-12-31,2011-02-22,3.9,3.8,3.8
2011-03-31,2011-05-17,3.8,4.0,4.0
2011-06-30,2011-08-16,3.8,4.0,4.0
2011-09-30,2011-11-15,3.6,3.8,3.7
2011-12-31,2012-02-21,3.6,3.4,3.4
2012-03-31,2012-05-15,3.6,3.5,3.6
2012-06-30,2012-08-14,3.7,3.5,3.6
2012-09-30,2012-11-13,3.7,3.8,3.8
2012-12-31,2013-02-19,3.4,3.4,3.5
2013-03-31,2013-05-14,3.2,3.3,3.3
2013-06-30,2013-08-13,2.9,3.0,3.0
2013-09-30,2013-11-12,2.7,2.9,2.8
2013-12-31,2014-02-18,2.6,2.5,2.6
2014-03-31,2014-05-20,2.6,2.6,2.6
2014-06-30,2014-08-12,2.6,2.6,2.6
2014-09-30,2014-11-11,2.6,2.6,3.0
2014-12-31,2015-02-24,2.5,2.5,2.5
2015-03-31,2015-05-12,2.3,2.4,2.4
2015-06-30,2015-08-11,2.3,2.3,2.3
2015-09-30,2015-11-17,2.3,2.3,2.3
2015-12-31,2016-02-23,2.2,2.3,2.3
2016-03-31,2016-05-17,2.1,2.2,2.2
2016-06-30,2016-08-16,2.1,2.0,2.0
2016-09-30,2016-11-15,1.9,2.0,2.0
2016-12-31,2017-02-21,1.9,1.9,1.9
2017-03-31,2017-05-16,1.9,1.9,1.9
2017-06-30,2017-08-15,1.9,1.9,1.9
2017-09-30,2017-11-14,2.0,2.2,2.2
2017-12-31,2018-02-20,2.1,2.0,2.1
2018-03-31,2018-05-15,2.1,2.1,2.1
2018-06-30,2018-08-14,2.1,2.1,2.1
2018-09-30,2018-11-13,2.3,2.3,2.3
2018-12-31,2019-02-19,2.3,2.3,2.3
2019-03-31,2019-05-14,2.3,2.3,2.3
2019-06-30,2019-08-13,2.3,2.3,2.3
2019-09-30,2019-11-12,2.2,2.2,2.3
2019-12-31,2020-02-18,2.2,2.2,2.2
2020-03-31,2020-05-12,2.1,2.1,2.1
2020-06-30,2020-08-11,1.8,1.9,1.8
2020-09-30,2020-11-17,1.4,1.5,1.5
2020-12-31,2021-02-23,1.4,1.1,1.2
2021-03-31,2021-05-18,1.5,1.4,1.4
2021-06-30,2021-08-17,1.7,1.9,1.9
2021-09-30,2021-11-16,2.2,2.2,2.2
2021-12-31,2022-02-22,2.3,2.4,2.4
2022-03-31,2022-05-17,2.4,2.5,2.5
2022-06-30,2022-08-16,2.6,2.7,2.8
2022-09-30,2022-11-15,3.1,3.0,3.0
2022-12-31,2023-02-21,3.3,3.5,3.5
2023-03-31,2023-05-16,3.7,3.6,3.6
2023-06-30,2023-08-14,3.6,3.7,3.7
2023-09-30,2023-11-14,4.0,3.9,3.9
2023-12-31,2024-02-20,4.2,4.1,4.1
2024-03-31,2024-05-14,4.1,4.2,4.2
2024-06-30,2024-08-12,4.1,4.0,4.0
2024-09-30,2024-11-12,3.5,3.6,3.6
2024-12-31,2025-02-18,3.2,3.2,3.2
2025-03-31,2025-05-13,3.4,3.2,3.2
