Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,80.3,,
2003-09-30,2003-09-30,81.0,,
2003-12-31,2003-12-31,81.8,,
2004-03-31,2004-03-31,82.5,,
2004-06-30,2004-06-30,83.2,,
2004-09-30,2004-09-30,83.9,,
2004-12-31,2004-12-31,84.8,,
2005-03-31,2005-03-31,85.7,,
2005-06-30,2005-06-30,86.6,,
2005-09-30,2005-09-30,87.4,,
2005-12-31,2005-12-31,88.3,,
2006-03-31,2006-03-31,89.2,,
2006-06-30,2006-06-30,90.1,,
2006-09-30,2006-09-30,90.9,,
2006-12-31,2006-12-31,91.9,,
2007-03-31,2007-03-31,92.8,,
2007-06-30,2007-06-30,93.8,,
2007-09-30,2007-09-30,94.8,,
2007-12-31,2007-12-31,95.6,,
2008-03-31,2008-03-31,96.6,,
2008-06-30,2008-06-30,97.7,,
2008-09-30,2008-09-30,98.8,,
2008-12-31,2008-12-31,99.7,,
2009-03-31,2009-03-31,100.6,,
2009-06-30,2009-06-30,101.4,,
2009-09-30,2009-09-30,101.8,,
2009-12-31,2009-12-31,102.6,,
2010-03-31,2010-03-31,103.6,,
2010-06-30,2010-06-30,104.4,,
2010-09-30,2010-09-30,105.5,,
2010-12-31,2010-12-31,106.6,,
2011-03-31,2011-03-31,107.6,,
2011-06-30,2011-06-30,108.4,,
2011-09-30,2011-09-30,109.3,,
2011-12-31,2011-12-31,110.4,,
2012-03-31,2012-03-31,111.5,,
2012-06-30,2012-06-30,112.5,,
2012-09-30,2012-09-30,113.4,,
2012-12-31,2012-12-31,114.2,,
2013-03-31,2013-03-31,115.0,,
2013-06-30,2013-06-30,115.7,,
2013-09-30,2013-09-30,116.4,,
2013-12-31,2013-12-31,117.2,,
2014-03-31,2014-03-31,118.1,,
2014-06-30,2014-06-30,118.7,,
2014-09-30,2014-09-30,119.4,,
2014-12-31,2014-12-31,120.1,,
2015-03-31,2015-03-31,120.8,,
2015-06-30,2015-06-30,121.4,,
2015-09-30,2015-09-30,122.1,,
2015-12-31,2015-12-31,122.7,,
2016-03-31,2016-03-31,123.3,,
2016-06-30,2016-06-30,123.9,,
2016-09-30,2016-09-30,124.4,,
2016-12-31,2016-12-31,125.0,,
2017-03-31,2017-03-31,125.7,,
2017-06-30,2017-06-30,126.3,,
2017-09-30,2017-09-30,126.9,,
2017-12-31,2017-12-31,127.6,,
2018-03-31,2018-03-31,128.2,,
2018-06-30,2018-06-30,129.0,,
2018-09-30,2018-09-30,129.8,,
2018-12-31,2018-12-31,130.5,,
2019-03-31,2019-03-31,131.2,,
2019-06-30,2019-06-30,132.0,,
2019-09-30,2019-09-30,132.7,,
2019-12-31,2019-12-31,133.4,,
2020-03-31,2020-03-31,134.1,,
2020-06-30,2020-06-30,134.4,,
2020-09-30,2020-09-30,134.5,,
2020-12-31,2020-12-31,135.2,,
2021-03-31,2021-03-31,136.1,,
2021-06-30,2021-06-30,136.8,,
2021-09-30,2021-09-30,137.4,,
2021-12-31,2021-12-31,138.4,,
2022-03-31,2022-03-31,139.3,,
2022-06-30,2022-06-30,140.4,,
2022-09-30,2022-09-30,141.8,,
2022-12-31,2022-12-31,143.0,,
2023-03-31,2023-03-31,144.4,,
2023-06-30,2023-06-30,145.6,,
2023-09-30,2023-09-30,147.5,,
2023-12-31,2023-12-31,149.1,,
2024-03-31,2024-03-31,150.2,,
2024-06-30,2024-06-30,151.5,,
2024-09-30,2024-09-30,152.8,,
2024-12-31,2024-12-31,153.9,,
2025-03-31,2025-03-31,155.3,,
