Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-12-31,2004-02-24,1.0,0.9,0.95
2004-03-31,2004-05-18,0.7,1.0,0.98
2004-06-30,2004-08-17,0.8,0.9,0.9
2004-09-30,2004-11-16,0.9,1.0,1.0
2004-12-31,2005-02-22,1.0,1.05,1.04
2005-03-31,2005-05-17,1.1,0.95,0.97
2005-06-30,2005-08-16,1.1,1.0,1.0
2005-09-30,2005-11-15,1.0,1.0,1.05
2005-12-31,2006-02-21,0.9,1.1,1.05
2006-03-31,2006-05-16,0.9,1.0,1.02
2006-06-30,2006-08-14,1.1,1.0,1.05
2006-09-30,2006-11-13,0.8,1.1,1.04
2006-12-31,2007-02-19,1.1,1.0,1.01
2007-03-31,2007-05-15,1.0,1.3,1.24
2007-06-30,2007-08-14,1.1,1.1,1.07
2007-09-30,2007-11-13,1.0,1.0,1.02
2007-12-31,2008-02-19,1.1,1.1,1.13
2008-03-31,2008-05-13,0.9,1.1,1.07
2008-06-30,2008-08-12,1.2,1.0,1.04
2008-09-30,2008-11-11,0.9,1.0,1.02
2008-12-31,2009-02-24,1.2,0.9,0.86
2009-03-31,2009-05-19,0.8,0.8,0.83
2009-06-30,2009-08-11,0.8,0.8,0.75
2009-09-30,2009-11-17,0.7,0.7,0.73
2009-12-31,2010-02-23,0.6,0.8,0.76
2010-03-31,2010-05-18,0.9,0.8,0.8
2010-06-30,2010-08-17,0.8,0.9,0.93
2010-09-30,2010-11-16,1.1,1.05,1.0
2010-12-31,2011-02-22,1.0,0.9,0.93
2011-03-31,2011-05-17,0.8,1.05,1.04
2011-06-30,2011-08-16,0.9,0.9,0.95
2011-09-30,2011-11-15,0.7,0.85,0.88
2011-12-31,2012-02-21,1.0,0.8,0.8
2012-03-31,2012-05-15,0.9,0.8,0.85
2012-06-30,2012-08-14,1.0,0.9,0.87
2012-09-30,2012-11-13,0.7,0.8,0.83
2012-12-31,2013-02-19,0.8,0.8,0.81
2013-03-31,2013-05-14,0.7,0.8,0.78
2013-06-30,2013-08-13,0.7,0.7,0.71
2013-09-30,2013-11-12,0.5,0.7,0.73
2013-12-31,2014-02-18,0.7,0.6,0.62
2014-03-31,2014-05-20,0.7,0.7,0.67
2014-06-30,2014-08-12,0.6,0.7,0.7
2014-09-30,2014-11-11,0.6,0.6,0.69
2014-12-31,2015-02-24,0.6,0.6,0.62
2015-03-31,2015-05-12,0.5,0.6,0.6
2015-06-30,2015-08-11,0.6,0.6,0.57
2015-09-30,2015-11-17,0.6,0.6,0.57
2015-12-31,2016-02-23,0.5,0.6,0.61
2016-03-31,2016-05-17,0.4,0.5,0.54
2016-06-30,2016-08-16,0.5,0.5,0.49
2016-09-30,2016-11-15,0.4,0.5,0.52
2016-12-31,2017-02-21,0.5,0.5,0.5
2017-03-31,2017-05-16,0.5,0.5,0.53
2017-06-30,2017-08-15,0.5,0.5,0.54
2017-09-30,2017-11-14,0.5,0.7,0.67
2017-12-31,2018-02-20,0.6,0.5,0.55
2018-03-31,2018-05-15,0.5,0.6,0.58
2018-06-30,2018-08-14,0.6,0.6,0.59
2018-09-30,2018-11-13,0.6,0.6,0.61
2018-12-31,2019-02-19,0.5,0.6,0.6
2019-03-31,2019-05-14,0.5,0.6,0.58
2019-06-30,2019-08-13,0.6,0.5,0.54
2019-09-30,2019-11-12,0.5,0.5,0.55
2019-12-31,2020-02-18,0.5,0.5,0.51
2020-03-31,2020-05-12,0.5,0.5,0.47
2020-06-30,2020-08-11,0.2,0.3,0.24
2020-09-30,2020-11-17,0.1,0.2,0.19
2020-12-31,2021-02-23,0.6,0.3,0.28
2021-03-31,2021-05-18,0.6,0.5,0.52
2021-06-30,2021-08-17,0.4,0.6,0.61
2021-09-30,2021-11-16,0.6,0.55,0.55
2021-12-31,2022-02-22,0.7,0.7,0.73
2022-03-31,2022-05-17,0.7,0.8,0.79
2022-06-30,2022-08-16,0.7,0.8,0.83
2022-09-30,2022-11-15,1.0,0.9,0.95
2022-12-31,2023-02-21,0.8,1.0,1.03
2023-03-31,2023-05-16,0.8,0.9,0.92
2023-06-30,2023-08-14,0.8,0.9,0.93
2023-09-30,2023-11-14,1.3,1.3,1.28
2023-12-31,2024-02-20,0.9,0.9,0.94
2024-03-31,2024-05-14,0.8,0.9,0.9
2024-06-30,2024-08-12,0.8,0.9,0.88
2024-09-30,2024-11-12,0.8,0.9,0.9
2024-12-31,2025-02-18,0.7,0.8,0.8
2025-03-31,2025-05-13,0.9,0.8,0.81
