Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,64.5,,
2003-09-30,2003-09-30,68.3,,
2003-12-31,2003-12-31,71.1,,
2004-03-31,2004-03-31,70.9,,
2004-06-30,2004-06-30,70.1,,
2004-09-30,2004-09-30,70.1,,
2004-12-31,2004-12-31,71.3,,
2005-03-31,2005-03-31,71.0,,
2005-06-30,2005-06-30,71.4,,
2005-09-30,2005-09-30,71.3,,
2005-12-31,2005-12-31,72.9,,
2006-03-31,2006-03-31,73.8,,
2006-06-30,2006-06-30,76.6,,
2006-09-30,2006-09-30,78.5,,
2006-12-31,2006-12-31,80.0,,
2007-03-31,2007-03-31,80.9,,
2007-06-30,2007-06-30,84.3,,
2007-09-30,2007-09-30,87.5,,
2007-12-31,2007-12-31,91.2,,
2008-03-31,2008-03-31,91.8,,
2008-06-30,2008-06-30,91.0,,
2008-09-30,2008-09-30,88.7,,
2008-12-31,2008-12-31,87.5,,
2009-03-31,2009-03-31,86.8,,
2009-06-30,2009-06-30,90.4,,
2009-09-30,2009-09-30,94.4,,
2009-12-31,2009-12-31,99.6,,
2010-03-31,2010-03-31,103.1,,
2010-06-30,2010-06-30,105.0,,
2010-09-30,2010-09-30,103.8,,
2010-12-31,2010-12-31,104.3,,
2011-03-31,2011-03-31,103.2,,
2011-06-30,2011-06-30,102.2,,
2011-09-30,2011-09-30,100.3,,
2011-12-31,2011-12-31,99.7,,
2012-03-31,2012-03-31,99.7,,
2012-06-30,2012-06-30,100.3,,
2012-09-30,2012-09-30,100.1,,
2012-12-31,2012-12-31,102.3,,
2013-03-31,2013-03-31,103.1,,
2013-06-30,2013-06-30,105.6,,
2013-09-30,2013-09-30,108.4,,
2013-12-31,2013-12-31,113.0,,
2014-03-31,2014-03-31,114.4,,
2014-06-30,2014-06-30,116.8,,
2014-09-30,2014-09-30,118.4,,
2014-12-31,2014-12-31,120.9,,
2015-03-31,2015-03-31,123.0,,
2015-06-30,2015-06-30,129.1,,
2015-09-30,2015-09-30,131.9,,
2015-12-31,2015-12-31,132.1,,
2016-03-31,2016-03-31,132.1,,
2016-06-30,2016-06-30,135.1,,
2016-09-30,2016-09-30,137.3,,
2016-12-31,2016-12-31,143.8,,
2017-03-31,2017-03-31,147.3,,
2017-06-30,2017-06-30,150.1,,
2017-09-30,2017-09-30,150.1,,
2017-12-31,2017-12-31,151.8,,
2018-03-31,2018-03-31,150.6,,
2018-06-30,2018-06-30,149.7,,
2018-09-30,2018-09-30,147.2,,
2018-12-31,2018-12-31,143.4,,
2019-03-31,2019-03-31,139.0,,
2019-06-30,2019-06-30,138.1,,
2019-09-30,2019-09-30,141.5,,
2019-12-31,2019-12-31,147.4,,
2020-03-31,2020-03-31,150.3,,
2020-06-30,2020-06-30,147.2,,
2020-09-30,2020-09-30,148.6,,
2020-12-31,2020-12-31,153.8,,
2021-03-31,2021-03-31,163.7,,
2021-06-30,2021-06-30,176.3,,
2021-09-30,2021-09-30,186.3,,
2021-12-31,2021-12-31,196.1,,
