Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-09-30,2003-12-03,17.6,,
2003-12-31,2004-03-03,18.9,,
2004-03-31,2004-06-02,17.9,,
2004-06-30,2004-09-01,10.9,,
2004-09-30,2004-12-02,8.2,,
2004-12-31,2005-03-02,2.7,,
2005-03-31,2005-06-02,0.4,0.0,-0.2
2005-06-30,2005-09-01,-0.1,0.0,-0.4
2005-09-30,2005-12-01,1.0,-0.2,-0.6
2005-12-31,2006-02-23,2.3,0.0,-0.6
2006-03-31,2006-05-24,3.6,2.7,3.2
2006-06-30,2006-08-23,6.4,4.4,4.4
2006-09-30,2006-11-14,9.5,7.7,7.7
2006-12-31,2007-02-14,8.3,8.7,8.9
2007-03-31,2007-05-08,8.6,8.1,7.4
2007-06-30,2007-08-07,9.2,,
2007-09-30,2007-11-06,10.6,9.8,9.5
2007-12-31,2008-02-03,12.3,11.8,11.9
2008-03-31,2008-05-04,13.8,11.0,11.0
2008-06-30,2008-08-03,8.2,8.0,8.0
2008-09-30,2008-11-02,2.8,4.0,3.9
2008-12-31,2009-02-01,-3.3,-2.4,-2.5
2009-03-31,2009-05-03,-6.7,-3.9,-3.8
2009-06-30,2009-08-03,-1.4,-4.9,-4.6
2009-09-30,2009-11-01,6.2,4.3,4.4
2009-12-31,2010-01-31,13.6,11.0,11.5
2010-03-31,2010-05-02,20.0,18.0,18.3
2010-06-30,2010-08-03,18.4,17.2,16.4
2010-09-30,2010-10-31,11.5,13.4,13.3
2010-12-31,2011-01-31,5.8,5.6,6.0
2011-03-31,2011-05-01,-0.2,1.6,1.4
2011-06-30,2011-08-01,-1.9,-3.0,-2.8
2011-09-30,2011-10-31,-2.2,-1.8,-1.7
2011-12-31,2012-01-31,-4.8,-3.3,-2.7
2012-03-31,2012-04-30,-4.5,-3.9,-4.1
2012-06-30,2012-07-31,-2.1,-4.2,-4.0
2012-09-30,2012-11-05,0.3,0.8,0.4
2012-12-31,2013-02-04,2.1,0.9,0.9
2013-03-31,2013-05-06,2.6,4.0,3.6
2013-06-30,2013-08-05,5.1,3.0,3.1
2013-09-30,2013-11-03,7.6,7.6,7.7
2013-12-31,2014-02-10,9.3,8.6,8.6
2014-03-31,2014-05-12,10.9,10.4,10.5
2014-06-30,2014-08-11,10.1,9.3,9.5
2014-09-30,2014-11-10,9.1,8.8,8.5
