Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,26314.0,,
2003-07-31,2003-07-31,30014.0,,
2003-08-31,2003-08-31,27674.0,,
2003-09-30,2003-09-30,27570.0,,
2003-10-31,2003-10-31,31085.0,,
2003-11-30,2003-11-30,32089.0,,
2003-12-31,2003-12-31,32189.0,,
2004-01-31,2004-01-31,29294.0,,
2004-02-29,2004-02-29,31084.0,,
2004-03-31,2004-03-31,35338.0,,
2004-04-30,2004-04-30,34839.0,,
2004-05-31,2004-05-31,37018.0,,
2004-06-30,2004-06-30,33665.0,,
2004-07-31,2004-07-31,34375.0,,
2004-08-31,2004-08-31,34621.0,,
2004-09-30,2004-09-30,28869.0,,
2004-10-31,2004-10-31,32271.0,,
2004-11-30,2004-11-30,33267.0,,
2004-12-31,2004-12-31,35803.0,,
2005-01-31,2005-01-31,34840.0,,
2005-02-28,2005-02-28,33589.0,,
2005-03-31,2005-03-31,35275.0,,
2005-04-30,2005-04-30,39370.0,,
2005-05-31,2005-05-31,41193.0,,
2005-06-30,2005-06-30,41774.0,,
2005-07-31,2005-07-31,42332.0,,
2005-08-31,2005-08-31,39299.0,,
2005-09-30,2005-09-30,34693.0,,
2005-10-31,2005-10-31,39942.0,,
2005-11-30,2005-11-30,42115.0,,
2005-12-31,2005-12-31,41941.0,,
2006-01-31,2006-01-31,42264.0,,
2006-02-28,2006-02-28,40008.0,,
2006-03-31,2006-03-31,42835.0,,
2006-04-30,2006-04-30,46839.0,,
2006-05-31,2006-05-31,49615.0,,
2006-06-30,2006-06-30,45866.0,,
2006-07-31,2006-07-31,50782.0,,
2006-08-31,2006-08-31,49523.0,,
2006-09-30,2006-09-30,44651.0,,
2006-10-31,2006-10-31,48545.0,,
2006-11-30,2006-11-30,49675.0,,
2006-12-31,2006-12-31,53448.0,,
2007-01-31,2007-01-31,57605.0,,
2007-02-28,2007-02-28,52028.0,,
2007-03-31,2007-03-31,55806.0,,
2007-04-30,2007-04-30,65512.0,,
2007-05-31,2007-05-31,68061.0,,
2007-06-30,2007-06-30,65958.0,,
2007-07-31,2007-07-31,67166.0,,
2007-08-31,2007-08-31,56067.0,,
2007-09-30,2007-09-30,44584.0,,
2007-10-31,2007-10-31,31138.0,,
2007-11-30,2007-11-30,26994.0,,
2007-12-31,2007-12-31,24768.0,,
2008-01-31,2008-01-31,29465.0,,
2008-02-29,2008-02-29,30903.0,,
2008-03-31,2008-03-31,30965.0,,
2008-04-30,2008-04-30,31220.0,,
2008-05-31,2008-05-31,31514.0,,
2008-06-30,2008-06-30,32129.0,,
2008-07-31,2008-07-31,32881.0,,
2008-08-31,2008-08-31,28543.0,,
2008-09-30,2008-09-30,26545.0,,
2008-10-31,2008-10-31,28105.0,,
2008-11-30,2008-11-30,28598.0,,
2008-12-31,2008-12-31,30691.0,,
2009-01-31,2009-01-31,28396.0,,
2009-02-28,2009-02-28,28696.0,,
2009-03-31,2009-03-31,30179.0,,
2009-04-30,2009-04-30,35044.0,,
2009-05-31,2009-05-31,38827.0,,
2009-06-30,2009-06-30,40045.0,,
2009-07-31,2009-07-31,41646.0,,
2009-08-31,2009-08-31,44096.0,,
2009-09-30,2009-09-30,40477.0,,
2009-10-31,2009-10-31,41807.0,,
2009-11-30,2009-11-30,39135.0,,
2009-12-31,2009-12-31,38950.0,,
2010-01-31,2010-01-31,38724.0,,
2010-02-28,2010-02-28,36621.0,,
2010-03-31,2010-03-31,34852.0,,
2010-04-30,2010-04-30,37882.0,,
2010-05-31,2010-05-31,33207.0,,
2010-06-30,2010-06-30,34098.0,,
2010-07-31,2010-07-31,39703.0,,
2010-08-31,2010-08-31,34342.0,,
2010-09-30,2010-09-30,38059.0,,
2010-10-31,2010-10-31,39450.0,,
2010-11-30,2010-11-30,38344.0,,
2010-12-31,2010-12-31,38659.0,,
2011-01-31,2011-01-31,36999.0,,
2011-02-28,2011-02-28,36921.0,,
2011-03-31,2011-03-31,33259.0,,
2011-04-30,2011-04-30,37932.0,,
2011-05-31,2011-05-31,39297.0,,
2011-06-30,2011-06-30,40318.0,,
2011-07-31,2011-07-31,40409.0,,
2011-08-31,2011-08-31,42127.0,,
2011-09-30,2011-09-30,39696.0,,
2011-10-31,2011-10-31,42764.0,,
2011-11-30,2011-11-30,40433.0,,
2011-12-31,2011-12-31,42783.0,,
2012-01-31,2012-01-31,45289.0,,
2012-02-29,2012-02-29,48564.0,,
2012-03-31,2012-03-31,47695.0,,
2012-04-30,2012-04-30,45561.0,,
2012-05-31,2012-05-31,47756.0,,
2012-06-30,2012-06-30,44059.0,,
2012-07-31,2012-07-31,45127.0,,
2012-08-31,2012-08-31,41192.0,,
2012-09-30,2012-09-30,42448.0,,
2012-10-31,2012-10-31,46853.0,,
2012-11-30,2012-11-30,43754.0,,
2012-12-31,2012-12-31,44866.0,,
2013-01-31,2013-01-31,44014.0,,
2013-02-28,2013-02-28,40864.0,,
2013-03-31,2013-03-31,46724.0,,
2013-04-30,2013-04-30,47909.0,,
2013-05-31,2013-05-31,46277.0,,
2013-06-30,2013-06-30,45015.0,,
2013-07-31,2013-07-31,46906.0,,
2013-08-31,2013-08-31,46267.0,,
2013-09-30,2013-09-30,45911.0,,
2013-10-31,2013-10-31,50800.0,,
2013-11-30,2013-11-30,51373.0,,
2013-12-31,2013-12-31,49745.0,,
2014-01-31,2014-01-31,43445.0,,
2014-02-28,2014-02-28,42973.0,,
2014-03-31,2014-03-31,54052.0,,
2014-04-30,2014-04-30,54383.0,,
2014-05-31,2014-05-31,57183.0,,
2014-06-30,2014-06-30,55856.0,,
2014-07-31,2014-07-31,55167.0,,
2014-08-31,2014-08-31,52834.0,,
2014-09-30,2014-09-30,50148.0,,
2014-10-31,2014-10-31,44211.0,,
2014-11-30,2014-11-30,49390.0,,
2014-12-31,2014-12-31,50814.0,,
2015-01-31,2015-01-31,40688.0,,
2015-02-28,2015-02-28,43313.0,,
2015-03-31,2015-03-31,51270.0,,
2015-04-30,2015-04-30,46399.0,,
2015-05-31,2015-05-31,48330.0,,
2015-06-30,2015-06-30,45090.0,,
2015-07-31,2015-07-31,42847.0,,
2015-08-31,2015-08-31,41754.0,,
2015-09-30,2015-09-30,44027.0,,
2015-10-31,2015-10-31,35793.0,,
2015-11-30,2015-11-30,40218.0,,
2015-12-31,2015-12-31,42753.0,,
2016-01-31,2016-01-31,36081.0,,
2016-02-29,2016-02-29,35214.0,,
2016-03-31,2016-03-31,42162.0,,
2016-04-30,2016-04-30,41783.0,,
2016-05-31,2016-05-31,48193.0,,
2016-06-30,2016-06-30,43501.0,,
2016-07-31,2016-07-31,40259.0,,
2016-08-31,2016-08-31,38410.0,,
2016-09-30,2016-09-30,43581.0,,
2016-10-31,2016-10-31,39286.0,,
2016-11-30,2016-11-30,41699.0,,
2016-12-31,2016-12-31,49797.0,,
2017-01-31,2017-01-31,41385.0,,
2017-02-28,2017-02-28,42612.0,,
2017-03-31,2017-03-31,55029.0,,
2017-04-30,2017-04-30,53006.0,,
2017-05-31,2017-05-31,56226.0,,
2017-06-30,2017-06-30,57848.0,,
2017-07-31,2017-07-31,49816.0,,
2017-08-31,2017-08-31,53432.0,,
2017-09-30,2017-09-30,52626.0,,
