Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-17,-5.0,,
2003-09-30,2003-10-16,-3.4,,
2003-12-31,2004-01-22,-2.9,,
2004-03-31,2004-04-22,-4.1,,
2004-06-30,2004-07-22,4.1,4.0,4.4
2004-09-30,2004-10-21,2.6,,
2004-12-31,2005-01-20,-1.9,-2.5,-2.5
2005-03-31,2005-04-21,-2.4,,
2005-06-30,2005-07-21,1.7,0.0,-0.1
2005-09-30,2005-10-20,2.6,1.5,1.1
2005-12-31,2006-01-19,0.4,0.6,0.4
2006-03-31,2006-06-14,1.3,,0.9
2006-06-30,2006-07-20,2.3,1.5,1.5
2006-09-30,2006-10-19,-0.3,-1.0,-0.7
2006-12-31,2007-01-18,-3.2,-1.7,-1.5
2007-03-31,2007-04-19,-1.7,-1.0,-0.9
2007-06-30,2007-07-19,0.1,,
2007-09-30,2007-10-18,-0.8,-1.0,-0.7
2007-12-31,2008-01-17,0.2,,
2008-03-31,2008-04-17,2.7,0.5,0.5
2008-06-30,2008-07-17,1.4,2.2,2.4
2008-09-30,2008-10-16,5.0,,
2008-12-31,2009-01-22,10.8,5.9,6.3
2009-03-31,2009-04-16,-2.8,-0.4,0.2
2009-06-30,2009-07-16,-6.4,-6.0,-5.6
2009-09-30,2009-10-22,-3.0,-2.8,-2.5
2009-12-31,2010-01-21,-4.3,-2.0,-2.4
2010-03-31,2010-04-22,0.3,-1.4,-1.4
2010-06-30,2010-07-22,1.9,1.0,0.9
2010-09-30,2010-10-21,0.7,0.0,0.2
2010-12-31,2011-01-20,-3.8,,
2011-03-31,2011-04-19,1.4,0.9,0.8
2011-06-30,2011-07-21,0.8,-1.1,-0.7
2011-09-30,2011-10-20,0.0,0.5,0.8
2011-12-31,2012-01-19,2.5,0.6,1.0
2012-03-31,2012-04-19,-1.2,-0.1,0.0
2012-06-30,2012-07-19,2.4,1.5,1.2
2012-09-30,2012-10-31,-2.4,-1.2,-0.9
2012-12-31,2013-01-30,0.3,0.4,0.1
2013-03-31,2013-05-01,0.0,-0.5,-0.3
2013-06-30,2013-07-31,-0.3,2.0,2.0
2013-09-30,2013-10-30,6.1,3.5,3.4
2013-12-31,2014-01-29,-0.6,2.0,1.7
2014-03-31,2014-04-30,3.2,1.8,1.6
2014-06-30,2014-07-30,-3.0,-1.5,-1.5
2014-09-30,2014-10-29,-0.8,0.2,0.3
2014-12-31,2015-01-28,0.9,1.4,1.2
2015-03-31,2015-04-29,-0.2,1.0,1.2
2015-06-30,2015-07-29,1.4,1.5,1.7
2015-09-30,2015-10-28,1.4,1.5,1.7
2015-12-31,2016-01-27,-0.3,-0.8,-0.8
2016-03-31,2016-04-27,-3.0,-0.9,-1.0
2016-06-30,2016-07-27,-1.0,1.5,1.1
2016-09-30,2016-10-26,-1.0,-0.8,-0.6
2016-12-31,2017-01-26,0.2,0.4,0.2
2017-03-31,2017-04-26,1.2,-0.5,-0.3
2017-06-30,2017-07-26,-0.1,0.7,0.7
2017-09-30,2017-10-25,-1.6,-1.5,-1.5
2017-12-31,2018-01-31,2.0,1.5,1.6
2018-03-31,2018-04-25,2.1,1.2,1.2
2018-06-30,2018-07-25,3.2,1.9,1.9
2018-09-30,2018-10-31,1.9,1.0,1.1
2018-12-31,2019-01-30,0.5,0.3,0.5
2019-03-31,2019-04-25,-0.5,0.4,0.1
2019-06-30,2019-07-31,0.9,1.5,1.7
2019-09-30,2019-10-30,0.4,0.5,0.8
2019-12-31,2020-01-29,0.7,0.4,0.3
2020-03-31,2020-04-29,-1.0,1.0,0.9
2020-06-30,2020-07-29,-1.9,-3.0,-3.0
2020-09-30,2020-10-28,-3.5,-2.0,-2.1
2020-12-31,2021-01-27,-1.0,-1.0,-1.0
2021-03-31,2021-04-28,0.2,-1.6,-0.7
2021-06-30,2021-07-28,1.9,1.0,1.0
2021-09-30,2021-10-27,5.4,3.4,3.2
2021-12-31,2022-01-26,5.8,1.4,1.7
2022-03-31,2022-04-27,5.1,7.0,6.2
2022-06-30,2022-07-27,4.3,4.5,4.7
2022-09-30,2022-10-26,3.0,0.9,0.5
2022-12-31,2023-01-26,1.8,1.3,1.2
2023-03-31,2023-04-26,-4.2,0.5,0.0
2023-06-30,2023-07-26,-0.8,-0.8,-1.9
2023-09-30,2023-10-25,0.8,0.1,0.2
2023-12-31,2024-01-31,1.1,0.6,0.4
2024-03-31,2024-04-25,-1.8,0.1,0.1
2024-06-30,2024-07-31,1.0,-0.7,-1.3
2024-09-30,2024-10-30,-1.4,-0.3,-0.3
2024-12-31,2025-01-29,0.2,1.5,1.5
2025-03-31,2025-04-30,3.3,,
