Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-6.4,,
2003-09-30,2003-09-30,-9.7,,
2003-12-31,2003-12-31,-12.6,,
2004-03-31,2004-03-31,-14.6,,
2004-06-30,2004-06-30,-6.5,,
2004-09-30,2004-09-30,-0.5,,
2004-12-31,2004-12-31,0.4,,
2005-03-31,2005-03-31,2.2,,
2005-06-30,2005-06-30,-0.1,,
2005-09-30,2005-09-30,-0.1,,
2005-12-31,2005-12-31,2.3,,
2006-03-31,2006-03-31,6.2,,
2006-06-30,2006-06-30,6.8,,
2006-09-30,2006-09-30,3.7,,
2006-12-31,2006-12-31,0.0,,
2007-03-31,2007-03-31,-3.0,,
2007-06-30,2007-06-30,-5.1,,
2007-09-30,2007-09-30,-5.6,,
2007-12-31,2007-12-31,-2.3,,
2008-03-31,2008-03-31,2.2,,
2008-06-30,2008-06-30,3.6,,
2008-09-30,2008-09-30,9.6,,
2008-12-31,2008-12-31,21.1,,
2009-03-31,2009-03-31,14.7,,
2009-06-30,2009-06-30,5.8,,
2009-09-30,2009-09-30,-2.3,,
2009-12-31,2009-12-31,-15.5,,
2010-03-31,2010-03-31,-12.9,,
2010-06-30,2010-06-30,-5.2,,
2010-09-30,2010-09-30,-1.5,,
2010-12-31,2010-12-31,-0.9,,
2011-03-31,2011-03-31,0.1,,
2011-06-30,2011-06-30,-0.9,,
2011-09-30,2011-09-30,-1.6,,
2011-12-31,2011-12-31,4.7,,
2012-03-31,2012-03-31,2.1,,
2012-06-30,2012-06-30,3.7,,
2012-09-30,2012-09-30,1.2,,
2012-12-31,2012-12-31,-0.9,,
2013-03-31,2013-03-31,0.3,,
2013-06-30,2013-06-30,-2.4,,
2013-09-30,2013-09-30,6.1,,
2013-12-31,2013-12-31,5.2,,
2014-03-31,2014-03-31,8.6,,
2014-06-30,2014-06-30,5.7,,
2014-09-30,2014-09-30,-1.1,,
2014-12-31,2014-12-31,0.3,,
2015-03-31,2015-03-31,-3.0,,
2015-06-30,2015-06-30,1.3,,
2015-09-30,2015-09-30,3.5,,
2015-12-31,2015-12-31,2.4,,
2016-03-31,2016-03-31,-0.5,,
2016-06-30,2016-06-30,-2.8,,
2016-09-30,2016-09-30,-5.1,,
2016-12-31,2016-12-31,-4.6,,
2017-03-31,2017-03-31,-0.6,,
2017-06-30,2017-06-30,0.3,,
2017-09-30,2017-09-30,-0.4,,
2017-12-31,2017-12-31,1.8,,
2018-03-31,2018-03-31,2.6,,
2018-06-30,2018-06-30,6.0,,
2018-09-30,2018-09-30,9.8,,
2018-12-31,2018-12-31,7.8,,
2019-03-31,2019-03-31,5.2,,
2019-06-30,2019-06-30,2.8,,
2019-09-30,2019-09-30,1.2,,
2019-12-31,2019-12-31,1.4,,
2020-03-31,2020-03-31,0.9,,
2020-06-30,2020-06-30,-1.9,,
2020-09-30,2020-09-30,-5.7,,
2020-12-31,2020-12-31,-7.3,,
2021-03-31,2021-03-31,-6.2,,
2021-06-30,2021-06-30,-2.5,,
2021-09-30,2021-09-30,6.4,,
2021-12-31,2021-12-31,13.8,,
2022-03-31,2022-03-31,19.3,,
2022-06-30,2022-06-30,22.1,,
2022-09-30,2022-09-30,19.3,,
2022-12-31,2022-12-31,14.9,,
2023-03-31,2023-03-31,4.7,,
2023-06-30,2023-06-30,-0.3,,
2023-09-30,2023-09-30,-2.4,,
2023-12-31,2023-12-31,-3.1,,
2024-03-31,2024-03-31,-0.7,,
2024-06-30,2024-06-30,1.1,,
2024-09-30,2024-09-30,-1.1,,
2024-12-31,2024-12-31,-1.9,,
2025-03-31,2025-03-31,3.2,,
