Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-06-30,2005-08-01,15987.0,,
2005-07-31,2005-08-29,16450.0,,
2005-08-31,2005-10-03,16342.0,,
2005-09-30,2005-11-02,16284.0,,
2005-10-31,2005-12-05,16365.0,,
2005-11-30,2006-01-09,17590.0,,
2005-12-31,2006-02-02,17436.0,,
2006-01-31,2006-03-02,17868.0,,
2006-02-28,2006-04-02,17408.0,,
2006-03-31,2006-05-04,17617.0,,
2006-04-30,2006-05-30,17997.0,,
2006-05-31,2006-07-13,18720.0,,
2006-06-30,2006-08-10,18549.0,,
2006-07-31,2006-09-07,17993.0,,
2006-08-31,2006-10-03,18245.0,,
2006-09-30,2006-11-01,18338.0,,
2006-10-31,2006-11-28,19310.0,,
2006-11-30,2007-01-09,18869.0,,
2006-12-31,2007-02-01,19118.0,,
2007-01-31,2007-03-05,18995.0,,
2007-02-28,2007-04-02,19385.0,,
2007-03-31,2007-05-03,19461.0,,
2007-04-30,2007-05-30,19041.0,,
2007-05-31,2007-07-03,19534.0,,
2007-06-30,2007-08-01,19713.0,,
2007-07-31,2007-08-30,19118.0,,
2007-08-31,2007-10-02,20252.0,,
2007-09-30,2007-11-01,19779.0,,
2007-10-31,2007-12-02,20219.0,,
2007-11-30,2008-01-09,20634.0,,
2007-12-31,2008-02-04,,,
2008-01-31,2008-03-06,,,
2008-02-29,2008-04-07,,,
2008-03-31,2008-05-06,,,
