Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-09,63.8,64.0,64.0
2003-07-31,2003-08-06,63.4,63.9,63.9
2003-08-31,2003-09-10,63.5,63.6,63.6
2003-09-30,2003-10-08,63.5,63.6,63.6
2003-10-31,2003-11-05,63.8,63.6,63.6
2003-11-30,2003-12-10,63.7,63.8,63.8
2003-12-31,2004-01-14,63.8,63.8,63.8
2004-01-31,2004-02-11,63.8,63.8,63.8
2004-02-29,2004-03-10,63.5,63.8,63.8
2004-03-31,2004-04-07,63.7,63.5,63.5
2004-04-30,2004-05-12,63.9,63.7,63.7
2004-05-31,2004-06-09,63.5,63.8,63.8
2004-06-30,2004-07-07,63.5,63.7,63.7
2004-07-31,2004-08-11,63.6,63.6,63.6
2004-08-31,2004-09-08,63.4,63.6,63.6
2004-09-30,2004-10-06,63.6,63.5,63.5
2004-10-31,2004-11-10,63.7,63.6,63.6
2004-11-30,2004-12-08,63.7,63.6,63.6
2004-12-31,2005-01-12,63.8,63.7,63.7
2005-01-31,2005-02-09,64.1,63.8,63.8
2005-02-28,2005-03-09,64.1,64.0,64.0
2005-03-31,2005-04-06,64.5,64.1,64.1
2005-04-30,2005-05-11,64.5,64.4,64.4
2005-05-31,2005-06-08,64.6,64.4,64.4
2005-06-30,2005-07-06,64.7,64.5,64.5
2005-07-31,2005-08-10,64.7,64.7,64.6
2005-08-31,2005-09-07,64.8,64.6,64.6
2005-09-30,2005-10-12,64.5,64.8,64.8
2005-10-31,2005-11-09,64.4,64.5,64.5
2005-11-30,2005-12-07,64.4,64.4,64.4
2005-12-31,2006-01-11,64.4,64.4,64.4
2006-01-31,2006-02-08,64.4,64.4,64.4
2006-02-28,2006-03-08,64.4,64.4,64.4
2006-03-31,2006-04-05,64.4,64.4,64.4
2006-04-30,2006-05-10,64.3,64.4,64.4
2006-05-31,2006-06-07,64.5,64.3,64.4
2006-06-30,2006-07-12,64.8,64.5,64.5
2006-07-31,2006-08-09,65.0,64.7,64.7
2006-08-31,2006-09-06,65.1,65.0,64.9
2006-09-30,2006-10-11,65.1,65.0,65.0
2006-10-31,2006-11-08,64.7,65.1,65.1
2006-11-30,2006-12-06,64.8,64.8,64.8
2006-12-31,2007-01-10,64.9,64.8,64.8
2007-01-31,2007-02-07,64.8,64.9,64.9
2007-02-28,2007-03-14,64.9,64.8,64.8
2007-03-31,2007-04-11,64.8,64.9,64.9
2007-04-30,2007-05-09,64.9,64.8,64.8
2007-05-31,2007-06-06,65.0,64.9,64.9
2007-06-30,2007-07-11,64.9,65.0,65.0
2007-07-31,2007-08-08,65.0,65.0,65.2
2007-08-31,2007-09-05,65.1,65.1,65.1
