Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,7.29,,
2003-07-31,2003-07-31,9.64,,
2003-08-31,2003-08-31,9.85,,
2003-09-30,2003-09-30,10.34,,
2003-10-31,2003-10-31,10.52,,
2003-11-30,2003-11-30,10.39,,
2003-12-31,2003-12-31,10.06,,
2004-01-31,2004-01-31,10.23,,
2004-02-29,2004-02-29,10.62,,
2004-03-31,2004-03-31,9.68,,
2004-04-30,2004-04-30,9.55,,
2004-05-31,2004-05-31,8.33,,
2004-06-30,2004-06-30,8.92,,
2004-07-31,2004-07-31,7.38,,
2004-08-31,2004-08-31,6.82,,
2004-09-30,2004-09-30,6.73,,
2004-10-31,2004-10-31,6.69,,
2004-11-30,2004-11-30,6.5,,
2004-12-31,2004-12-31,6.69,,
2005-01-31,2005-01-31,6.95,,
2005-02-28,2005-02-28,6.65,,
2005-03-31,2005-03-31,7.88,,
2005-04-30,2005-04-30,9.07,,
2005-05-31,2005-05-31,10.83,,
2005-06-30,2005-06-30,9.68,,
2005-07-31,2005-07-31,11.35,,
2005-08-31,2005-08-31,10.71,,
2005-09-30,2005-09-30,10.33,,
2005-10-31,2005-10-31,9.42,,
2005-11-30,2005-11-30,10.06,,
2005-12-31,2005-12-31,10.27,,
2006-01-31,2006-01-31,9.66,,
2006-02-28,2006-02-28,10.44,,
2006-03-31,2006-03-31,11.15,,
2006-04-30,2006-04-30,11.26,,
2006-05-31,2006-05-31,10.46,,
2006-06-30,2006-06-30,10.72,,
2006-07-31,2006-07-31,10.04,,
2006-08-31,2006-08-31,10.54,,
2006-09-30,2006-09-30,10.35,,
2006-10-31,2006-10-31,11.44,,
2006-11-30,2006-11-30,10.63,,
2006-12-31,2006-12-31,11.01,,
2007-01-31,2007-01-31,11.35,,
2007-02-28,2007-02-28,11.29,,
2007-03-31,2007-03-31,11.37,,
2007-04-30,2007-04-30,12.22,,
2007-05-31,2007-05-31,12.26,,
2007-06-30,2007-06-30,15.27,,
2007-07-31,2007-07-31,14.2,,
2007-08-31,2007-08-31,16.41,,
2007-09-30,2007-09-30,14.85,,
2007-10-31,2007-10-31,14.38,,
2007-11-30,2007-11-30,14.98,,
2007-12-31,2007-12-31,13.12,,
2008-01-31,2008-01-31,12.74,,
2008-02-29,2008-02-29,11.02,,
