Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-09-30,2005-09-29,3.4,,
2005-10-31,2005-10-30,3.3,,
2005-11-30,2005-12-04,2.9,,
2005-12-31,2006-01-15,3.1,,
2006-01-31,2006-02-05,3.1,,
2006-02-28,2006-03-05,2.8,,
2006-03-31,2006-04-02,2.6,,
2006-04-30,2006-05-01,2.8,,
2006-05-31,2006-06-04,3.2,,
2006-06-30,2006-07-02,2.9,,
2006-07-31,2006-07-30,3.5,,
2006-08-31,2006-09-03,3.8,,
2006-09-30,2006-09-28,3.1,,
2006-10-31,2006-11-05,3.2,,
2006-11-30,2006-12-03,3.5,,
2006-12-31,2007-01-14,3.8,,
2007-01-31,2007-02-04,3.1,,
2007-02-28,2007-03-04,3.4,,
2007-03-31,2007-04-01,3.5,,
2007-04-30,2007-04-29,3.0,,
2007-05-31,2007-06-03,2.6,,
2007-06-30,2007-07-01,2.6,,
2007-07-31,2007-08-02,3.0,,
2007-08-31,2007-09-02,2.9,,
2007-09-30,2007-09-27,3.0,,
2007-10-31,2007-11-04,3.3,,
2007-11-30,2007-12-02,3.4,,
2007-12-31,2008-01-13,3.7,,
2008-01-31,2008-02-03,3.9,,
2008-02-29,2008-03-02,4.0,,
2008-03-31,2008-03-30,4.0,,
2008-04-30,2008-05-04,4.3,,
2008-05-31,2008-06-01,4.5,,
2008-06-30,2008-06-29,4.8,,
2008-07-31,2008-07-31,4.6,,
2008-08-31,2008-08-31,4.2,,
2008-09-30,2008-10-02,4.5,,
2008-10-31,2008-11-02,3.9,,
2008-11-30,2008-11-30,3.0,,
2008-12-31,2009-01-18,2.2,,
2009-01-31,2009-02-01,2.7,,
2009-02-28,2009-03-01,3.1,,
2009-03-31,2009-04-05,2.6,,
2009-04-30,2009-05-03,2.1,,
2009-05-31,2009-05-31,1.5,,
2009-06-30,2009-07-05,1.4,,
2009-07-31,2009-07-30,1.9,,
2009-08-31,2009-08-30,1.7,,
2009-09-30,2009-10-01,1.3,,
2009-10-31,2009-11-01,1.2,,
2009-11-30,2009-11-29,2.1,,
2009-12-31,2010-01-17,2.6,,
2010-01-31,2010-01-31,2.6,,
2010-02-28,2010-02-28,1.9,,
2010-03-31,2010-03-31,2.5,,
2010-04-30,2010-05-02,2.9,,
2010-05-31,2010-05-30,3.7,,
2010-06-30,2010-07-04,3.6,,
2010-07-31,2010-08-01,2.8,,
2010-08-31,2010-09-05,3.0,,
2010-09-30,2010-10-03,3.2,,
2010-10-31,2010-10-31,3.8,,
2010-11-30,2010-12-05,3.9,,
2010-12-31,2011-01-16,3.8,,
2011-01-31,2011-01-30,3.4,,
2011-02-28,2011-02-27,3.6,,
2011-03-31,2011-04-03,3.8,,
2011-04-30,2011-05-01,3.6,,
2011-05-31,2011-06-05,3.3,,
2011-06-30,2011-07-03,2.9,,
2011-07-31,2011-07-31,3.2,,
2011-08-31,2011-09-04,2.9,,
2011-09-30,2011-10-02,2.8,,
2011-10-31,2011-10-30,2.6,,
2011-11-30,2011-12-04,2.1,,
2011-12-31,2012-01-15,2.4,,
2012-01-31,2012-02-05,2.2,,
2012-02-29,2012-03-04,2.0,,
2012-03-31,2012-04-01,1.8,,
2012-04-30,2012-04-29,1.9,,
2012-05-31,2012-06-03,1.8,,
2012-06-30,2012-07-01,1.6,,
2012-07-31,2012-08-05,1.5,,
2012-08-31,2012-09-02,2.2,,
2012-09-30,2012-09-30,2.4,,
2012-10-31,2012-11-04,2.4,,
2012-11-30,2012-12-02,2.5,,
2012-12-31,2013-01-13,2.4,,
2013-01-31,2013-02-03,2.5,,
2013-02-28,2013-03-03,2.4,,
2013-03-31,2013-03-27,2.1,,
2013-04-30,2013-05-05,2.1,,
2013-05-31,2013-06-02,2.2,,
2013-06-30,2013-06-30,2.4,,
2013-07-31,2013-08-04,2.7,,
2013-08-31,2013-09-01,2.1,,
2013-09-30,2013-09-29,2.1,,
2013-10-31,2013-11-03,2.1,,
2013-11-30,2013-12-01,2.4,,
2013-12-31,2014-01-19,2.7,,
2014-01-31,2014-02-02,2.5,,
2014-02-28,2014-03-02,2.7,,
2014-03-31,2014-03-30,2.7,,
2014-04-30,2014-05-04,2.8,,
2014-05-31,2014-06-01,2.9,,
2014-06-30,2014-06-29,3.0,,
2014-07-31,2014-08-03,2.6,,
2014-08-31,2014-08-31,2.5,,
