Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,0.51,,
2003-07-31,2003-07-31,1.75,,
2003-08-31,2003-08-31,2.42,,
2003-09-30,2003-09-30,3.74,,
2003-10-31,2003-10-31,4.28,,
2003-11-30,2003-11-30,2.03,,
2003-12-31,2003-12-31,3.55,,
2004-01-31,2004-01-31,2.4,,
2004-02-29,2004-02-29,3.43,,
2004-03-31,2004-03-31,6.36,,
2004-04-30,2004-04-30,2.24,,
2004-05-31,2004-05-31,4.61,,
2004-06-30,2004-06-30,5.92,,
2004-07-31,2004-07-31,6.85,,
2004-08-31,2004-08-31,6.3,,
2004-09-30,2004-09-30,6.88,,
2004-10-31,2004-10-31,5.66,,
2004-11-30,2004-11-30,5.59,,
2004-12-31,2004-12-31,3.26,,
2005-01-31,2005-01-31,8.37,,
2005-02-28,2005-02-28,6.66,,
2005-03-31,2005-03-31,5.28,,
2005-04-30,2005-04-30,3.63,,
2005-05-31,2005-05-31,5.5,,
2005-06-30,2005-06-30,3.99,,
2005-07-31,2005-07-31,3.82,,
2005-08-31,2005-08-31,5.25,,
2005-09-30,2005-09-30,4.53,,
2005-10-31,2005-10-31,5.6,,
2005-11-30,2005-11-30,6.66,,
2005-12-31,2005-12-31,7.26,,
2006-01-31,2006-01-31,3.74,,
2006-02-28,2006-02-28,6.79,,
2006-03-31,2006-03-31,5.55,,
2006-04-30,2006-04-30,8.55,,
2006-05-31,2006-05-31,6.77,,
2006-06-30,2006-06-30,6.72,,
2006-07-31,2006-07-31,6.33,,
2006-08-31,2006-08-31,6.27,,
2006-09-30,2006-09-30,6.25,,
2006-10-31,2006-10-31,5.56,,
2006-11-30,2006-11-30,6.25,,
2006-12-31,2006-12-31,5.67,,
2007-01-31,2007-01-31,4.73,,
2007-02-28,2007-02-28,5.14,,
2007-03-31,2007-03-31,6.26,,
2007-04-30,2007-04-30,5.22,,
2007-05-31,2007-05-31,4.84,,
2007-06-30,2007-06-30,5.95,,
2007-07-31,2007-07-31,6.08,,
2007-08-31,2007-08-31,10.45,,
2007-09-30,2007-09-30,12.74,,
2007-10-31,2007-10-31,7.39,,
2007-11-30,2007-11-30,10.15,,
2007-12-31,2007-12-31,13.99,,
2008-01-31,2008-01-31,11.1,,
2008-02-29,2008-02-29,7.68,,
2008-03-31,2008-03-31,11.11,,
2008-04-30,2008-04-30,9.79,,
2008-05-31,2008-05-31,8.11,,
2008-06-30,2008-06-30,6.24,,
2008-07-31,2008-07-31,7.18,,
2008-08-31,2008-08-31,3.13,,
2008-09-30,2008-09-30,5.97,,
2008-10-31,2008-10-31,27.77,,
2008-11-30,2008-11-30,19.49,,
2008-12-31,2008-12-31,16.34,,
2009-01-31,2009-01-31,16.35,,
2009-02-28,2009-02-28,18.49,,
2009-03-31,2009-03-31,12.41,,
2009-04-30,2009-04-30,13.13,,
2009-05-31,2009-05-31,13.47,,
2009-06-30,2009-06-30,14.9,,
2009-07-31,2009-07-31,12.12,,
2009-08-31,2009-08-31,10.42,,
2009-09-30,2009-09-30,5.54,,
2009-10-31,2009-10-31,-8.79,,
2009-11-30,2009-11-30,-7.33,,
2009-12-31,2009-12-31,-5.3,,
2010-01-31,2010-01-31,-2.58,,
2010-02-28,2010-02-28,-4.1,,
2010-03-31,2010-03-31,0.27,,
2010-04-30,2010-04-30,-2.7,,
2010-05-31,2010-05-31,-0.06,,
2010-06-30,2010-06-30,1.15,,
2010-07-31,2010-07-31,2.19,,
2010-08-31,2010-08-31,2.46,,
2010-09-30,2010-09-30,1.92,,
2010-10-31,2010-10-31,1.84,,
2010-11-30,2010-11-30,2.22,,
2010-12-31,2010-12-31,1.79,,
2011-01-31,2011-01-31,0.24,,
2011-02-28,2011-02-28,1.83,,
2011-03-31,2011-03-31,-1.4,,
2011-04-30,2011-04-30,6.56,,
2011-05-31,2011-05-31,2.16,,
2011-06-30,2011-06-30,1.11,,
2011-07-31,2011-07-31,1.54,,
2011-08-31,2011-08-31,3.42,,
2011-09-30,2011-09-30,3.37,,
2011-10-31,2011-10-31,4.44,,
2011-11-30,2011-11-30,5.36,,
2011-12-31,2011-12-31,4.2,,
2012-01-31,2012-01-31,5.5,,
2012-02-29,2012-02-29,4.58,,
2012-03-31,2012-03-31,5.68,,
2012-04-30,2012-04-30,2.42,,
2012-05-31,2012-05-31,6.08,,
2012-06-30,2012-06-30,6.33,,
2012-07-31,2012-07-31,6.29,,
2012-08-31,2012-08-31,5.29,,
2012-09-30,2012-09-30,5.95,,
2012-10-31,2012-10-31,5.65,,
2012-11-30,2012-11-30,6.65,,
2012-12-31,2012-12-31,4.95,,
2013-01-31,2013-01-31,5.4,,
2013-02-28,2013-02-28,6.79,,
2013-03-31,2013-03-31,7.39,,
2013-04-30,2013-04-30,5.4,,
2013-05-31,2013-05-31,6.4,,
2013-06-30,2013-06-30,5.73,,
2013-07-31,2013-07-31,6.58,,
2013-08-31,2013-08-31,6.83,,
2013-09-30,2013-09-30,6.12,,
2013-10-31,2013-10-31,6.34,,
2013-11-30,2013-11-30,27.01,,
2013-12-31,2013-12-31,39.31,,
2014-01-31,2014-01-31,40.97,,
2014-02-28,2014-02-28,40.73,,
2014-03-31,2014-03-31,38.09,,
2014-04-30,2014-04-30,41.4,,
2014-05-31,2014-05-31,37.94,,
2014-06-30,2014-06-30,39.45,,
2014-07-31,2014-07-31,39.04,,
2014-08-31,2014-08-31,38.04,,
2014-09-30,2014-09-30,38.09,,
2014-10-31,2014-10-31,38.51,,
2014-11-30,2014-11-30,13.67,,
2014-12-31,2014-12-31,4.26,,
2015-01-31,2015-01-31,3.48,,
2015-02-28,2015-02-28,5.72,,
2015-03-31,2015-03-31,6.31,,
2015-04-30,2015-04-30,5.25,,
2015-05-31,2015-05-31,7.48,,
2015-06-30,2015-06-30,7.13,,
2015-07-31,2015-07-31,7.08,,
2015-08-31,2015-08-31,7.41,,
2015-09-30,2015-09-30,8.78,,
2015-10-31,2015-10-31,5.9,,
2015-11-30,2015-11-30,8.8,,
2015-12-31,2015-12-31,8.97,,
2016-01-31,2016-01-31,10.19,,
2016-02-29,2016-02-29,8.33,,
2016-03-31,2016-03-31,8.9,,
2016-04-30,2016-04-30,7.51,,
2016-05-31,2016-05-31,7.97,,
2016-06-30,2016-06-30,7.2,,
2016-07-31,2016-07-31,6.37,,
2016-08-31,2016-08-31,6.25,,
2016-09-30,2016-09-30,4.75,,
2016-10-31,2016-10-31,7.24,,
2016-11-30,2016-11-30,5.74,,
2016-12-31,2016-12-31,2.92,,
2017-01-31,2017-01-31,4.18,,
2017-02-28,2017-02-28,7.67,,
2017-03-31,2017-03-31,5.84,,
2017-04-30,2017-04-30,8.16,,
2017-05-31,2017-05-31,7.15,,
2017-06-30,2017-06-30,5.9,,
2017-07-31,2017-07-31,6.62,,
2017-08-31,2017-08-31,6.95,,
2017-09-30,2017-09-30,6.97,,
2017-10-31,2017-10-31,5.77,,
2017-11-30,2017-11-30,5.88,,
2017-12-31,2017-12-31,6.48,,
2018-01-31,2018-01-31,4.98,,
2018-02-28,2018-02-28,-0.06,,
2018-03-31,2018-03-31,3.28,,
2018-04-30,2018-04-30,2.22,,
2018-05-31,2018-05-31,2.59,,
2018-06-30,2018-06-30,3.65,,
2018-07-31,2018-07-31,3.42,,
2018-08-31,2018-08-31,2.68,,
2018-09-30,2018-09-30,3.31,,
2018-10-31,2018-10-31,5.38,,
2018-11-30,2018-11-30,4.23,,
2018-12-31,2018-12-31,3.9,,
2019-01-31,2019-01-31,5.87,,
2019-02-28,2019-02-28,6.86,,
2019-03-31,2019-03-31,4.33,,
2019-04-30,2019-04-30,4.14,,
2019-05-31,2019-05-31,3.96,,
2019-06-30,2019-06-30,4.85,,
2019-07-31,2019-07-31,4.65,,
2019-08-31,2019-08-31,3.59,,
2019-09-30,2019-09-30,4.07,,
2019-10-31,2019-10-31,3.26,,
2019-11-30,2019-11-30,2.98,,
2019-12-31,2019-12-31,2.41,,
2020-01-31,2020-01-31,2.57,,
2020-02-29,2020-02-29,3.29,,
2020-03-31,2020-03-31,21.76,,
2020-04-30,2020-04-30,72.41,,
2020-05-31,2020-05-31,62.74,,
2020-06-30,2020-06-30,47.61,,
2020-07-31,2020-07-31,56.59,,
2020-08-31,2020-08-31,48.16,,
2020-09-30,2020-09-30,49.2,,
2020-10-31,2020-10-31,46.83,,
2020-11-30,2020-11-30,54.0,,
2020-12-31,2020-12-31,74.98,,
2021-01-31,2021-01-31,101.09,,
2021-02-28,2021-02-28,128.24,,
2021-03-31,2021-03-31,114.14,,
2021-04-30,2021-04-30,59.34,,
2021-05-31,2021-05-31,80.83,,
2021-06-30,2021-06-30,134.14,,
2021-07-31,2021-07-31,157.09,,
2021-08-31,2021-08-31,187.38,,
2021-09-30,2021-09-30,184.31,,
2021-10-31,2021-10-31,197.4,,
2021-11-30,2021-11-30,188.53,,
2021-12-31,2021-12-31,151.08,,
2022-01-31,2022-01-31,131.63,,
2022-02-28,2022-02-28,108.2,,
2022-03-31,2022-03-31,84.67,,
2022-04-30,2022-04-30,74.84,,
2022-05-31,2022-05-31,63.45,,
2022-06-30,2022-06-30,33.69,,
2022-07-31,2022-07-31,20.0,,
2022-08-31,2022-08-31,17.93,,
2022-09-30,2022-09-30,14.54,,
2022-10-31,2022-10-31,12.13,,
2022-11-30,2022-11-30,10.61,,
2022-12-31,2022-12-31,9.53,,
2023-01-31,2023-01-31,5.2,,
2023-02-28,2023-02-28,4.12,,
2023-03-31,2023-03-31,1.98,,
2023-04-30,2023-04-30,1.43,,
2023-05-31,2023-05-31,-1.07,,
2023-06-30,2023-06-30,-2.97,,
2023-07-31,2023-07-31,-5.04,,
2023-08-31,2023-08-31,-9.64,,
2023-09-30,2023-09-30,-13.6,,
2023-10-31,2023-10-31,-17.97,,
2023-11-30,2023-11-30,-18.44,,
2023-12-31,2023-12-31,-19.56,,
2024-01-31,2024-01-31,-18.71,,
2024-02-29,2024-02-29,-19.97,,
2024-03-31,2024-03-31,-20.52,,
2024-04-30,2024-04-30,-20.1,,
2024-05-31,2024-05-31,-19.58,,
2024-06-30,2024-06-30,-28.55,,
2024-07-31,2024-07-31,-34.51,,
2024-08-31,2024-08-31,-32.7,,
2024-09-30,2024-09-30,-30.92,,
2024-10-31,2024-10-31,-25.92,,
2024-11-30,2024-11-30,-24.84,,
2024-12-31,2024-12-31,-22.36,,
2025-01-31,2025-01-31,-21.55,,
2025-02-28,2025-02-28,-22.26,,
2025-03-31,2025-03-31,-24.79,,
2025-04-30,2025-04-30,-24.65,,
