Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2022-09-30,2022-10-25,7.3,7.1,5.5
2022-10-31,2022-11-29,6.9,7.6,7.5
2022-11-30,2023-01-10,7.3,7.2,7.1
2022-12-31,2023-01-24,8.4,7.7,7.7
2023-01-31,2023-02-28,7.4,8.1,8.1
2023-02-28,2023-03-28,6.8,7.2,7.2
2023-03-31,2023-04-25,6.3,6.5,6.5
2023-04-30,2023-05-30,6.8,6.4,6.4
2023-05-31,2023-06-27,5.6,6.1,6.1
2023-06-30,2023-07-25,5.4,5.4,5.5
2023-07-31,2023-08-29,4.9,5.2,5.2
2023-08-31,2023-09-26,5.2,5.2,5.2
2023-09-30,2023-10-24,5.6,5.3,5.3
2023-10-31,2023-11-28,4.9,5.2,5.2
2023-11-30,2024-01-09,4.3,4.4,4.4
2023-12-31,2024-01-30,3.4,3.7,3.7
2024-01-31,2024-02-27,3.4,3.6,3.6
2024-02-29,2024-03-26,3.4,3.5,3.5
2024-03-31,2024-04-23,3.5,3.4,3.4
2024-04-30,2024-05-28,3.6,3.4,3.4
2024-05-31,2024-06-25,4.0,3.8,3.8
2024-06-30,2024-07-30,3.8,3.8,3.7
2024-07-31,2024-08-27,3.5,3.4,3.4
2024-08-31,2024-09-24,2.7,2.7,2.8
2024-09-30,2024-10-29,2.1,2.4,2.3
2024-10-31,2024-11-26,2.1,2.3,2.3
2024-11-30,2025-01-07,2.3,2.2,2.3
2024-12-31,2025-01-28,2.5,2.5,2.5
2025-01-31,2025-02-25,2.5,2.6,2.6
2025-02-28,2025-03-25,2.4,2.5,2.5
2025-03-31,2025-04-29,2.4,2.2,2.2
2025-04-30,2025-05-27,2.4,2.3,2.3
2025-05-31,2025-06-24,,,
