Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-12-31,2007-01-29,11.0,,
2007-01-31,2007-02-12,17.0,,
2007-02-28,2007-03-12,18.0,,
2007-03-31,2007-04-09,17.0,,
2007-04-30,2007-05-06,16.0,,
2007-05-31,2007-06-11,17.0,,
2007-06-30,2007-07-09,16.0,,
2007-07-31,2007-08-13,20.0,,
2007-08-31,2007-09-10,19.0,,
2007-09-30,2007-10-08,16.0,,
2007-10-31,2007-11-12,20.0,,
2007-11-30,2007-12-10,15.0,,
2007-12-31,2008-01-28,17.0,,
2008-01-31,2008-02-11,13.0,,
2008-02-29,2008-03-10,11.0,,
2008-03-31,2008-04-07,7.0,,
2008-04-30,2008-05-11,7.0,,
2008-05-31,2008-06-09,7.0,,
2008-06-30,2008-07-07,0.0,,
2008-07-31,2008-08-11,-5.0,,
2008-08-31,2008-09-08,-3.0,,
2008-09-30,2008-10-13,-1.0,,
2008-10-31,2008-11-10,-11.0,,
2008-11-30,2008-12-08,-17.0,,
2008-12-31,2009-01-26,-6.0,,
2009-01-31,2009-02-09,-11.0,,
2009-02-28,2009-03-09,-20.0,,
2009-03-31,2009-04-13,-17.0,,
2009-04-30,2009-05-10,-10.0,,
2009-05-31,2009-06-08,-14.0,,
2009-06-30,2009-07-13,-2.0,,
2009-07-31,2009-08-10,1.0,,
2009-08-31,2009-09-07,4.0,,
2009-09-30,2009-10-12,3.0,,
2009-10-31,2009-11-09,12.0,,
2009-11-30,2009-12-07,10.0,,
2009-12-31,2010-02-01,10.0,,
2010-01-31,2010-02-15,3.0,,
2010-02-28,2010-03-08,8.0,,
2010-03-31,2010-04-12,13.0,,
2010-04-30,2010-05-09,8.0,,
2010-05-31,2010-06-07,6.0,,
2010-06-30,2010-07-12,8.0,,
2010-07-31,2010-08-09,5.0,,
2010-08-31,2010-09-13,5.0,,
2010-09-30,2010-10-11,7.0,,
2010-10-31,2010-11-08,2.0,,
2010-11-30,2010-12-13,4.0,,
2010-12-31,2011-01-31,6.0,,
2011-01-31,2011-02-07,-6.0,,
2011-02-28,2011-03-07,-2.0,,
2011-03-31,2011-04-11,9.0,,
2011-04-30,2011-05-08,5.0,,
2011-05-31,2011-06-13,1.0,,
2011-06-30,2011-07-11,2.0,,
2011-07-31,2011-08-08,-1.0,,
2011-08-31,2011-09-12,-3.0,,
2011-09-30,2011-10-10,2.0,,
2011-10-31,2011-11-07,-1.0,,
2011-11-30,2011-12-12,1.0,,
2011-12-31,2012-01-30,1.0,,
2012-01-31,2012-02-13,2.0,,
2012-02-29,2012-03-12,3.0,,
2012-03-31,2012-04-09,4.0,,
2012-04-30,2012-05-06,0.0,,
2012-05-31,2012-06-11,-4.0,,
2012-06-30,2012-07-09,-1.0,,
2012-07-31,2012-08-13,-3.0,,
2012-08-31,2012-09-10,1.0,,
2012-09-30,2012-10-08,-3.0,,
2012-10-31,2012-11-12,-5.0,,
2012-11-30,2012-12-10,-5.0,,
2012-12-31,2013-01-28,-4.0,,
2013-01-31,2013-02-11,-2.0,,
2013-02-28,2013-03-11,-3.0,,
2013-03-31,2013-04-08,-7.0,,
2013-04-30,2013-05-12,-6.0,,
2013-05-31,2013-06-10,-4.0,,
2013-06-30,2013-07-08,-8.0,,
2013-07-31,2013-08-12,-7.0,,
2013-08-31,2013-09-09,-6.0,,
2013-09-30,2013-10-07,-4.0,,
2013-10-31,2013-11-11,-4.0,,
2013-11-30,2013-12-09,-3.0,,
2013-12-31,2014-01-27,4.0,,
2014-01-31,2014-02-10,4.0,,
2014-02-28,2014-03-10,0.0,,
2014-03-31,2014-04-07,1.0,,
2014-04-30,2014-05-11,0.0,,
2014-05-31,2014-06-09,-1.0,,
2014-06-30,2014-07-07,2.0,,
2014-07-31,2014-08-11,8.0,,
2014-08-31,2014-09-08,4.0,,
2014-09-30,2014-10-13,1.0,,
2014-10-31,2014-11-10,13.0,,
2014-11-30,2014-12-08,5.0,,
2014-12-31,2015-01-26,4.0,,
2015-01-31,2015-02-09,2.0,,
2015-02-28,2015-03-09,2.0,,
2015-03-31,2015-04-13,6.0,,
2015-04-30,2015-05-10,4.0,,
2015-05-31,2015-06-08,7.0,,
2015-06-30,2015-07-13,11.0,,
2015-07-31,2015-08-10,6.0,,
2015-08-31,2015-09-07,11.0,,
2015-09-30,2015-10-12,9.0,,
2015-10-31,2015-11-09,9.0,,
2015-11-30,2015-12-07,10.0,,
2015-12-31,2016-01-24,7.0,,
2016-01-31,2016-02-08,5.0,,
2016-02-29,2016-03-07,8.0,,
2016-03-31,2016-04-11,12.0,,
2016-04-30,2016-05-01,9.0,,
2016-05-31,2016-06-13,10.0,,
2016-06-30,2016-07-11,12.0,,
2016-07-31,2016-08-08,8.0,,
2016-08-31,2016-09-12,7.0,,
2016-09-30,2016-10-10,8.0,,
2016-10-31,2016-11-07,6.0,,
2016-11-30,2016-12-12,5.0,,
2016-12-31,2017-01-30,11.0,,
2017-01-31,2017-02-13,16.0,,
2017-02-28,2017-03-13,9.0,,
2017-03-31,2017-04-10,14.0,,
2017-04-30,2017-05-07,14.0,,
2017-05-31,2017-06-12,12.0,,
2017-06-30,2017-07-10,15.0,,
2017-07-31,2017-08-07,15.0,,
2017-08-31,2017-09-11,15.0,,
2017-09-30,2017-10-09,14.0,,
2017-10-31,2017-11-13,21.0,,
2017-11-30,2017-12-11,12.0,,
2017-12-31,2018-01-29,13.0,,
2018-01-31,2018-02-12,19.0,,
2018-02-28,2018-03-12,21.0,,
2018-03-31,2018-04-09,14.0,,
2018-04-30,2018-05-06,21.0,,
2018-05-31,2018-06-11,15.0,,
2018-06-30,2018-07-09,15.0,,
2018-07-31,2018-08-13,12.0,,
2018-08-31,2018-09-10,15.0,,
2018-09-30,2018-10-08,15.0,,
2018-10-31,2018-11-12,12.0,,
2018-11-30,2018-12-10,11.0,,
2018-12-31,2019-01-28,2.0,,
2019-01-31,2019-02-11,7.0,,
2019-02-28,2019-03-11,4.0,,
2019-03-31,2019-03-31,7.0,,
2019-04-30,2019-05-13,3.0,,
2019-05-31,2019-06-10,1.0,,
2019-06-30,2019-07-08,3.0,,
2019-07-31,2019-08-12,2.0,,
2019-08-31,2019-09-09,1.0,,
