Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-06-30,2007-07-29,12.0,,
2007-09-30,2007-10-28,9.0,,
2007-12-31,2008-02-04,6.0,,
2008-03-31,2008-04-28,-4.0,,
2008-06-30,2008-07-27,-8.0,,
2008-09-30,2008-10-27,-7.0,,
2008-12-31,2009-02-11,-31.0,,
2009-03-31,2009-04-29,-24.0,,
2009-06-30,2009-07-27,-4.0,,
2009-09-30,2009-10-26,16.0,,
2009-12-31,2010-02-17,18.0,,
2010-03-31,2010-04-26,17.0,,
2010-06-30,2010-07-21,3.0,,
2010-09-30,2010-10-25,9.0,,
2010-12-31,2011-02-21,5.0,,
2011-03-31,2011-04-20,11.0,,
2011-06-30,2011-07-20,6.0,,
2011-09-30,2011-10-19,-4.0,,
2011-12-31,2012-02-08,1.0,,
2012-03-31,2012-04-18,-1.0,,
2012-06-30,2012-07-18,-2.0,,
2012-09-30,2012-10-17,-2.0,,
2012-12-31,2013-02-06,-5.0,,
2013-03-31,2013-04-17,2.0,,
2013-06-30,2013-07-17,-1.0,,
2013-09-30,2013-10-16,3.0,,
2013-12-31,2014-02-05,8.0,,
2014-03-31,2014-04-16,6.0,,
2014-06-30,2014-07-16,6.0,,
2014-09-30,2014-10-22,6.0,,
2014-12-31,2015-02-03,2.0,,
2015-03-31,2015-04-22,0.0,,
2015-06-30,2015-07-22,4.11,,
2015-09-30,2015-10-21,0.47,,
2015-12-31,2016-02-03,4.41,,
2016-03-31,2016-04-20,3.72,,
2016-06-30,2016-07-20,2.49,,
2016-09-30,2016-10-19,5.0,,
2016-12-31,2017-02-08,5.0,,
2017-03-31,2017-04-19,6.0,,
2017-06-30,2017-07-19,7.0,,
2017-09-30,2017-10-18,7.0,,
2017-12-31,2018-02-07,6.0,,
2018-03-31,2018-04-18,7.0,,
2018-06-30,2018-07-18,7.0,,
2018-09-30,2018-10-17,3.0,,
2018-12-31,2019-02-06,1.0,,
2019-03-31,2019-04-17,-1.0,,
2019-06-30,2019-07-17,6.0,,
2019-09-30,2019-10-16,-2.0,,
2019-12-31,2020-02-05,-1.0,,
2020-03-31,2020-04-01,-11.0,,
2020-06-30,2020-07-22,-15.0,,
2020-09-30,2020-10-28,-10.0,,
2020-12-31,2021-02-03,14.0,,
2021-03-31,2021-04-21,17.0,,
2021-06-30,2021-07-21,17.0,,
2021-09-30,2021-10-20,-1.0,,
2021-12-31,2022-02-02,18.0,,
2022-03-31,2022-04-20,14.0,,
2022-06-30,2022-07-20,5.0,,
2022-09-30,2022-10-19,9.0,,
2022-12-31,2023-02-01,-1.0,,
2023-03-31,2023-04-19,-4.0,,
2023-06-30,2023-07-19,-3.0,,
2023-09-30,2023-10-18,-1.0,,
2023-12-31,2024-01-31,-6.0,,
2024-03-31,2024-04-17,-2.0,,
2024-06-30,2024-07-17,-1.0,,
2024-09-30,2024-10-16,,,
