Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,204367.0,,
2003-09-30,2003-09-30,209088.0,,
2003-12-31,2003-12-31,214334.0,,
2004-03-31,2004-03-31,218487.0,,
2004-06-30,2004-06-30,221903.0,,
2004-09-30,2004-09-30,225004.0,,
2004-12-31,2004-12-31,228931.0,,
2005-03-31,2005-03-31,233246.0,,
2005-06-30,2005-06-30,238178.0,,
2005-09-30,2005-09-30,243697.0,,
2005-12-31,2005-12-31,249088.0,,
2006-03-31,2006-03-31,252022.0,,
2006-06-30,2006-06-30,255328.0,,
2006-09-30,2006-09-30,262803.0,,
2006-12-31,2006-12-31,269797.0,,
2007-03-31,2007-03-31,276632.0,,
2007-06-30,2007-06-30,280712.0,,
2007-09-30,2007-09-30,285153.0,,
2007-12-31,2007-12-31,290509.0,,
2008-03-31,2008-03-31,298149.0,,
2008-06-30,2008-06-30,305836.0,,
2008-09-30,2008-09-30,315463.0,,
2008-12-31,2008-12-31,315913.0,,
2009-03-31,2009-03-31,317331.0,,
2009-06-30,2009-06-30,312767.0,,
2009-09-30,2009-09-30,313783.0,,
2009-12-31,2009-12-31,320904.0,,
2010-03-31,2010-03-31,328418.0,,
2010-06-30,2010-06-30,340020.0,,
2010-09-30,2010-09-30,344957.0,,
2010-12-31,2010-12-31,351072.0,,
2011-03-31,2011-03-31,356842.0,,
2011-06-30,2011-06-30,365838.0,,
2011-09-30,2011-09-30,372327.0,,
2011-12-31,2011-12-31,373207.0,,
2012-03-31,2012-03-31,374227.0,,
2012-06-30,2012-06-30,379478.0,,
2012-09-30,2012-09-30,380340.0,,
2012-12-31,2012-12-31,381834.0,,
2013-03-31,2013-03-31,385589.0,,
2013-06-30,2013-06-30,389853.0,,
2013-09-30,2013-09-30,393956.0,,
2013-12-31,2013-12-31,400060.0,,
2014-03-31,2014-03-31,403254.0,,
2014-06-30,2014-06-30,402751.0,,
2014-09-30,2014-09-30,402725.0,,
2014-12-31,2014-12-31,405269.0,,
2015-03-31,2015-03-31,408232.0,,
2015-06-30,2015-06-30,407281.0,,
2015-09-30,2015-09-30,411885.0,,
2015-12-31,2015-12-31,412118.0,,
2016-03-31,2016-03-31,414494.0,,
2016-06-30,2016-06-30,419266.0,,
2016-09-30,2016-09-30,424715.0,,
2016-12-31,2016-12-31,438897.0,,
2017-03-31,2017-03-31,446713.0,,
2017-06-30,2017-06-30,446706.0,,
2017-09-30,2017-09-30,452601.0,,
2017-12-31,2017-12-31,455183.0,,
2018-03-31,2018-03-31,463997.0,,
2018-06-30,2018-06-30,470250.0,,
2018-09-30,2018-09-30,477632.0,,
2018-12-31,2018-12-31,482380.0,,
2019-03-31,2019-03-31,489544.0,,
2019-06-30,2019-06-30,497139.0,,
2019-09-30,2019-09-30,503900.0,,
2019-12-31,2019-12-31,502848.0,,
2020-03-31,2020-03-31,504765.0,,
2020-06-30,2020-06-30,468676.0,,
2020-09-30,2020-09-30,488769.0,,
2020-12-31,2020-12-31,511430.0,,
2021-03-31,2021-03-31,532781.0,,
2021-06-30,2021-06-30,551947.0,,
2021-09-30,2021-09-30,549902.0,,
2021-12-31,2021-12-31,567956.0,,
2022-03-31,2022-03-31,593084.0,,
2022-06-30,2022-06-30,621645.0,,
2022-09-30,2022-09-30,630020.0,,
2022-12-31,2022-12-31,638306.0,,
2023-03-31,2023-03-31,650175.0,,
2023-06-30,2023-06-30,647971.0,,
2023-09-30,2023-09-30,656822.0,,
2023-12-31,2023-12-31,665765.0,,
2024-03-31,2024-03-31,674490.0,,
2024-06-30,2024-06-30,676483.0,,
2024-09-30,2024-09-30,679674.0,,
2024-12-31,2024-12-31,690122.0,,
2025-03-31,2025-03-31,699617.0,,
