Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,65.82,,
2003-09-30,2003-09-30,66.64,,
2003-12-31,2003-12-31,67.3,,
2004-03-31,2004-03-31,67.79,,
2004-06-30,2004-06-30,68.12,,
2004-09-30,2004-09-30,69.02,,
2004-12-31,2004-12-31,69.68,,
2005-03-31,2005-03-31,70.42,,
2005-06-30,2005-06-30,70.91,,
2005-09-30,2005-09-30,71.9,,
2005-12-31,2005-12-31,72.56,,
2006-03-31,2006-03-31,73.29,,
2006-06-30,2006-06-30,73.87,,
2006-09-30,2006-09-30,74.69,,
2006-12-31,2006-12-31,75.43,,
2007-03-31,2007-03-31,76.25,,
2007-06-30,2007-06-30,76.83,,
2007-09-30,2007-09-30,77.9,,
2007-12-31,2007-12-31,78.64,,
2008-03-31,2008-03-31,79.38,,
2008-06-30,2008-06-30,80.12,,
2008-09-30,2008-09-30,81.02,,
2008-12-31,2008-12-31,82.0,,
2009-03-31,2009-03-31,82.58,,
2009-06-30,2009-06-30,83.07,,
2009-09-30,2009-09-30,83.81,,
2009-12-31,2009-12-31,84.39,,
2010-03-31,2010-03-31,85.13,,
2010-06-30,2010-06-30,85.62,,
2010-09-30,2010-09-30,86.85,,
2010-12-31,2010-12-31,87.59,,
2011-03-31,2011-03-31,88.41,,
2011-06-30,2011-06-30,88.91,,
2011-09-30,2011-09-30,89.98,,
2011-12-31,2011-12-31,90.8,,
2012-03-31,2012-03-31,91.54,,
2012-06-30,2012-06-30,92.19,,
2012-09-30,2012-09-30,93.26,,
2012-12-31,2012-12-31,93.92,,
2013-03-31,2013-03-31,94.49,,
2013-06-30,2013-06-30,94.91,,
2013-09-30,2013-09-30,95.81,,
2013-12-31,2013-12-31,96.3,,
2014-03-31,2014-03-31,96.96,,
2014-06-30,2014-06-30,97.37,,
2014-09-30,2014-09-30,98.19,,
2014-12-31,2014-12-31,98.77,,
2015-03-31,2015-03-31,99.18,,
2015-06-30,2015-06-30,99.59,,
2015-09-30,2015-09-30,100.41,,
2015-12-31,2015-12-31,100.82,,
2016-03-31,2016-03-31,101.23,,
2016-06-30,2016-06-30,101.64,,
2016-09-30,2016-09-30,102.38,,
2016-12-31,2016-12-31,102.79,,
2017-03-31,2017-03-31,103.2,,
2017-06-30,2017-06-30,103.62,,
2017-09-30,2017-09-30,104.44,,
2017-12-31,2017-12-31,104.93,,
2018-03-31,2018-03-31,105.34,,
2018-06-30,2018-06-30,105.75,,
2018-12-31,2018-12-31,107.31,,
2019-03-31,2019-03-31,107.81,,
2019-06-30,2019-06-30,108.3,,
2019-09-30,2019-09-30,109.2,,
2019-12-31,2019-12-31,109.7,,
2020-03-31,2020-03-31,110.19,,
2020-06-30,2020-06-30,110.19,,
2020-09-30,2020-09-30,110.68,,
2020-12-31,2020-12-31,111.26,,
2021-03-31,2021-03-31,111.83,,
2021-06-30,2021-06-30,112.16,,
2021-09-30,2021-09-30,113.15,,
2021-12-31,2021-12-31,113.8,,
2022-03-31,2022-03-31,114.46,,
2022-06-30,2022-06-30,115.12,,
2022-09-30,2022-09-30,116.76,,
