Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,69.43,,
2003-09-30,2003-09-30,68.9,,
2003-12-31,2003-12-31,68.98,,
2004-03-31,2004-03-31,70.02,,
2004-06-30,2004-06-30,69.99,,
2004-09-30,2004-09-30,70.37,,
2004-12-31,2004-12-31,70.3,,
2005-03-31,2005-03-31,71.43,,
2005-06-30,2005-06-30,72.35,,
2005-09-30,2005-09-30,71.9,,
2005-12-31,2005-12-31,71.59,,
2006-03-31,2006-03-31,71.1,,
2006-06-30,2006-06-30,72.19,,
2006-09-30,2006-09-30,74.36,,
2006-12-31,2006-12-31,75.83,,
2007-03-31,2007-03-31,75.82,,
2007-06-30,2007-06-30,75.83,,
2007-09-30,2007-09-30,76.74,,
2007-12-31,2007-12-31,76.85,,
2008-03-31,2008-03-31,78.54,,
2008-06-30,2008-06-30,79.29,,
2008-09-30,2008-09-30,79.69,,
2008-12-31,2008-12-31,77.75,,
2009-03-31,2009-03-31,77.35,,
2009-06-30,2009-06-30,77.76,,
2009-09-30,2009-09-30,79.01,,
2009-12-31,2009-12-31,81.27,,
2010-03-31,2010-03-31,82.78,,
2010-06-30,2010-06-30,82.75,,
2010-09-30,2010-09-30,82.6,,
2010-12-31,2010-12-31,82.06,,
2011-03-31,2011-03-31,80.62,,
2011-06-30,2011-06-30,82.99,,
2011-09-30,2011-09-30,84.67,,
2011-12-31,2011-12-31,85.61,,
2012-03-31,2012-03-31,86.03,,
2012-06-30,2012-06-30,85.9,,
2012-09-30,2012-09-30,88.3,,
2012-12-31,2012-12-31,89.02,,
2013-03-31,2013-03-31,88.8,,
2013-06-30,2013-06-30,89.98,,
2013-09-30,2013-09-30,91.7,,
2013-12-31,2013-12-31,93.17,,
2014-03-31,2014-03-31,94.74,,
2014-06-30,2014-06-30,96.47,,
2014-09-30,2014-09-30,97.74,,
2014-12-31,2014-12-31,97.87,,
2015-03-31,2015-03-31,98.62,,
2015-06-30,2015-06-30,98.38,,
2015-09-30,2015-09-30,101.27,,
2015-12-31,2015-12-31,101.53,,
2016-03-31,2016-03-31,103.37,,
2016-06-30,2016-06-30,102.68,,
2016-09-30,2016-09-30,102.29,,
2016-12-31,2016-12-31,103.09,,
2017-03-31,2017-03-31,102.61,,
2017-06-30,2017-06-30,104.04,,
2017-09-30,2017-09-30,105.27,,
2017-12-31,2017-12-31,105.64,,
2018-03-31,2018-03-31,108.34,,
2018-06-30,2018-06-30,108.86,,
2018-09-30,2018-09-30,108.83,,
2018-12-31,2018-12-31,109.6,,
2019-03-31,2019-03-31,110.42,,
2019-06-30,2019-06-30,111.38,,
2019-09-30,2019-09-30,112.55,,
2019-12-31,2019-12-31,113.12,,
2020-03-31,2020-03-31,113.15,,
2020-06-30,2020-06-30,110.08,,
2020-09-30,2020-09-30,110.49,,
2020-12-31,2020-12-31,110.34,,
2021-03-31,2021-03-31,111.14,,
2021-06-30,2021-06-30,110.88,,
2021-09-30,2021-09-30,110.58,,
2021-12-31,2021-12-31,109.56,,
2022-03-31,2022-03-31,109.31,,
2022-06-30,2022-06-30,108.97,,
2022-09-30,2022-09-30,109.66,,
2022-12-31,2022-12-31,109.58,,
2023-03-31,2023-03-31,109.78,,
2023-06-30,2023-06-30,110.6,,
2023-09-30,2023-09-30,109.63,,
2023-12-31,2023-12-31,110.01,,
2024-03-31,2024-03-31,110.36,,
2024-06-30,2024-06-30,110.32,,
2024-09-30,2024-09-30,109.26,,
2024-12-31,2024-12-31,108.42,,
2025-03-31,2025-03-31,106.86,,
