Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,71.0403,,
2003-07-31,2003-07-31,71.2387,,
2003-08-31,2003-08-31,71.4446,,
2003-09-30,2003-09-30,71.6527,,
2003-10-31,2003-10-31,71.8542,,
2003-11-30,2003-11-30,72.0477,,
2003-12-31,2003-12-31,72.2382,,
2004-01-31,2004-01-31,72.4375,,
2004-02-29,2004-02-29,72.6488,,
2004-03-31,2004-03-31,72.8693,,
2004-04-30,2004-04-30,73.0929,,
2004-05-31,2004-05-31,73.3163,,
2004-06-30,2004-06-30,73.5374,,
2004-07-31,2004-07-31,73.7622,,
2004-08-31,2004-08-31,73.9999,,
2004-09-30,2004-09-30,74.2472,,
2004-10-31,2004-10-31,74.4922,,
2004-11-30,2004-11-30,74.7153,,
2004-12-31,2004-12-31,74.9044,,
2005-01-31,2005-01-31,75.0643,,
2005-02-28,2005-02-28,75.2108,,
2005-03-31,2005-03-31,75.3675,,
2005-04-30,2005-04-30,75.5449,,
2005-05-31,2005-05-31,75.7306,,
2005-06-30,2005-06-30,75.9126,,
2005-07-31,2005-07-31,76.0925,,
2005-08-31,2005-08-31,76.2811,,
2005-09-30,2005-09-30,76.4881,,
2005-10-31,2005-10-31,76.7081,,
2005-11-30,2005-11-30,76.9286,,
2005-12-31,2005-12-31,77.1413,,
2006-01-31,2006-01-31,77.3389,,
2006-02-28,2006-02-28,77.5295,,
2006-03-31,2006-03-31,77.7168,,
2006-04-30,2006-04-30,77.9177,,
2006-05-31,2006-05-31,78.1604,,
2006-06-30,2006-06-30,78.4557,,
2006-07-31,2006-07-31,78.7853,,
2006-08-31,2006-08-31,79.121,,
2006-09-30,2006-09-30,79.445,,
2006-10-31,2006-10-31,79.7472,,
2006-11-30,2006-11-30,80.0222,,
2006-12-31,2006-12-31,80.2665,,
2007-01-31,2007-01-31,80.4933,,
2007-02-28,2007-02-28,80.7116,,
2007-03-31,2007-03-31,80.9248,,
2007-04-30,2007-04-30,81.1393,,
2007-05-31,2007-05-31,81.3552,,
2007-06-30,2007-06-30,81.5694,,
2007-07-31,2007-07-31,81.788,,
2007-08-31,2007-08-31,82.0107,,
2007-09-30,2007-09-30,82.238,,
2007-10-31,2007-10-31,82.4499,,
2007-11-30,2007-11-30,82.6231,,
2007-12-31,2007-12-31,82.7433,,
2008-01-31,2008-01-31,82.8226,,
2008-02-29,2008-02-29,82.8915,,
2008-03-31,2008-03-31,82.9758,,
2008-04-30,2008-04-30,83.0773,,
2008-05-31,2008-05-31,83.1681,,
2008-06-30,2008-06-30,83.2272,,
2008-07-31,2008-07-31,83.2505,,
2008-08-31,2008-08-31,83.2371,,
2008-09-30,2008-09-30,83.1767,,
2008-10-31,2008-10-31,83.0808,,
2008-11-30,2008-11-30,82.9709,,
2008-12-31,2008-12-31,82.8947,,
2009-01-31,2009-01-31,82.8942,,
2009-02-28,2009-02-28,82.9888,,
2009-03-31,2009-03-31,83.1827,,
2009-04-30,2009-04-30,83.4631,,
2009-05-31,2009-05-31,83.8235,,
2009-06-30,2009-06-30,84.2489,,
2009-07-31,2009-07-31,84.72,,
2009-08-31,2009-08-31,85.2127,,
2009-09-30,2009-09-30,85.6974,,
2009-10-31,2009-10-31,86.153,,
2009-11-30,2009-11-30,86.5729,,
2009-12-31,2009-12-31,86.9559,,
2010-01-31,2010-01-31,87.3029,,
2010-02-28,2010-02-28,87.6047,,
2010-03-31,2010-03-31,87.8674,,
2010-04-30,2010-04-30,88.0971,,
2010-05-31,2010-05-31,88.2989,,
2010-06-30,2010-06-30,88.4812,,
2010-07-31,2010-07-31,88.6583,,
2010-08-31,2010-08-31,88.85,,
2010-09-30,2010-09-30,89.0591,,
2010-10-31,2010-10-31,89.277,,
2010-11-30,2010-11-30,89.4732,,
2010-12-31,2010-12-31,89.6362,,
2011-01-31,2011-01-31,89.7536,,
2011-02-28,2011-02-28,89.8203,,
2011-03-31,2011-03-31,89.8481,,
2011-04-30,2011-04-30,89.8474,,
2011-05-31,2011-05-31,89.8513,,
2011-06-30,2011-06-30,89.8863,,
2011-07-31,2011-07-31,89.9639,,
2011-08-31,2011-08-31,90.0833,,
2011-09-30,2011-09-30,90.2246,,
2011-10-31,2011-10-31,90.3859,,
2011-11-30,2011-11-30,90.5695,,
2011-12-31,2011-12-31,90.7707,,
2012-01-31,2012-01-31,90.9939,,
2012-02-29,2012-02-29,91.2513,,
2012-03-31,2012-03-31,91.5439,,
2012-04-30,2012-04-30,91.8751,,
2012-05-31,2012-05-31,92.2165,,
2012-06-30,2012-06-30,92.5358,,
2012-07-31,2012-07-31,92.8096,,
2012-08-31,2012-08-31,93.0363,,
2012-09-30,2012-09-30,93.2297,,
2012-10-31,2012-10-31,93.3884,,
2012-11-30,2012-11-30,93.5253,,
2012-12-31,2012-12-31,93.6583,,
2013-01-31,2013-01-31,93.7995,,
2013-02-28,2013-02-28,93.971,,
2013-03-31,2013-03-31,94.1778,,
2013-04-30,2013-04-30,94.4058,,
2013-05-31,2013-05-31,94.6378,,
2013-06-30,2013-06-30,94.8765,,
2013-07-31,2013-07-31,95.1406,,
2013-08-31,2013-08-31,95.4439,,
2013-09-30,2013-09-30,95.7688,,
2013-10-31,2013-10-31,96.0646,,
2013-11-30,2013-11-30,96.289,,
2013-12-31,2013-12-31,96.4258,,
2014-01-31,2014-01-31,96.5003,,
2014-02-28,2014-02-28,96.5529,,
2014-03-31,2014-03-31,96.6282,,
2014-04-30,2014-04-30,96.7522,,
2014-05-31,2014-05-31,96.9478,,
2014-06-30,2014-06-30,97.2182,,
2014-07-31,2014-07-31,97.5486,,
2014-08-31,2014-08-31,97.9161,,
2014-09-30,2014-09-30,98.2978,,
2014-10-31,2014-10-31,98.6917,,
2014-11-30,2014-11-30,99.0644,,
2014-12-31,2014-12-31,99.3855,,
2015-01-31,2015-01-31,99.6438,,
2015-02-28,2015-02-28,99.8384,,
2015-03-31,2015-03-31,99.9788,,
2015-04-30,2015-04-30,100.0764,,
2015-05-31,2015-05-31,100.1563,,
2015-06-30,2015-06-30,100.2329,,
2015-07-31,2015-07-31,100.326,,
2015-08-31,2015-08-31,100.4413,,
2015-09-30,2015-09-30,100.5707,,
2015-10-31,2015-10-31,100.7097,,
2015-11-30,2015-11-30,100.8534,,
2015-12-31,2015-12-31,101.0255,,
2016-01-31,2016-01-31,101.2295,,
2016-02-29,2016-02-29,101.4638,,
2016-03-31,2016-03-31,101.7183,,
2016-04-30,2016-04-30,101.9853,,
2016-05-31,2016-05-31,102.2576,,
2016-06-30,2016-06-30,102.5359,,
2016-07-31,2016-07-31,102.8212,,
2016-08-31,2016-08-31,103.0835,,
2016-09-30,2016-09-30,103.3188,,
2016-10-31,2016-10-31,103.5454,,
2016-11-30,2016-11-30,103.7784,,
2016-12-31,2016-12-31,104.0109,,
2017-01-31,2017-01-31,104.2356,,
2017-02-28,2017-02-28,104.4628,,
2017-03-31,2017-03-31,104.6869,,
2017-04-30,2017-04-30,104.9112,,
2017-05-31,2017-05-31,105.124,,
2017-06-30,2017-06-30,105.32,,
2017-07-31,2017-07-31,105.4846,,
2017-08-31,2017-08-31,105.6241,,
2017-09-30,2017-09-30,105.7471,,
2017-10-31,2017-10-31,105.8531,,
2017-11-30,2017-11-30,105.9333,,
2017-12-31,2017-12-31,105.9872,,
2018-01-31,2018-01-31,106.053,,
2018-02-28,2018-02-28,106.1624,,
2018-03-31,2018-03-31,106.3432,,
2018-04-30,2018-04-30,106.5767,,
2018-05-31,2018-05-31,106.8404,,
2018-06-30,2018-06-30,107.0972,,
2018-07-31,2018-07-31,107.3141,,
2018-08-31,2018-08-31,107.4767,,
2018-09-30,2018-09-30,107.5968,,
2018-10-31,2018-10-31,107.7013,,
2018-11-30,2018-11-30,107.829,,
2018-12-31,2018-12-31,108.0166,,
2019-01-31,2019-01-31,108.2688,,
2019-02-28,2019-02-28,108.5762,,
2019-03-31,2019-03-31,108.9174,,
2019-04-30,2019-04-30,109.2743,,
2019-05-31,2019-05-31,109.6289,,
