Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,2.6451,,
2003-07-31,2003-07-31,2.8098,,
2003-08-31,2003-08-31,2.9434,,
2003-09-30,2003-09-30,3.0263,,
2003-10-31,2003-10-31,3.0528,,
2003-11-30,2003-11-30,3.0599,,
2003-12-31,2003-12-31,3.0661,,
2004-01-31,2004-01-31,3.0942,,
2004-02-29,2004-02-29,3.1668,,
2004-03-31,2004-03-31,3.2734,,
2004-04-30,2004-04-30,3.3849,,
2004-05-31,2004-05-31,3.4686,,
2004-06-30,2004-06-30,3.515,,
2004-07-31,2004-07-31,3.5423,,
2004-08-31,2004-08-31,3.5766,,
2004-09-30,2004-09-30,3.621,,
2004-10-31,2004-10-31,3.6713,,
2004-11-30,2004-11-30,3.7026,,
2004-12-31,2004-12-31,3.6908,,
2005-01-31,2005-01-31,3.6264,,
2005-02-28,2005-02-28,3.5266,,
2005-03-31,2005-03-31,3.4283,,
2005-04-30,2005-04-30,3.3547,,
2005-05-31,2005-05-31,3.293,,
2005-06-30,2005-06-30,3.23,,
2005-07-31,2005-07-31,3.1592,,
2005-08-31,2005-08-31,3.0827,,
2005-09-30,2005-09-30,3.0181,,
2005-10-31,2005-10-31,2.9747,,
2005-11-30,2005-11-30,2.9623,,
2005-12-31,2005-12-31,2.9863,,
2006-01-31,2006-01-31,3.0302,,
2006-02-28,2006-02-28,3.0829,,
2006-03-31,2006-03-31,3.1171,,
2006-04-30,2006-04-30,3.141,,
2006-05-31,2006-05-31,3.2084,,
2006-06-30,2006-06-30,3.35,,
2006-07-31,2006-07-31,3.5389,,
2006-08-31,2006-08-31,3.7229,,
2006-09-30,2006-09-30,3.8658,,
2006-10-31,2006-10-31,3.9619,,
2006-11-30,2006-11-30,4.0215,,
2006-12-31,2006-12-31,4.0513,,
2007-01-31,2007-01-31,4.0786,,
2007-02-28,2007-02-28,4.1045,,
2007-03-31,2007-03-31,4.1279,,
2007-04-30,2007-04-30,4.1346,,
2007-05-31,2007-05-31,4.0875,,
2007-06-30,2007-06-30,3.9686,,
2007-07-31,2007-07-31,3.8112,,
2007-08-31,2007-08-31,3.6522,,
2007-09-30,2007-09-30,3.5156,,
2007-10-31,2007-10-31,3.3891,,
2007-11-30,2007-11-30,3.2502,,
2007-12-31,2007-12-31,3.0857,,
2008-01-31,2008-01-31,2.8938,,
2008-02-29,2008-02-29,2.7008,,
2008-03-31,2008-03-31,2.5345,,
