Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,2714.0,,
2003-07-31,2003-07-31,2678.9,,
2003-08-31,2003-08-31,2694.1,,
2003-09-30,2003-09-30,2690.1,,
2003-10-31,2003-10-31,2681.6,,
2003-11-30,2003-11-30,2664.6,,
2003-12-31,2003-12-31,2684.2,,
2004-01-31,2004-01-31,2656.3,,
2004-02-29,2004-02-29,2686.5,,
2004-03-31,2004-03-31,2679.8,,
2004-04-30,2004-04-30,2694.3,,
2004-05-31,2004-05-31,2710.1,,
2004-06-30,2004-06-30,2697.5,,
2004-07-31,2004-07-31,2699.3,,
2004-08-31,2004-08-31,2688.1,,
2004-09-30,2004-09-30,2730.8,,
2004-10-31,2004-10-31,2734.9,,
2004-11-30,2004-11-30,2755.3,,
2004-12-31,2004-12-31,2755.5,,
2005-01-31,2005-01-31,2776.1,,
2005-02-28,2005-02-28,2761.7,,
2005-03-31,2005-03-31,2801.3,,
2005-04-30,2005-04-30,2792.8,,
2005-05-31,2005-05-31,2805.7,,
2005-06-30,2005-06-30,2798.0,,
2005-07-31,2005-07-31,2821.7,,
2005-08-31,2005-08-31,2847.8,,
2005-09-30,2005-09-30,2845.3,,
2005-10-31,2005-10-31,2868.9,,
2005-11-30,2005-11-30,2835.2,,
2005-12-31,2005-12-31,2858.0,,
2006-01-31,2006-01-31,2821.4,,
2006-02-28,2006-02-28,2855.4,,
2006-03-31,2006-03-31,2894.7,,
2006-04-30,2006-04-30,2882.3,,
2006-05-31,2006-05-31,2886.1,,
2006-06-30,2006-06-30,2900.3,,
2006-07-31,2006-07-31,2915.2,,
2006-08-31,2006-08-31,2909.7,,
2006-09-30,2006-09-30,2915.5,,
2006-10-31,2006-10-31,2924.5,,
2006-11-30,2006-11-30,2928.0,,
2006-12-31,2006-12-31,2940.2,,
2007-01-31,2007-01-31,2919.0,,
2007-02-28,2007-02-28,2926.3,,
2007-03-31,2007-03-31,2917.8,,
2007-04-30,2007-04-30,2949.0,,
2007-05-31,2007-05-31,2926.0,,
2007-06-30,2007-06-30,2959.4,,
2007-07-31,2007-07-31,2962.4,,
2007-08-31,2007-08-31,2971.8,,
2007-09-30,2007-09-30,3015.5,,
2007-10-31,2007-10-31,2942.2,,
2007-11-30,2007-11-30,2995.2,,
2007-12-31,2007-12-31,2999.7,,
2008-01-31,2008-01-31,3035.9,,
2008-02-29,2008-02-29,3014.6,,
2008-03-31,2008-03-31,3045.7,,
2008-04-30,2008-04-30,3072.0,,
2008-05-31,2008-05-31,3046.6,,
2008-06-30,2008-06-30,3059.9,,
2008-07-31,2008-07-31,3003.7,,
2008-08-31,2008-08-31,3030.9,,
2008-09-30,2008-09-30,3056.5,,
2008-10-31,2008-10-31,3084.5,,
2008-11-30,2008-11-30,3075.7,,
2008-12-31,2008-12-31,3123.8,,
2009-01-31,2009-01-31,3068.7,,
2009-02-28,2009-02-28,3141.5,,
2009-03-31,2009-03-31,3150.9,,
2009-04-30,2009-04-30,3128.2,,
2009-05-31,2009-05-31,3156.1,,
2009-06-30,2009-06-30,3157.7,,
2009-07-31,2009-07-31,3202.5,,
2009-08-31,2009-08-31,3218.2,,
2009-09-30,2009-09-30,3231.6,,
2009-10-31,2009-10-31,3238.1,,
2009-11-30,2009-11-30,3242.7,,
2009-12-31,2009-12-31,3270.6,,
2010-01-31,2010-01-31,3297.2,,
2010-02-28,2010-02-28,3297.8,,
2010-03-31,2010-03-31,3289.6,,
2010-04-30,2010-04-30,3259.6,,
2010-05-31,2010-05-31,3244.4,,
2010-06-30,2010-06-30,3280.0,,
2010-07-31,2010-07-31,3306.1,,
2010-08-31,2010-08-31,3284.3,,
2010-09-30,2010-09-30,3273.1,,
2010-10-31,2010-10-31,3311.5,,
2010-11-30,2010-11-30,3305.2,,
2010-12-31,2010-12-31,3313.9,,
2011-01-31,2011-01-31,3336.3,,
2011-02-28,2011-02-28,3279.7,,
2011-03-31,2011-03-31,3283.7,,
2011-04-30,2011-04-30,3298.6,,
2011-05-31,2011-05-31,3336.5,,
2011-06-30,2011-06-30,3298.3,,
2011-07-31,2011-07-31,3325.5,,
