Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-10-31,2005-11-29,13.2,,
2005-12-31,2006-01-30,13.5,,
2006-01-31,2006-02-27,13.8,,
2006-02-28,2006-03-30,14.0,,
2006-03-31,2006-04-27,14.3,,
2006-04-30,2006-05-30,14.1,,
2006-05-31,2006-06-29,14.1,,
2006-06-30,2006-07-30,14.2,,
2006-07-31,2006-08-30,14.8,,
2006-08-31,2006-09-28,14.4,,
2006-09-30,2006-10-30,14.4,,
2006-10-31,2006-11-29,14.7,,
2006-11-30,2006-12-28,15.0,,
2007-01-31,2007-02-27,14.9,,
2007-02-28,2007-03-29,15.0,,
2007-03-31,2007-04-29,14.8,,
2007-04-30,2007-05-30,14.5,,
2007-05-31,2007-06-28,14.6,,
2007-06-30,2007-07-30,15.4,,
2007-07-31,2007-08-30,15.4,,
2007-08-31,2007-09-27,16.2,,
2007-09-30,2007-10-30,15.9,,
2007-10-31,2007-11-29,15.4,,
2007-11-30,2007-12-30,16.2,,
2007-12-31,2008-01-30,16.5,,
2008-01-31,2008-02-28,16.4,,
2008-02-29,2008-03-30,15.5,,
2008-03-31,2008-04-29,14.9,,
2008-04-30,2008-05-29,14.1,,
2008-05-31,2008-06-29,13.4,,
2008-06-30,2008-07-30,11.7,,
2008-07-31,2008-08-28,11.2,,
2008-08-31,2008-09-29,10.45,,
2008-09-30,2008-10-30,10.1,,
2008-10-31,2008-11-27,9.7,,
2008-11-30,2008-12-30,8.2,,
2008-12-31,2009-01-29,6.67,,
2009-01-31,2009-02-26,6.1,,
2009-02-28,2009-03-30,5.4,,
2009-03-31,2009-04-29,4.9,,
2009-04-30,2009-05-28,4.6,,
2009-05-31,2009-06-29,3.9,,
2009-06-30,2009-07-30,3.4,,
2009-07-31,2009-08-30,3.0,,
2009-08-31,2009-09-29,2.5,,
2009-09-30,2009-10-29,1.7,,
2009-10-31,2009-11-29,1.1,,
2009-11-30,2009-12-30,0.8,,
2009-12-31,2010-01-28,1.5,,
2010-01-31,2010-02-25,1.3,,
2010-02-28,2010-03-30,1.6,,
2010-03-31,2010-04-29,2.1,,
2010-04-30,2010-05-30,2.1,,
2010-05-31,2010-06-29,2.7,,
2010-06-30,2010-07-29,2.8,,
2010-07-31,2010-08-30,2.8,,
2010-08-31,2010-09-29,3.1,,
2010-09-30,2010-10-28,3.3,,
2010-10-31,2010-11-29,3.3,,
2010-11-30,2010-12-30,3.6,,
2010-12-31,2011-01-30,3.4,,
2011-01-31,2011-02-27,3.3,,
2011-02-28,2011-03-30,3.4,,
2011-03-31,2011-04-28,3.6,,
2011-04-30,2011-05-30,3.3,,
2011-05-31,2011-06-29,3.1,,
2011-06-30,2011-07-28,2.7,,
2011-07-31,2011-08-30,2.7,,
2011-08-31,2011-09-29,3.0,,
2011-09-30,2011-10-30,3.4,,
2011-10-31,2011-11-29,3.5,,
2011-11-30,2011-12-29,3.5,,
2011-12-31,2012-01-30,3.5,,
2012-01-31,2012-02-28,3.5,,
2012-02-29,2012-03-29,3.5,,
2012-03-31,2012-04-29,3.4,,
2012-04-30,2012-05-30,3.8,,
2012-05-31,2012-06-28,4.0,,
2012-06-30,2012-07-30,4.4,,
2012-07-31,2012-08-30,4.2,,
2012-08-31,2012-09-27,4.1,,
2012-09-30,2012-10-30,4.0,,
2012-10-31,2012-11-29,3.8,,
2012-11-30,2012-12-30,3.5,,
2012-12-31,2013-01-30,3.6,,
2013-01-31,2013-02-27,3.6,,
2013-02-28,2013-03-27,3.4,,
2013-03-31,2013-04-29,3.2,,
2013-04-30,2013-05-30,3.1,,
2013-05-31,2013-06-27,3.0,,
2013-06-30,2013-07-30,3.1,,
2013-07-31,2013-08-29,3.2,,
2013-08-31,2013-09-29,3.4,,
2013-09-30,2013-10-30,3.3,,
2013-10-31,2013-11-28,3.5,,
2013-11-30,2013-12-30,3.8,,
2013-12-31,2014-01-30,3.9,,
2014-01-31,2014-02-27,4.1,,
2014-02-28,2014-03-30,4.3,,
2014-03-31,2014-04-29,4.4,,
2014-04-30,2014-05-29,4.6,,
2014-05-31,2014-06-29,4.7,,
2014-06-30,2014-07-30,5.1,,
2014-07-31,2014-08-28,5.1,,
2014-08-31,2014-09-29,5.1,,
2014-09-30,2014-10-30,5.4,,
2014-10-31,2014-11-27,5.7,,
2014-11-30,2014-12-30,5.9,,
2014-12-31,2015-01-29,5.9,,
2015-01-31,2015-02-26,6.2,,
2015-02-28,2015-03-30,6.2,,
2015-03-31,2015-04-29,6.2,,
2015-04-30,2015-05-28,6.1,,
2015-05-31,2015-06-29,6.2,,
2015-06-30,2015-07-30,5.9,,
2015-07-31,2015-08-30,6.1,,
2015-08-31,2015-09-29,6.3,,
2015-09-30,2015-10-29,6.7,,
2015-10-31,2015-11-29,6.7,,
2015-11-30,2015-12-30,6.6,,
2015-12-31,2016-01-28,6.6,,
2016-01-31,2016-02-28,6.5,,
2016-02-29,2016-03-30,6.6,,
2016-03-31,2016-04-28,6.4,,
2016-04-30,2016-05-30,6.7,,
2016-05-31,2016-06-29,6.5,,
2016-06-30,2016-07-28,6.2,,
2016-07-31,2016-08-30,6.0,,
2016-08-31,2016-09-29,5.8,,
2016-09-30,2016-10-30,5.4,,
2016-10-31,2016-11-29,5.3,,
2016-11-30,2016-12-29,5.4,,
2016-12-31,2017-01-30,5.6,,
2017-01-31,2017-02-27,5.4,,
2017-02-28,2017-03-30,5.0,,
2017-03-31,2017-04-27,5.0,,
2017-04-30,2017-05-30,4.9,,
2017-05-31,2017-06-29,5.0,,
2017-06-30,2017-07-30,5.4,,
2017-07-31,2017-08-30,5.3,,
2017-08-31,2017-09-28,5.5,,
2017-09-30,2017-10-30,5.4,,
2017-10-31,2017-11-29,5.3,,
2017-11-30,2017-12-28,5.4,,
2017-12-31,2018-01-30,4.8,,
2018-01-31,2018-02-27,4.9,,
2018-02-28,2018-03-28,4.9,,
2018-03-31,2018-04-29,5.1,,
2018-04-30,2018-05-30,5.1,,
2018-05-31,2018-06-28,4.8,,
2018-06-30,2018-07-30,4.5,,
2018-07-31,2018-08-30,4.4,,
2018-08-31,2018-09-27,4.5,,
2018-09-30,2018-10-30,4.6,,
2018-10-31,2018-11-29,4.6,,
2018-11-30,2018-12-30,4.4,,
2018-12-31,2019-01-30,4.3,,
2019-01-31,2019-02-27,4.3,,
2019-02-28,2019-03-28,4.2,,
2019-03-31,2019-04-29,3.9,,
2019-04-30,2019-05-30,3.7,,
2019-05-31,2019-06-27,3.6,,
2019-06-30,2019-07-30,3.3,,
2019-07-31,2019-08-29,3.1,3.2,3.17
