Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-11-30,2006-12-01,13.5,,
2006-12-31,2007-01-02,11.0,,
2007-01-31,2007-02-01,10.1,,
2007-02-28,2007-03-01,8.1,,
2007-03-31,2007-04-02,9.0,,
2007-04-30,2007-05-01,8.4,,
2007-05-31,2007-06-01,5.8,,
2007-06-30,2007-07-02,6.3,,
2007-07-31,2007-08-01,4.4,,
2007-08-31,2007-09-03,1.9,,
2007-09-30,2007-10-02,5.4,,
2007-10-31,2007-11-01,6.0,,
2007-11-30,2007-12-03,2.0,,
2007-12-31,2008-01-02,1.8,,
2008-01-31,2008-02-01,5.2,,
2008-02-29,2008-03-03,8.6,,
2008-03-31,2008-04-01,9.5,,
2008-04-30,2008-05-01,20.7,,
2008-05-31,2008-06-02,28.6,,
2008-06-30,2008-07-01,38.2,,
2008-07-31,2008-08-01,41.1,,
2008-08-31,2008-09-01,45.2,,
2008-09-30,2008-10-01,43.3,,
2008-10-31,2008-11-03,32.4,,
2008-11-30,2008-12-01,35.0,,
2008-12-31,2009-01-02,34.4,,
2009-01-31,2009-02-02,29.1,,
2009-02-28,2009-03-02,19.7,,
2009-03-31,2009-04-01,7.2,,
2009-04-30,2009-05-01,-16.8,,
2009-05-31,2009-06-01,-23.3,,
2009-06-30,2009-07-01,-29.3,,
2009-07-31,2009-08-04,-31.8,,
2009-08-31,2009-09-01,-31.8,,
2009-09-30,2009-10-01,-32.3,,
2009-10-31,2009-11-02,-31.1,,
2009-11-30,2009-12-01,-25.3,,
2009-12-31,2010-01-04,-16.6,,
2010-01-31,2010-02-01,-11.7,,
2010-02-28,2010-03-01,-9.7,,
2010-03-31,2010-04-01,1.4,,
2010-04-30,2010-05-03,29.4,,
2010-05-31,2010-06-01,43.8,,
2010-06-30,2010-07-01,43.0,,
2010-07-31,2010-08-03,51.0,,
2010-08-31,2010-09-01,52.7,,
2010-09-30,2010-10-01,52.4,,
2010-10-31,2010-11-01,46.0,,
2010-11-30,2010-12-01,44.4,,
2010-12-31,2011-01-04,47.7,,
2011-01-31,2011-02-01,48.7,,
2011-02-28,2011-03-01,47.8,,
2011-03-31,2011-04-01,41.3,,
2011-04-30,2011-05-02,32.3,,
2011-05-31,2011-06-01,29.4,,
2011-06-30,2011-07-01,28.2,,
2011-07-31,2011-08-02,27.6,,
2011-08-31,2011-09-01,25.2,,
2011-09-30,2011-10-04,26.6,,
2011-10-31,2011-11-01,19.4,,
2011-11-30,2011-12-01,18.1,,
2011-12-31,2012-01-03,10.9,,
2012-01-31,2012-02-01,6.0,,
2012-02-29,2012-03-01,3.5,,
2012-03-31,2012-04-02,2.7,,
2012-04-30,2012-05-01,-4.2,,
2012-05-31,2012-06-01,-9.9,,
2012-06-30,2012-07-02,-10.5,,
2012-07-31,2012-08-01,-9.8,,
2012-08-31,2012-09-03,-13.7,,
2012-09-30,2012-10-02,-14.9,,
2012-10-31,2012-11-01,-16.0,,
2012-11-30,2012-12-03,-11.6,,
2012-12-31,2013-01-02,-8.0,,
2013-01-31,2013-02-01,-6.4,,
2013-02-28,2013-03-01,-7.2,,
2013-03-31,2013-04-02,-7.5,,
2013-04-30,2013-05-01,-6.5,,
2013-05-31,2013-06-03,-8.6,,
2013-06-30,2013-07-01,-10.5,,
2013-07-31,2013-08-01,-11.8,,
2013-08-31,2013-09-02,-7.3,,
2013-09-30,2013-10-01,-3.1,,
2013-10-31,2013-11-01,-1.0,,
2013-11-30,2013-12-02,-1.9,,
2013-12-31,2014-01-02,-4.0,,
2014-01-31,2014-02-03,-9.9,,
2014-02-28,2014-03-03,-12.1,,
2014-03-31,2014-04-01,-12.8,,
2014-04-30,2014-05-01,-12.6,,
2014-05-31,2014-06-02,-12.8,,
2014-06-30,2014-07-01,-9.6,,
2014-07-31,2014-08-01,-12.1,,
2014-08-31,2014-09-01,-11.5,,
2014-09-30,2014-10-01,-16.8,,
2014-10-31,2014-11-03,-16.9,,
2014-11-30,2014-12-01,-18.6,,
2014-12-31,2015-01-02,-21.2,,
2015-01-31,2015-02-02,-20.4,,
2015-02-28,2015-03-02,-20.6,,
2015-03-31,2015-04-01,-19.7,,
2015-04-30,2015-05-01,-20.5,,
2015-05-31,2015-06-01,-19.5,,
2015-06-30,2015-07-01,-17.9,,
2015-07-31,2015-08-04,-20.2,,
2015-08-31,2015-09-01,-20.9,,
2015-09-30,2015-10-01,-21.3,,
2015-10-31,2015-11-02,-19.8,,
2015-11-30,2015-12-01,-22.0,,
2015-12-31,2016-01-04,-23.3,,
2016-01-31,2016-02-01,-25.8,,
2016-02-29,2016-03-01,-21.6,,
2016-03-31,2016-04-01,-15.4,,
2016-04-30,2016-05-02,-9.4,,
2016-05-31,2016-06-01,-10.0,,
2016-06-30,2016-07-01,-9.9,,
2016-07-31,2016-08-02,-2.0,,
2016-08-31,2016-09-01,0.8,,
2016-09-30,2016-10-04,3.1,,
2016-10-31,2016-11-01,16.0,,
2016-11-30,2016-12-01,32.1,,
2016-12-31,2017-01-03,45.5,,
2017-01-31,2017-02-01,55.7,,
2017-02-28,2017-03-01,56.0,,
2017-03-31,2017-04-03,50.1,,
2017-04-30,2017-05-01,38.6,,
2017-05-31,2017-06-01,32.6,,
2017-06-30,2017-07-03,25.0,,
2017-07-31,2017-08-01,17.1,,
2017-08-31,2017-09-01,20.1,,
2017-09-30,2017-10-03,18.3,,
2017-10-31,2017-11-01,9.1,,
2017-11-30,2017-12-01,-3.3,,
2017-12-31,2018-01-02,-5.9,,
2018-01-31,2018-02-01,-0.6,,
2018-02-28,2018-03-01,-1.0,,
2018-03-31,2018-04-03,-2.1,,
2018-04-30,2018-05-01,-1.4,,
2018-05-31,2018-06-01,3.6,,
2018-06-30,2018-07-02,6.6,,
2018-07-31,2018-08-01,7.6,,
2018-08-31,2018-09-03,6.7,,
2018-09-30,2018-10-02,4.8,,
2018-10-31,2018-11-01,13.1,,
2018-11-30,2018-12-03,14.9,,
