Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-07-31,2006-08-08,68.426,,
2006-08-31,2006-09-07,67.027,,
2006-09-30,2006-10-09,61.752,,
2006-10-31,2006-11-07,65.127,,
2006-11-30,2006-12-07,65.396,,
2006-12-31,2007-01-08,69.593,,
2007-01-31,2007-02-07,76.781,,
2007-02-28,2007-03-07,68.2,,
2007-03-31,2007-04-10,71.257,,
2007-04-30,2007-05-07,81.5,,
2007-05-31,2007-06-07,84.6,,
2007-06-30,2007-07-06,79.682,,
2007-07-31,2007-08-08,80.347,,
2007-08-31,2007-09-10,70.35,,
2007-09-30,2007-10-08,52.7,,
2007-10-31,2007-11-07,35.984,,
2007-11-30,2007-12-07,32.718,,
2007-12-31,2008-01-08,30.523,,
2008-01-31,2008-02-07,35.8,,
2008-02-29,2008-03-07,35.278,,
2008-03-31,2008-04-07,36.3,,
2008-04-30,2008-05-07,35.8,,
2008-05-31,2008-06-06,35.3,,
2008-06-30,2008-07-07,35.9,,
2008-07-31,2008-08-08,37.4,,
2008-08-31,2008-09-05,35.5,,
2008-09-30,2008-10-09,36.04,,
2008-10-31,2008-11-07,44.9,,
2008-11-30,2008-12-05,46.7,,
2008-12-31,2009-01-08,47.5,,
2009-01-31,2009-02-06,47.8,,
2009-02-28,2009-03-06,48.3,,
2009-03-31,2009-04-07,47.3,,
2009-04-30,2009-05-07,51.4,,
2009-05-31,2009-06-05,52.2,,
2009-06-30,2009-07-07,52.3,,
2009-07-31,2009-08-10,53.2,,
2009-08-31,2009-09-07,55.5,,
2009-09-30,2009-10-08,48.9,,
2009-10-31,2009-11-06,48.5,,
2009-11-30,2009-12-08,45.93,,
2009-12-31,2010-01-08,46.5,,
2010-01-31,2010-02-05,46.6,,
2010-02-28,2010-03-05,44.34,,
2010-03-31,2010-04-09,41.2,,
2010-04-30,2010-05-07,44.0,,
2010-05-31,2010-06-07,42.64,,
2010-06-30,2010-07-07,43.74,,
2010-07-31,2010-08-09,47.536,,
2010-08-31,2010-09-10,42.1,,
2010-09-30,2010-10-08,42.8,,
2010-10-31,2010-11-05,43.95,,
2010-11-30,2010-12-10,43.58,,
2010-12-31,2011-01-10,41.59,,
2011-01-31,2011-02-07,40.819,,
2011-02-28,2011-03-07,39.9,,
2011-03-31,2011-04-07,35.738,,
2011-04-30,2011-05-06,38.4,,
2011-05-31,2011-06-07,40.3,,
2011-06-30,2011-07-07,41.13,,
2011-07-31,2011-08-08,40.716,,
