Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-08-31,2006-09-20,206.0,,
2006-09-30,2006-10-18,552.0,,
2006-10-31,2006-11-15,233.0,,
2006-11-30,2006-12-20,246.0,,
2006-12-31,2007-01-17,544.0,,
2007-01-31,2007-02-14,265.0,,
2007-02-28,2007-03-14,257.0,,
2007-03-31,2007-04-18,586.0,,
2007-04-30,2007-05-16,354.0,,
2007-05-31,2007-06-20,480.0,,
2007-06-30,2007-07-18,618.0,,
2007-07-31,2007-08-15,396.0,,
2007-08-31,2007-09-19,269.0,,
2007-09-30,2007-10-17,432.0,,
2007-10-31,2007-11-14,237.0,,
2007-11-30,2007-12-20,231.0,,
2007-12-31,2008-01-16,546.0,,
2008-01-31,2008-02-20,208.0,,
2008-02-29,2008-03-19,343.0,,
2008-03-31,2008-04-16,295.0,,
2008-04-30,2008-05-14,305.0,,
2008-05-31,2008-06-18,336.0,,
2008-06-30,2008-07-16,875.0,,
2008-07-31,2008-08-20,300.0,,
2008-08-31,2008-09-17,307.0,,
2008-09-30,2008-10-15,407.0,,
2008-10-31,2008-11-19,-3150.0,,
2008-11-30,2008-12-17,-134.0,,
2008-12-31,2009-01-14,1102.0,,
2009-01-31,2009-02-19,383.0,,
2009-02-28,2009-03-18,229.0,,
2009-03-31,2009-04-15,718.0,,
2009-04-30,2009-05-20,512.0,,
2009-05-31,2009-06-17,1433.0,,
2009-06-30,2009-07-15,1943.0,,
2009-07-31,2009-08-19,705.0,,
2009-08-31,2009-09-16,576.0,,
2009-09-30,2009-10-14,830.0,,
2009-10-31,2009-11-18,307.0,,
2009-11-30,2009-12-16,313.0,,
2009-12-31,2010-01-20,946.0,,
2010-01-31,2010-02-17,295.0,,
2010-02-28,2010-03-17,424.0,,
2010-03-31,2010-04-21,892.0,,
2010-04-30,2010-05-19,350.0,,
2010-05-31,2010-06-16,446.0,,
2010-06-30,2010-07-21,1229.0,,
2010-07-31,2010-08-18,570.0,,
2010-08-31,2010-09-22,397.0,,
2010-09-30,2010-10-20,526.0,,
2010-10-31,2010-11-17,,,
2010-11-30,2010-12-15,342.0,,
2010-12-31,2011-01-20,855.0,,
2011-01-31,2011-02-17,326.0,,
2011-02-28,2011-03-17,414.0,,
2011-03-31,2011-04-20,699.0,,
2011-04-30,2011-05-18,570.0,,
2011-05-31,2011-06-15,601.0,,
2011-06-30,2011-07-20,1280.0,,
2011-07-31,2011-08-17,605.0,,
2011-08-31,2011-09-14,367.0,,
2011-09-30,2011-10-19,641.0,,
2011-10-31,2011-11-16,401.0,,
2011-11-30,2011-12-14,330.0,,
2011-12-31,2012-01-18,737.0,,
2012-01-31,2012-02-15,383.0,,
2012-02-29,2012-03-14,372.0,,
2012-03-31,2012-04-18,944.0,,
2012-04-30,2012-05-16,366.0,,
2012-05-31,2012-06-20,589.0,,
2012-06-30,2012-07-18,1256.0,,
2012-07-31,2012-08-15,528.0,,
2012-08-31,2012-09-19,351.0,,
2012-09-30,2012-10-17,396.0,,
2012-10-31,2012-11-14,275.0,,
2012-11-30,2012-12-19,414.0,,
2012-12-31,2013-01-16,752.0,,
2013-01-31,2013-02-20,393.0,,
2013-02-28,2013-03-20,328.0,,
2013-03-31,2013-04-17,577.0,,
2013-04-30,2013-05-15,382.0,,
2013-05-31,2013-06-19,490.0,,
2013-06-30,2013-07-17,993.0,,
2013-07-31,2013-08-14,436.0,,
2013-08-31,2013-09-18,482.0,,
2013-09-30,2013-10-16,663.0,,
2013-10-31,2013-11-20,648.0,,
2013-11-30,2013-12-18,444.0,,
2013-12-31,2014-01-15,884.0,,
2014-01-31,2014-02-19,362.0,,
2014-02-28,2014-03-19,369.0,,
2014-03-31,2014-04-16,736.0,,
2014-04-30,2014-05-14,325.0,,
2014-05-31,2014-06-18,489.0,,
2014-06-30,2014-07-16,1271.0,,
2014-07-31,2014-08-20,433.0,,
2014-08-31,2014-09-17,381.0,,
2014-09-30,2014-10-15,910.0,,
2014-10-31,2014-11-19,389.0,,
2014-11-30,2014-12-17,337.0,,
2014-12-31,2015-01-14,1081.0,,
2015-01-31,2015-02-18,296.0,,
2015-02-28,2015-03-18,409.0,,
2015-03-31,2015-04-15,1355.0,,
2015-04-30,2015-05-20,274.0,,
2015-05-31,2015-06-17,487.0,,
2015-06-30,2015-07-15,2922.0,,
2015-07-31,2015-08-19,674.0,,
2015-08-31,2015-09-16,336.0,,
2015-09-30,2015-10-14,712.0,,
2015-10-31,2015-11-18,516.0,,
2015-11-30,2015-12-16,485.0,,
2015-12-31,2016-01-20,1175.0,,
2016-01-31,2016-02-17,728.0,,
2016-02-29,2016-03-16,476.0,,
2016-03-31,2016-04-20,954.0,,
2016-04-30,2016-05-18,946.0,,
2016-05-31,2016-06-15,909.0,,
2016-06-30,2016-07-20,1720.0,,
2016-07-31,2016-08-17,444.0,,
2016-08-31,2016-09-14,607.0,,
2016-09-30,2016-10-19,673.0,,
2016-10-31,2016-11-16,439.0,,
2016-11-30,2016-12-14,503.0,,
2016-12-31,2017-01-18,1799.0,,
2017-01-31,2017-02-15,557.0,,
2017-02-28,2017-03-15,282.0,,
2017-03-31,2017-04-19,1248.0,,
2017-04-30,2017-05-17,441.0,,
2017-05-31,2017-06-14,735.0,,
2017-06-30,2017-07-19,1100.0,,
2017-07-31,2017-08-16,984.0,,
2017-08-31,2017-09-20,571.0,,
2017-09-30,2017-10-18,731.0,,
2017-10-31,2017-11-15,609.0,,
2017-11-30,2017-12-20,343.0,,
2017-12-31,2018-01-17,1279.0,,
2018-01-31,2018-02-14,529.0,,
2018-02-28,2018-03-14,310.0,,
2018-03-31,2018-04-18,874.0,,
2018-04-30,2018-05-17,538.0,,
2018-05-31,2018-06-20,556.0,,
2018-06-30,2018-07-18,1752.0,,
2018-07-31,2018-08-15,573.0,,
2018-08-31,2018-09-19,608.0,,
2018-09-30,2018-10-17,640.0,,
2018-10-31,2018-11-14,450.0,,
