Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-09-30,2006-10-24,3.2,3.1,3.1
2006-12-31,2007-01-23,3.0,3.2,3.2
2007-03-31,2007-04-23,2.7,2.9,2.9
2007-06-30,2007-07-24,2.8,2.5,2.5
2007-09-30,2007-10-23,3.1,2.8,2.8
2007-12-31,2008-01-22,3.8,3.4,3.4
2008-03-31,2008-04-22,4.4,4.0,4.0
2008-06-30,2008-07-22,4.5,4.4,4.4
2008-09-30,2008-10-21,4.8,4.5,4.5
2008-12-31,2009-01-27,4.5,4.4,4.5
2009-03-31,2009-04-21,4.4,4.0,4.0
2009-06-30,2009-07-21,4.2,4.1,4.0
2009-09-30,2009-10-27,3.8,3.7,3.6
2009-12-31,2010-01-26,3.6,3.5,3.5
2010-03-31,2010-04-27,3.1,3.0,3.0
2010-06-30,2010-07-27,2.7,3.0,3.0
2010-09-30,2010-10-26,2.3,2.6,2.6
2010-12-31,2011-01-24,2.3,2.5,2.5
2011-03-31,2011-04-26,2.2,2.1,2.2
2011-06-30,2011-07-26,2.7,2.5,2.5
2011-09-30,2011-10-25,2.6,2.7,2.7
2011-12-31,2012-01-24,2.6,2.4,2.4
2012-03-31,2012-04-23,2.1,2.3,2.3
2012-06-30,2012-07-24,1.9,1.9,1.9
2012-09-30,2012-10-23,2.6,2.2,2.2
2012-12-31,2013-01-22,2.3,2.4,2.5
2013-03-31,2013-04-23,2.6,2.4,2.4
2013-06-30,2013-07-23,2.6,2.4,2.4
2013-09-30,2013-10-22,2.3,2.3,2.3
2013-12-31,2014-01-21,2.6,2.3,2.3
2014-03-31,2014-04-22,2.7,2.9,2.8
2014-06-30,2014-07-22,2.7,2.7,2.7
2014-09-30,2014-10-21,2.6,2.6,2.6
2014-12-31,2015-01-27,2.3,2.2,2.2
2015-03-31,2015-04-21,2.4,2.3,2.3
2015-06-30,2015-07-21,2.4,2.3,2.3
2015-09-30,2015-10-27,2.2,2.5,2.5
2015-12-31,2016-01-26,1.9,2.1,2.1
2016-03-31,2016-04-26,1.4,1.9,1.9
2016-06-30,2016-07-26,1.3,1.3,1.3
2016-09-30,2016-10-25,1.3,1.4,1.4
2016-12-31,2017-01-24,1.5,1.4,1.4
2017-03-31,2017-04-25,1.7,1.8,1.7
2017-06-30,2017-07-25,1.8,1.7,1.7
2017-09-30,2017-10-24,1.9,2.0,2.0
2017-12-31,2018-01-30,2.0,1.9,1.9
2018-03-31,2018-04-23,2.0,1.9,1.9
2018-06-30,2018-07-24,1.9,1.9,1.9
2018-09-30,2018-10-30,1.7,1.9,1.9
2018-12-31,2019-01-29,1.7,1.7,1.7
2019-03-31,2019-04-23,1.2,1.6,1.6
2019-06-30,2019-07-30,1.3,1.2,1.2
2019-09-30,2019-10-29,1.2,1.3,1.3
2019-12-31,2020-01-28,1.3,1.2,1.2
2020-03-31,2020-04-28,1.7,1.5,1.5
2020-06-30,2020-07-28,1.3,1.4,1.3
2020-09-30,2020-10-27,1.3,1.3,1.3
2020-12-31,2021-01-26,1.4,1.2,1.2
2021-03-31,2021-04-27,1.3,1.3,1.3
2021-06-30,2021-07-27,1.7,1.7,1.7
2021-09-30,2021-10-26,2.1,1.9,1.9
2021-12-31,2022-01-24,2.7,2.3,2.3
2022-03-31,2022-04-26,3.2,3.3,3.3
2022-06-30,2022-07-26,4.2,4.3,4.4
2022-09-30,2022-10-25,5.0,4.8,4.9
2022-12-31,2023-01-24,5.8,5.5,5.5
2023-03-31,2023-04-25,5.8,5.9,6.0
2023-06-30,2023-07-25,5.5,5.4,5.4
2023-09-30,2023-10-24,5.2,5.0,5.0
2023-12-31,2024-01-30,4.4,4.5,4.5
2024-03-31,2024-04-23,4.4,4.1,4.1
2024-06-30,2024-07-30,4.1,4.3,4.3
2024-09-30,2024-10-29,3.8,3.6,3.6
2024-12-31,2025-01-28,3.4,3.5,3.5
2025-03-31,2025-04-29,3.0,2.9,2.8
