Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-09-01,0.1,0.0,0.0
2003-09-30,2003-12-02,1.2,1.4,1.4
2003-12-31,2004-03-02,1.4,1.1,1.1
2004-03-31,2004-06-01,0.2,0.5,0.5
2004-06-30,2004-09-01,0.6,0.9,0.9
2004-09-30,2004-12-01,0.3,0.5,0.4
2004-12-31,2005-03-01,0.1,0.5,0.4
2005-03-31,2005-06-01,0.7,0.9,0.9
2005-06-30,2005-09-06,1.3,1.0,1.1
2005-09-30,2005-12-06,0.2,0.5,0.5
2005-12-31,2006-03-01,0.5,0.7,0.7
2006-03-31,2006-06-06,0.9,0.8,0.8
2006-06-30,2006-09-05,0.3,0.7,0.7
2006-09-30,2006-12-05,0.3,0.4,0.4
2006-12-31,2007-03-06,1.0,0.5,0.5
2007-03-31,2007-06-05,1.6,1.2,1.2
2007-06-30,2007-09-03,0.9,0.5,0.5
2007-09-30,2007-12-04,1.0,1.0,1.0
2007-12-31,2008-03-04,0.6,0.6,0.6
2008-03-31,2008-06-03,0.6,0.3,0.3
2008-06-30,2008-09-02,0.3,0.4,0.4
2008-09-30,2008-12-02,0.1,0.2,0.2
2008-12-31,2009-03-03,-0.5,0.2,0.2
2009-03-31,2009-06-02,0.4,-0.2,-0.2
2009-06-30,2009-09-01,0.6,0.2,0.2
2009-09-30,2009-12-15,0.2,0.4,0.4
2009-12-31,2010-03-02,0.9,0.9,0.9
2010-03-31,2010-06-01,0.5,0.5,0.5
2010-06-30,2010-08-31,1.2,0.9,1.0
2010-09-30,2010-11-30,0.2,0.4,0.4
2010-12-31,2011-03-01,0.7,0.7,0.7
2011-03-31,2011-05-31,-1.2,-1.1,-1.1
2011-06-30,2011-09-06,1.2,1.0,1.0
2011-09-30,2011-12-06,1.0,0.8,0.9
2011-12-31,2012-03-06,0.4,0.8,0.8
2012-03-31,2012-06-05,1.3,0.6,0.6
2012-06-30,2012-09-04,0.6,0.7,0.7
2012-09-30,2012-12-04,0.5,0.6,0.5
2012-12-31,2013-03-05,0.6,0.6,0.6
2013-03-31,2013-06-04,0.6,0.7,0.7
2013-06-30,2013-09-03,0.6,0.5,0.5
2013-09-30,2013-12-03,0.6,0.7,0.8
2013-12-31,2014-03-04,0.8,0.7,0.7
2014-03-31,2014-06-03,1.1,0.9,0.9
2014-06-30,2014-09-02,0.5,0.4,0.4
2014-09-30,2014-12-02,0.3,0.7,0.7
2014-12-31,2015-03-03,0.5,0.6,0.6
2015-03-31,2015-06-02,0.9,0.7,0.7
2015-06-30,2015-09-01,0.2,0.4,0.4
2015-09-30,2015-12-01,0.9,0.8,0.7
2015-12-31,2016-03-01,0.6,0.4,0.4
2016-03-31,2016-05-31,1.1,0.8,0.8
2016-06-30,2016-09-06,0.5,0.6,0.5
2016-09-30,2016-12-06,-0.5,-0.1,-0.1
2016-12-31,2017-02-28,1.1,0.8,0.8
2017-03-31,2017-06-06,0.3,0.3,0.2
2017-06-30,2017-09-05,0.8,0.9,0.9
2017-09-30,2017-12-05,0.6,0.7,0.6
2017-12-31,2018-03-06,0.4,0.5,0.5
2018-03-31,2018-06-05,1.0,0.9,0.9
2018-06-30,2018-09-04,0.9,0.7,0.7
2018-09-30,2018-12-04,0.3,0.6,0.6
2018-12-31,2019-03-05,0.2,0.3,0.3
2019-03-31,2019-06-04,0.4,0.5,0.5
2019-06-30,2019-09-03,0.5,0.5,0.5
2019-09-30,2019-12-03,0.4,0.5,0.5
2019-12-31,2020-03-03,0.5,0.4,0.4
2020-03-31,2020-06-02,-0.3,-0.4,-0.3
2020-06-30,2020-09-01,-7.0,-6.0,-6.0
2020-09-30,2020-12-01,3.3,2.5,2.3
2020-12-31,2021-03-02,3.1,2.5,2.5
2021-03-31,2021-06-01,1.8,1.5,1.4
2021-06-30,2021-08-31,0.7,0.4,0.5
2021-09-30,2021-11-30,-1.9,-2.7,-2.6
2021-12-31,2022-03-01,3.4,3.5,3.2
2022-03-31,2022-05-31,0.8,0.7,0.8
2022-06-30,2022-09-06,0.9,0.9,1.0
2022-09-30,2022-12-06,0.6,0.7,0.7
2022-12-31,2023-02-28,0.5,0.8,0.7
2023-03-31,2023-06-06,0.2,0.3,0.3
2023-06-30,2023-09-05,0.4,0.4,0.4
2023-09-30,2023-12-05,0.2,0.5,0.5
2023-12-31,2024-03-05,0.2,0.2,0.2
2024-03-31,2024-06-04,0.1,0.2,0.2
2024-06-30,2024-09-03,0.2,0.2,0.2
2024-09-30,2024-12-03,0.3,0.5,0.5
2024-12-31,2025-03-04,0.6,0.6,0.6
2025-03-31,2025-06-03,0.2,0.4,0.4
