Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,50.9,,
2003-09-30,2003-09-30,51.9,,
2003-12-31,2003-12-31,53.0,,
2004-03-31,2004-03-31,55.0,,
2004-06-30,2004-06-30,56.5,,
2004-09-30,2004-09-30,57.1,,
2004-12-31,2004-12-31,57.8,,
2005-03-31,2005-03-31,59.4,,
2005-06-30,2005-06-30,63.3,,
2005-09-30,2005-09-30,63.5,,
2005-12-31,2005-12-31,65.3,,
2006-03-31,2006-03-31,66.8,,
2006-06-30,2006-06-30,67.1,,
2006-09-30,2006-09-30,67.9,,
2006-12-31,2006-12-31,70.1,,
2007-03-31,2007-03-31,72.1,,
2007-06-30,2007-06-30,71.5,,
2007-09-30,2007-09-30,70.9,,
2007-12-31,2007-12-31,72.2,,
2008-03-31,2008-03-31,74.1,,
2008-06-30,2008-06-30,80.2,,
2008-09-30,2008-09-30,85.2,,
2008-12-31,2008-12-31,83.1,,
2009-03-31,2009-03-31,79.0,,
2009-06-30,2009-06-30,71.4,,
2009-09-30,2009-09-30,70.1,,
2009-12-31,2009-12-31,73.0,,
2010-03-31,2010-03-31,77.3,,
2010-06-30,2010-06-30,86.3,,
2010-09-30,2010-09-30,87.8,,
2010-12-31,2010-12-31,89.9,,
2011-03-31,2011-03-31,95.2,,
2011-06-30,2011-06-30,97.4,,
2011-09-30,2011-09-30,98.4,,
2011-12-31,2011-12-31,94.4,,
2012-03-31,2012-03-31,89.7,,
2012-06-30,2012-06-30,88.7,,
2012-09-30,2012-09-30,84.8,,
2012-12-31,2012-12-31,83.6,,
2013-03-31,2013-03-31,84.3,,
2013-06-30,2013-06-30,84.1,,
2013-09-30,2013-09-30,82.4,,
2013-12-31,2013-12-31,83.1,,
2014-03-31,2014-03-31,81.2,,
2014-06-30,2014-06-30,77.9,,
2014-09-30,2014-09-30,75.5,,
2014-12-31,2014-12-31,74.0,,
2015-03-31,2015-03-31,71.6,,
2015-06-30,2015-06-30,69.2,,
2015-09-30,2015-09-30,67.8,,
2015-12-31,2015-12-31,64.9,,
2016-03-31,2016-03-31,63.5,,
2016-06-30,2016-06-30,65.5,,
2016-09-30,2016-09-30,68.5,,
2016-12-31,2016-12-31,75.9,,
2017-03-31,2017-03-31,78.8,,
2017-06-30,2017-06-30,75.4,,
2017-09-30,2017-09-30,75.6,,
2017-12-31,2017-12-31,75.4,,
2018-03-31,2018-03-31,76.5,,
2018-06-30,2018-06-30,76.8,,
2018-09-30,2018-09-30,78.0,,
2018-12-31,2018-12-31,79.7,,
2019-03-31,2019-03-31,80.7,,
2019-06-30,2019-06-30,83.3,,
2019-09-30,2019-09-30,84.1,,
2019-12-31,2019-12-31,79.7,,
2020-03-31,2020-03-31,79.7,,
2020-06-30,2020-06-30,80.8,,
2020-09-30,2020-09-30,81.8,,
2020-12-31,2020-12-31,84.7,,
2021-03-31,2021-03-31,90.7,,
2021-06-30,2021-06-30,99.4,,
2021-09-30,2021-09-30,99.7,,
2021-12-31,2021-12-31,92.4,,
2022-03-31,2022-03-31,100.4,,
2022-06-30,2022-06-30,107.8,,
2022-09-30,2022-09-30,103.0,,
2022-12-31,2022-12-31,99.8,,
2023-03-31,2023-03-31,101.9,,
2023-06-30,2023-06-30,95.2,,
2023-09-30,2023-09-30,93.0,,
2023-12-31,2023-12-31,95.4,,
2024-03-31,2024-03-31,94.9,,
2024-06-30,2024-06-30,91.7,,
2024-09-30,2024-09-30,89.5,,
2024-12-31,2024-12-31,91.0,,
2025-03-31,2025-03-31,91.1,,
