Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-09,-27.9,5.0,4.3
2003-07-31,2003-08-06,-55.2,20.0,21.5
2003-08-31,2003-09-10,80.6,40.0,45.0
2003-09-30,2003-10-08,14.7,5.0,2.0
2003-10-31,2003-11-05,69.2,15.0,13.5
2003-11-30,2003-12-10,20.7,10.0,11.8
2003-12-31,2004-01-14,29.6,15.0,15.3
2004-01-31,2004-02-11,13.9,15.0,18.0
2004-02-29,2004-03-10,1.3,20.0,18.7
2004-03-31,2004-04-07,66.9,20.0,18.0
2004-04-30,2004-05-12,56.2,10.0,8.3
2004-05-31,2004-06-09,-41.1,-10.0,-7.4
2004-06-30,2004-07-07,-3.8,25.0,24.3
2004-07-31,2004-08-11,21.6,30.0,29.7
2004-08-31,2004-09-08,-6.6,22.5,26.2
2004-09-30,2004-10-06,63.5,30.0,28.9
2004-10-31,2004-11-10,43.7,20.0,15.6
2004-11-30,2004-12-08,24.5,0.0,-1.9
2004-12-31,2005-01-12,29.0,3.5,1.0
2005-01-31,2005-02-09,44.5,5.0,4.8
2005-02-28,2005-03-09,20.0,0.0,-2.1
2005-03-31,2005-04-06,57.8,7.5,6.5
2005-04-30,2005-05-11,6.9,-10.0,-6.8
2005-05-31,2005-06-08,14.0,-5.0,-6.3
2005-06-30,2005-07-06,41.7,0.0,-2.0
2005-07-31,2005-08-10,12.7,-2.5,-1.7
2005-08-31,2005-09-07,32.6,0.0,-3.8
2005-09-30,2005-10-12,-42.3,5.0,5.3
2005-10-31,2005-11-09,-19.8,15.0,11.3
2005-11-30,2005-12-07,28.0,15.0,14.6
2005-12-31,2006-01-11,2.1,9.0,8.0
2006-01-31,2006-02-08,1.8,14.0,12.3
2006-02-28,2006-03-08,25.9,10.0,10.4
2006-03-31,2006-04-05,27.0,10.0,10.4
2006-04-30,2006-05-10,-3.2,5.0,5.8
2006-05-31,2006-06-07,56.0,12.5,12.9
2006-06-30,2006-07-12,52.0,10.0,9.7
2006-07-31,2006-08-09,50.7,5.0,2.2
2006-08-31,2006-09-06,23.4,10.0,9.0
2006-09-30,2006-10-11,31.4,5.0,-1.7
2006-10-31,2006-11-08,-32.1,7.5,4.8
2006-11-30,2006-12-06,36.2,10.0,15.5
2006-12-31,2007-01-10,44.6,15.0,10.6
2007-01-31,2007-02-07,-3.6,2.5,2.6
2007-02-28,2007-03-14,22.0,15.0,14.1
2007-03-31,2007-04-11,10.5,15.0,16.7
2007-04-30,2007-05-09,49.6,10.0,12.3
2007-05-31,2007-06-06,39.4,10.0,12.5
2007-06-30,2007-07-11,2.5,15.0,13.3
2007-07-31,2007-08-08,21.8,25.0,21.4
2007-08-31,2007-09-05,31.9,17.5,17.3
2007-09-30,2007-10-10,13.0,20.0,19.5
2007-10-31,2007-11-07,12.9,20.0,18.6
2007-11-30,2007-12-12,52.6,20.0,18.1
2007-12-31,2008-01-16,20.1,20.0,17.6
2008-01-31,2008-02-13,26.8,,
2008-02-29,2008-03-12,36.7,15.0,15.2
2008-03-31,2008-04-09,14.8,10.0,12.2
2008-04-30,2008-05-07,25.4,10.0,11.0
2008-05-31,2008-06-11,-19.7,13.5,13.3
2008-06-30,2008-07-09,29.8,10.0,9.9
2008-07-31,2008-08-06,10.9,5.0,1.2
2008-08-31,2008-09-10,14.6,5.0,4.2
2008-09-30,2008-10-08,2.2,0.0,-0.9
