Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,9352.32,,
2003-07-31,2003-07-31,9343.45,,
2003-08-31,2003-08-31,9400.44,,
2003-09-30,2003-09-30,9408.62,,
2003-10-31,2003-10-31,9432.11,,
2003-11-30,2003-11-30,9428.63,,
2003-12-31,2003-12-31,9460.22,,
2004-01-31,2004-01-31,9461.81,,
2004-02-29,2004-02-29,9465.52,,
2004-03-31,2004-03-31,9499.02,,
2004-04-30,2004-04-30,9508.83,,
2004-05-31,2004-05-31,9524.81,,
2004-06-30,2004-06-30,9529.73,,
2004-07-31,2004-07-31,9538.18,,
2004-08-31,2004-08-31,9535.3,,
2004-09-30,2004-09-30,9591.62,,
2004-10-31,2004-10-31,9645.61,,
2004-11-30,2004-11-30,9683.68,,
2004-12-31,2004-12-31,9692.7,,
2005-01-31,2005-01-31,9743.8,,
2005-02-28,2005-02-28,9775.08,,
2005-03-31,2005-03-31,9816.48,,
2005-04-30,2005-04-30,9855.23,,
2005-05-31,2005-05-31,9839.27,,
2005-06-30,2005-06-30,9885.64,,
2005-07-31,2005-07-31,9900.56,,
2005-08-31,2005-08-31,9944.52,,
2005-09-30,2005-09-30,9928.3,,
2005-10-31,2005-10-31,9932.83,,
2005-11-30,2005-11-30,9942.8,,
2005-12-31,2005-12-31,9957.58,,
2006-01-31,2006-01-31,9955.46,,
2006-02-28,2006-02-28,9992.85,,
2006-03-31,2006-03-31,10034.5,,
2006-04-30,2006-04-30,10041.56,,
2006-05-31,2006-05-31,10069.54,,
2006-06-30,2006-06-30,10109.32,,
2006-07-31,2006-07-31,10161.32,,
2006-08-31,2006-08-31,10179.45,,
2006-09-30,2006-09-30,10223.25,,
2006-10-31,2006-10-31,10195.59,,
2006-11-30,2006-11-30,10229.91,,
2006-12-31,2006-12-31,10282.42,,
2007-01-31,2007-01-31,10276.1,,
2007-02-28,2007-02-28,10307.85,,
2007-03-31,2007-03-31,10337.18,,
2007-04-30,2007-04-30,10366.18,,
2007-05-31,2007-05-31,10402.11,,
2007-06-30,2007-06-30,10424.27,,
2007-07-31,2007-07-31,10447.12,,
2007-08-31,2007-08-31,10484.64,,
2007-09-30,2007-09-30,10513.62,,
2007-10-31,2007-10-31,10503.97,,
2007-11-30,2007-11-30,10561.83,,
2007-12-31,2007-12-31,10582.22,,
2008-01-31,2008-01-31,10614.16,,
2008-02-29,2008-02-29,10648.86,,
2008-03-31,2008-03-31,10670.04,,
2008-04-30,2008-04-30,10708.48,,
2008-05-31,2008-05-31,10680.63,,
2008-06-30,2008-06-30,10733.36,,
2008-07-31,2008-07-31,10751.55,,
2008-08-31,2008-08-31,10793.63,,
2008-09-30,2008-09-30,10777.79,,
2008-10-31,2008-10-31,10787.27,,
2008-11-30,2008-11-30,10781.41,,
2008-12-31,2008-12-31,10788.96,,
2009-01-31,2009-01-31,10791.73,,
2009-02-28,2009-02-28,10804.49,,
2009-03-31,2009-03-31,10770.87,,
2009-04-30,2009-04-30,10794.35,,
2009-05-31,2009-05-31,10773.18,,
2009-06-30,2009-06-30,10755.18,,
