Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-28,-2067.0,-2200.0,-2173.0
2003-07-31,2003-08-28,-2390.0,-1550.0,-1580.0
2003-08-31,2003-09-28,-1860.0,-2400.0,-2335.0
2003-09-30,2003-10-29,-2278.0,-1950.0,-1913.0
2003-10-31,2003-12-03,-1648.0,-1900.0,-1887.0
2003-11-30,2004-01-08,-1727.0,-1625.0,-1636.0
2003-12-31,2004-02-01,-2554.0,-2050.0,-2080.0
2004-01-31,2004-03-01,-1962.0,-2300.0,-2279.0
2004-02-29,2004-03-29,-1716.0,-1500.0,-1505.0
2004-03-31,2004-05-03,-1986.0,-1500.0,-1583.0
2004-04-30,2004-05-30,-1810.0,-2000.0,-2016.0
2004-05-31,2004-06-28,-1840.0,-1810.0,-1776.0
2004-06-30,2004-07-28,-2222.0,-1950.0,-1935.0
2004-07-31,2004-08-30,-2748.0,-2400.0,-2255.0
2004-08-31,2004-09-28,-1932.0,-2000.0,-2005.0
2004-09-30,2004-11-01,-2105.0,-2200.0,-2136.0
2004-10-31,2004-12-09,-2238.0,-1850.0,-1779.0
2004-11-30,2005-01-10,-2661.0,-2400.0,-2295.0
2004-12-31,2005-02-01,-2370.0,-2250.0,-2309.0
2005-01-31,2005-02-27,-2721.0,-2200.0,-2221.0
2005-02-28,2005-04-04,-2178.0,-2600.0,-2531.0
2005-03-31,2005-05-04,-2672.0,-2100.0,-2111.0
2005-04-30,2005-06-01,-1325.0,-2100.0,-1969.0
2005-05-31,2005-07-03,-1556.0,-1400.0,-1301.0
2005-06-30,2005-08-01,-1371.0,-1300.0,-1185.0
2005-07-31,2005-08-29,-1458.0,-1400.0,-1430.0
2005-08-31,2005-10-03,-1640.0,-1325.0,-1278.0
2005-09-30,2005-11-02,-1615.0,-1500.0,-1497.0
2005-10-31,2005-12-05,-1332.0,-1450.0,-1360.0
2005-11-30,2006-01-09,-2469.0,-1800.0,-1737.0
2005-12-31,2006-02-02,-1168.0,-1800.0,-1790.0
2006-01-31,2006-03-02,-2690.0,-1300.0,-1326.0
2006-02-28,2006-04-02,-595.0,-1800.0,-1750.0
2006-03-31,2006-05-04,-1545.0,-1300.0,-1277.0
2006-04-30,2006-05-30,-1093.0,-1400.0,-1416.0
2006-05-31,2006-07-13,-2266.0,-1100.0,-1175.0
2006-06-30,2006-08-10,-722.0,-1600.0,-1619.0
2006-07-31,2006-09-07,-588.0,-700.0,-690.0
2006-08-31,2006-10-03,-208.0,-600.0,-593.0
2006-09-30,2006-11-01,-646.0,-200.0,-217.0
2006-10-31,2006-11-28,-1263.0,-1070.0,-983.0
2006-11-30,2007-01-09,-843.0,-775.0,-754.0
2006-12-31,2007-02-01,-1336.0,-1000.0,-956.0
2007-01-31,2007-03-05,-876.0,-1100.0,-1161.0
2007-02-28,2007-04-02,-838.0,-1100.0,-1098.0
2007-03-31,2007-05-03,-1622.0,-1000.0,-921.0
2007-04-30,2007-05-30,-962.0,-800.0,-847.0
2007-05-31,2007-07-03,-807.0,-1200.0,-1165.0
2007-06-30,2007-08-01,-1751.0,-1150.0,-1100.0
2007-07-31,2007-08-30,-756.0,-1000.0,-1010.0
2007-08-31,2007-10-02,-1614.0,-1400.0,-1389.0
2007-09-30,2007-11-01,-1862.0,-1000.0,-1061.0
2007-10-31,2007-12-02,-2983.0,-1800.0,-1766.0
2007-11-30,2008-01-09,-2254.0,-2500.0,-2427.0
2007-12-31,2008-02-03,-1936.0,-2000.0,-2073.0
2008-01-31,2008-03-05,-2723.0,-2550.0,-2625.0
2008-02-29,2008-04-06,-3289.0,-2500.0,-2472.0
2008-03-31,2008-05-05,-2736.0,-2900.0,-2880.0
2008-04-30,2008-06-04,-957.0,-1700.0,-1705.0
2008-05-31,2008-07-02,-965.0,-900.0,-778.0
2008-06-30,2008-07-30,411.0,-100.0,-145.0
2008-07-31,2008-09-03,-717.0,50.0,29.0
2008-08-31,2008-10-01,1364.0,200.0,141.0
2008-09-30,2008-11-04,1460.0,500.0,625.0
2008-10-31,2008-12-03,2952.0,1410.0,1408.0
2008-11-30,2009-01-07,1448.0,2100.0,2102.0
2008-12-31,2009-02-02,589.0,1050.0,1124.0
2009-01-31,2009-03-04,970.0,1100.0,1098.0
2009-02-28,2009-04-01,2109.0,700.0,713.0
2009-03-31,2009-05-05,2498.0,1700.0,1673.0
2009-04-30,2009-06-03,-91.0,1700.0,1475.0
2009-05-31,2009-07-01,-556.0,-125.0,-59.0
2009-06-30,2009-08-04,-441.0,-800.0,-834.0
2009-07-31,2009-09-02,-1556.0,-880.0,-882.0
2009-08-31,2009-10-05,-1524.0,-900.0,-1083.0
2009-09-30,2009-11-04,-1849.0,-2150.0,-2182.0
2009-10-31,2009-12-08,-2379.0,-1805.0,-1731.0
2009-11-30,2010-01-06,-1700.0,-1800.0,-1829.0
2009-12-31,2010-02-02,-2252.0,-2400.0,-2254.0
2010-01-31,2010-03-03,-1176.0,-1600.0,-1728.0
2010-02-28,2010-03-31,-1924.0,-1340.0,-1324.0
2010-03-31,2010-05-05,-2082.0,-2125.0,-2033.0
2010-04-30,2010-06-02,134.0,-800.0,-747.0
2010-05-31,2010-07-05,1645.0,500.0,474.0
2010-06-30,2010-08-03,3539.0,1800.0,1729.0
2010-07-31,2010-09-01,1888.0,3100.0,3161.0
2010-08-31,2010-10-04,2346.0,2300.0,2400.0
2010-09-30,2010-11-03,1760.0,2000.0,2070.0
2010-10-31,2010-12-01,2625.0,2000.0,1950.0
2010-11-30,2011-01-10,1925.0,2050.0,2160.0
2010-12-31,2011-02-02,1981.0,1600.0,1593.0
2011-01-31,2011-03-02,1875.0,1550.0,1624.0
2011-02-28,2011-04-04,-205.0,1200.0,1096.0
2011-03-31,2011-05-09,1740.0,500.0,401.0
2011-04-30,2011-06-01,1597.0,2000.0,2023.0
2011-05-31,2011-07-04,2333.0,1900.0,1915.0
2011-06-30,2011-08-02,2052.0,2200.0,2193.0
2011-07-31,2011-09-11,1826.0,1900.0,1911.0
2011-08-31,2011-10-03,3100.0,2000.0,1846.0
2011-09-30,2011-11-07,2564.0,3000.0,2975.0
2011-10-31,2011-12-11,1595.0,2000.0,1913.0
2011-11-30,2012-01-04,1380.0,1650.0,1750.0
2011-12-31,2012-02-01,1709.0,1200.0,1301.0
2012-01-31,2012-03-08,-673.0,1500.0,1400.0
2012-02-29,2012-04-03,-480.0,1100.0,1033.0
2012-03-31,2012-05-07,-1587.0,-1300.0,-1285.0
2012-04-30,2012-06-07,-203.0,-900.0,-982.0
2012-05-31,2012-07-04,-285.0,-500.0,-454.0
2012-06-30,2012-08-01,9.0,-375.0,-359.0
2012-07-31,2012-09-06,-556.0,-300.0,-227.0
2012-08-31,2012-10-02,-2027.0,-685.0,-701.0
2012-09-30,2012-11-04,-1456.0,-1550.0,-1580.0
2012-10-31,2012-12-06,-2088.0,-2200.0,-2277.0
2012-11-30,2013-01-07,-2637.0,-2300.0,-2293.0
2012-12-31,2013-02-04,-427.0,-800.0,-910.0
2013-01-31,2013-03-06,-1057.0,-500.0,-551.0
2013-02-28,2013-04-02,-178.0,-1000.0,-894.0
2013-03-31,2013-05-06,307.0,0.0,11.0
2013-04-30,2013-06-05,28.0,180.0,142.0
2013-05-31,2013-07-02,670.0,53.0,12.0
2013-06-30,2013-08-05,602.0,804.0,848.0
2013-07-31,2013-09-04,-765.0,100.0,133.0
2013-08-31,2013-10-01,-815.0,-400.0,-482.0
2013-09-30,2013-11-05,-284.0,-500.0,-507.0
2013-10-31,2013-12-04,-529.0,-350.0,-372.0
2013-11-30,2014-01-06,-118.0,-300.0,-290.0
2013-12-31,2014-02-05,468.0,-200.0,-229.0
2014-01-31,2014-03-05,1433.0,100.0,108.0
2014-02-28,2014-04-02,1200.0,800.0,687.0
2014-03-31,2014-05-05,731.0,1000.0,1068.0
2014-04-30,2014-06-04,-122.0,510.0,343.0
2014-05-31,2014-07-01,-1911.0,-200.0,-212.0
2014-06-30,2014-08-04,-1683.0,-2000.0,-1750.0
2014-07-31,2014-09-03,-1359.0,-1750.0,-1584.0
2014-08-31,2014-10-01,-787.0,-800.0,-795.0
2014-09-30,2014-11-03,-2261.0,-1850.0,-1739.0
2014-10-31,2014-12-03,-1323.0,-1800.0,-1737.0
2014-11-30,2015-01-05,-925.0,-1600.0,-1577.0
2014-12-31,2015-02-02,-436.0,-850.0,-754.0
2015-01-31,2015-03-04,-980.0,-925.0,-856.0
2015-02-28,2015-04-01,-1256.0,-1300.0,-1208.0
2015-03-31,2015-05-04,-1322.0,-1000.0,-957.0
2015-04-30,2015-06-03,-3888.0,-2100.0,-2048.0
2015-05-31,2015-07-01,-2751.0,-2225.0,-2218.0
