Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,602.7,,
2003-07-31,2003-07-31,609.9,,
2003-08-31,2003-08-31,580.6,,
2003-09-30,2003-09-30,576.6,,
2003-10-31,2003-10-31,578.9,,
2003-11-30,2003-11-30,565.8,,
2003-12-31,2003-12-31,569.8,,
2004-01-31,2004-01-31,553.9,,
2004-02-29,2004-02-29,566.0,,
2004-03-31,2004-03-31,546.1,,
2004-04-30,2004-04-30,554.1,,
2004-05-31,2004-05-31,536.9,,
2004-06-30,2004-06-30,550.6,,
2004-07-31,2004-07-31,560.4,,
2004-08-31,2004-08-31,556.7,,
2004-09-30,2004-09-30,544.3,,
2004-10-31,2004-10-31,520.7,,
2004-11-30,2004-11-30,526.9,,
2004-12-31,2004-12-31,517.4,,
2005-01-31,2005-01-31,520.8,,
2005-02-28,2005-02-28,523.5,,
2005-03-31,2005-03-31,534.3,,
2005-04-30,2005-04-30,532.0,,
2005-05-31,2005-05-31,528.6,,
2005-06-30,2005-06-30,514.8,,
2005-07-31,2005-07-31,517.9,,
2005-08-31,2005-08-31,512.5,,
2005-09-30,2005-09-30,522.7,,
2005-10-31,2005-10-31,524.5,,
2005-11-30,2005-11-30,516.4,,
2005-12-31,2005-12-31,531.7,,
2006-01-31,2006-01-31,541.9,,
2006-02-28,2006-02-28,537.3,,
2006-03-31,2006-03-31,513.3,,
2006-04-30,2006-04-30,524.6,,
2006-05-31,2006-05-31,507.4,,
2006-06-30,2006-06-30,510.6,,
2006-07-31,2006-07-31,496.2,,
2006-08-31,2006-08-31,503.3,,
2006-09-30,2006-09-30,500.3,,
2006-10-31,2006-10-31,476.3,,
2006-11-30,2006-11-30,483.7,,
2006-12-31,2006-12-31,492.1,,
2007-01-31,2007-01-31,490.4,,
2007-02-28,2007-02-28,500.9,,
2007-03-31,2007-03-31,482.5,,
2007-04-30,2007-04-30,475.5,,
2007-05-31,2007-05-31,463.3,,
2007-06-30,2007-06-30,471.1,,
2007-07-31,2007-07-31,464.0,,
2007-08-31,2007-08-31,470.9,,
2007-09-30,2007-09-30,462.4,,
2007-10-31,2007-10-31,474.9,,
2007-11-30,2007-11-30,489.1,,
2007-12-31,2007-12-31,476.4,,
2008-01-31,2008-01-31,467.7,,
2008-02-29,2008-02-29,441.2,,
2008-03-31,2008-03-31,451.1,,
2008-04-30,2008-04-30,477.1,,
2008-05-31,2008-05-31,475.9,,
2008-06-30,2008-06-30,475.6,,
2008-07-31,2008-07-31,477.2,,
2008-08-31,2008-08-31,451.5,,
2008-09-30,2008-09-30,482.9,,
2008-10-31,2008-10-31,483.5,,
2008-11-30,2008-11-30,503.6,,
2008-12-31,2008-12-31,516.6,,
2009-01-31,2009-01-31,556.9,,
2009-02-28,2009-02-28,604.9,,
2009-03-31,2009-03-31,652.3,,
2009-04-30,2009-04-30,629.7,,
2009-05-31,2009-05-31,664.7,,
2009-06-30,2009-06-30,669.7,,
2009-07-31,2009-07-31,649.3,,
2009-08-31,2009-08-31,654.0,,
2009-09-30,2009-09-30,648.7,,
2009-10-31,2009-10-31,644.7,,
2009-11-30,2009-11-30,638.6,,
2009-12-31,2009-12-31,632.5,,
2010-01-31,2010-01-31,607.9,,
2010-02-28,2010-02-28,610.8,,
2010-03-31,2010-03-31,626.4,,
2010-04-30,2010-04-30,636.3,,
2010-05-31,2010-05-31,603.6,,
2010-06-30,2010-06-30,596.2,,
2010-07-31,2010-07-31,615.1,,
2010-08-31,2010-08-31,586.1,,
2010-09-30,2010-09-30,590.1,,
2010-10-31,2010-10-31,619.5,,
2010-11-30,2010-11-30,601.0,,
2010-12-31,2010-12-31,572.6,,
2011-01-31,2011-01-31,589.9,,
2011-02-28,2011-02-28,584.6,,
2011-03-31,2011-03-31,581.1,,
2011-04-30,2011-04-30,583.5,,
2011-05-31,2011-05-31,589.6,,
2011-06-30,2011-06-30,579.5,,
2011-07-31,2011-07-31,601.3,,
2011-08-31,2011-08-31,624.2,,
2011-09-30,2011-09-30,619.5,,
2011-10-31,2011-10-31,615.4,,
2011-11-30,2011-11-30,621.1,,
2011-12-31,2011-12-31,615.6,,
2012-01-31,2012-01-31,601.1,,
2012-02-29,2012-02-29,617.0,,
2012-03-31,2012-03-31,619.5,,
2012-04-30,2012-04-30,595.1,,
2012-05-31,2012-05-31,623.3,,
2012-06-30,2012-06-30,617.3,,
2012-07-31,2012-07-31,620.0,,
2012-08-31,2012-08-31,617.8,,
2012-09-30,2012-09-30,661.3,,
2012-10-31,2012-10-31,651.5,,
2012-11-30,2012-11-30,631.7,,
2012-12-31,2012-12-31,654.6,,
2013-01-31,2013-01-31,653.3,,
2013-02-28,2013-02-28,653.7,,
2013-03-31,2013-03-31,683.5,,
2013-04-30,2013-04-30,678.7,,
2013-05-31,2013-05-31,680.9,,
2013-06-30,2013-06-30,692.7,,
2013-07-31,2013-07-31,684.0,,
2013-08-31,2013-08-31,711.4,,
2013-09-30,2013-09-30,694.2,,
2013-10-31,2013-10-31,709.2,,
2013-11-30,2013-11-30,704.5,,
2013-12-31,2013-12-31,716.0,,
2014-01-31,2014-01-31,724.1,,
2014-02-28,2014-02-28,716.4,,
2014-03-31,2014-03-31,719.7,,
2014-04-30,2014-04-30,710.9,,
2014-05-31,2014-05-31,725.7,,
2014-06-30,2014-06-30,742.3,,
2014-07-31,2014-07-31,759.9,,
2014-08-31,2014-08-31,750.7,,
2014-09-30,2014-09-30,768.3,,
2014-10-31,2014-10-31,783.6,,
2014-11-30,2014-11-30,775.7,,
2014-12-31,2014-12-31,754.1,,
2015-01-31,2015-01-31,787.1,,
2015-02-28,2015-02-28,765.5,,
2015-03-31,2015-03-31,760.0,,
2015-04-30,2015-04-30,761.0,,
2015-05-31,2015-05-31,739.7,,
2015-06-30,2015-06-30,749.7,,
2015-07-31,2015-07-31,787.9,,
2015-08-31,2015-08-31,762.8,,
2015-09-30,2015-09-30,775.7,,
2015-10-31,2015-10-31,745.4,,
2015-11-30,2015-11-30,739.2,,
2015-12-31,2015-12-31,725.1,,
2016-01-31,2016-01-31,765.6,,
2016-02-29,2016-02-29,720.0,,
2016-03-31,2016-03-31,715.5,,
2016-04-30,2016-04-30,714.6,,
2016-05-31,2016-05-31,724.7,,
2016-06-30,2016-06-30,722.6,,
2016-07-31,2016-07-31,724.8,,
2016-08-31,2016-08-31,711.6,,
2016-09-30,2016-09-30,717.5,,
2016-10-31,2016-10-31,709.4,,
2016-11-30,2016-11-30,733.8,,
2016-12-31,2016-12-31,744.7,,
2017-01-31,2017-01-31,725.1,,
2017-02-28,2017-02-28,752.1,,
2017-03-31,2017-03-31,749.6,,
2017-04-30,2017-04-30,720.6,,
2017-05-31,2017-05-31,714.4,,
2017-06-30,2017-06-30,726.8,,
2017-07-31,2017-07-31,727.2,,
2017-08-31,2017-08-31,719.3,,
2017-09-30,2017-09-30,712.8,,
2017-10-31,2017-10-31,704.5,,
2017-11-30,2017-11-30,713.7,,
2017-12-31,2017-12-31,737.5,,
2018-01-31,2018-01-31,726.6,,
2018-02-28,2018-02-28,733.7,,
2018-03-31,2018-03-31,728.2,,
2018-04-30,2018-04-30,730.8,,
2018-05-31,2018-05-31,715.7,,
2018-06-30,2018-06-30,706.8,,
2018-07-31,2018-07-31,701.3,,
2018-08-31,2018-08-31,697.1,,
2018-09-30,2018-09-30,666.9,,
2018-10-31,2018-10-31,665.3,,
2018-11-30,2018-11-30,681.0,,
2018-12-31,2018-12-31,669.0,,
2019-01-31,2019-01-31,675.3,,
2019-02-28,2019-02-28,667.5,,
2019-03-31,2019-03-31,683.3,,
2019-04-30,2019-04-30,703.2,,
2019-05-31,2019-05-31,701.0,,
