Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2007-02-28,2007-02-13,1.7,,
2007-03-31,2007-03-13,3.7,,
2007-04-30,2007-04-17,-0.2,,
2007-05-31,2007-05-15,7.5,,
2007-06-30,2007-06-12,-2.0,,
2007-07-31,2007-07-10,-0.6,,
2007-08-31,2007-08-14,-8.1,,
2007-09-30,2007-09-11,4.2,,
2007-10-31,2007-10-09,-0.3,,
2007-11-30,2007-11-13,-4.2,,
2007-12-31,2007-12-11,1.8,,
2008-01-31,2008-01-15,-8.3,,
2008-02-29,2008-02-12,-5.5,,
2008-03-31,2008-03-11,-9.1,,
2008-04-30,2008-04-08,-1.3,,
2008-05-31,2008-05-20,2.7,,
2008-06-30,2008-06-10,-5.6,,
2008-07-31,2008-07-08,-6.7,,
2008-08-31,2008-08-12,9.1,,
2008-09-30,2008-09-09,7.0,,
2008-10-31,2008-10-07,-11.0,,
2008-11-30,2008-11-11,4.3,,
2008-12-31,2008-12-09,7.5,,
2009-01-31,2009-01-20,-2.2,,
2009-02-28,2009-02-10,-4.6,,
2009-03-31,2009-03-10,-0.2,,
2009-04-30,2009-04-07,8.3,,
2009-05-31,2009-05-19,-4.3,,
2009-06-30,2009-06-09,12.7,,
2009-07-31,2009-07-07,9.3,,
2009-08-31,2009-08-11,3.7,,
2009-09-30,2009-09-08,5.2,,
2009-10-31,2009-10-13,1.7,,
2009-11-30,2009-11-10,-2.5,,
2009-12-31,2009-12-08,-3.8,,
2010-01-31,2010-01-19,5.6,,
2010-02-28,2010-02-09,-2.6,,
2010-03-31,2010-03-09,0.2,,
2010-04-30,2010-04-13,-1.0,,
2010-05-31,2010-05-18,-7.0,,
2010-06-30,2010-06-08,-5.7,,
2010-07-31,2010-07-13,11.1,,
2010-08-31,2010-08-10,5.4,,
2010-09-30,2010-09-14,-5.0,,
2010-10-31,2010-10-12,3.3,,
2010-11-30,2010-11-09,-5.3,,
2010-12-31,2010-12-14,0.2,,
2011-01-31,2011-01-18,-5.7,,
2011-02-28,2011-02-08,1.9,,
2011-03-31,2011-03-08,-2.4,,
2011-04-30,2011-04-12,1.2,,
2011-05-31,2011-05-17,-1.3,,
2011-06-30,2011-06-14,-2.6,,
2011-07-31,2011-07-12,-8.3,,
2011-08-31,2011-08-09,-3.5,,
2011-09-30,2011-09-13,8.1,,
2011-10-31,2011-10-11,0.4,,
2011-11-30,2011-11-08,6.3,,
2011-12-31,2011-12-13,-8.3,,
2012-01-31,2012-01-17,2.4,,
2012-02-29,2012-02-14,4.2,,
2012-03-31,2012-03-13,-5.0,,
2012-04-30,2012-04-10,-1.6,,
2012-05-31,2012-05-15,0.8,,
2012-06-30,2012-06-12,0.3,,
2012-07-31,2012-07-10,3.7,,
2012-08-31,2012-08-14,-2.5,,
2012-09-30,2012-09-11,1.6,,
2012-10-31,2012-10-09,1.0,,
2012-11-30,2012-11-13,5.2,,
2012-12-31,2012-12-11,-4.1,,
2013-01-31,2013-01-15,0.6,,
2013-02-28,2013-02-12,7.7,,
2013-03-31,2013-03-12,2.0,,
2013-04-30,2013-04-09,-5.1,,
2013-05-31,2013-05-21,-7.0,,
