Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2009-10-31,2009-10-13,121.4,,
2009-11-30,2009-11-10,118.3,,
2009-12-31,2009-12-08,113.8,,
2010-01-31,2010-01-19,120.1,,
2010-02-28,2010-02-09,117.0,,
2010-03-31,2010-03-09,117.3,,
2010-04-30,2010-04-13,116.1,,
2010-05-31,2010-05-18,108.0,,
2010-06-30,2010-06-08,101.9,,
2010-07-31,2010-07-13,113.1,,
2010-08-31,2010-08-10,119.2,,
2010-09-30,2010-09-14,113.2,,
2010-10-31,2010-10-12,117.0,,
2010-11-30,2010-11-09,110.7,,
2010-12-31,2010-12-14,111.0,,
2011-01-31,2011-01-18,104.6,,
2011-02-28,2011-02-08,106.6,,
2011-03-31,2011-03-08,104.1,,
2011-04-30,2011-04-12,105.3,,
2011-05-31,2011-05-17,103.9,,
2011-06-30,2011-06-14,101.2,,
2011-07-31,2011-07-12,92.8,,
2011-08-31,2011-08-09,89.6,,
2011-09-30,2011-09-13,96.9,,
2011-10-31,2011-10-11,97.2,,
2011-11-30,2011-11-08,103.4,,
2011-12-31,2011-12-13,94.7,,
2012-01-31,2012-01-17,97.1,,
2012-02-29,2012-02-14,101.1,,
2012-03-31,2012-03-13,96.1,,
2012-04-30,2012-04-10,94.5,,
2012-05-31,2012-05-15,95.3,,
2012-06-30,2012-06-12,95.6,,
2012-07-31,2012-07-10,99.1,,
2012-08-31,2012-08-14,96.6,,
2012-09-30,2012-09-11,98.2,,
2012-10-31,2012-10-09,99.2,,
2012-11-30,2012-11-13,104.3,,
2012-12-31,2012-12-11,100.0,,
2013-01-31,2013-01-15,100.6,,
2013-02-28,2013-02-12,108.3,,
2013-03-31,2013-03-12,110.5,,
2013-04-30,2013-04-09,104.9,,
2013-05-31,2013-05-21,97.6,,
2013-06-30,2013-06-11,102.2,,
2013-07-31,2013-07-09,102.1,,
2013-08-31,2013-08-13,105.7,,
2013-09-30,2013-09-10,110.6,,
2013-10-31,2013-10-08,108.3,,
2013-11-30,2013-11-12,110.3,,
2013-12-31,2013-12-10,105.0,,
2014-01-31,2014-01-21,103.3,,
2014-02-28,2014-02-11,100.2,,
2014-03-31,2014-03-11,99.5,,
2014-04-30,2014-04-08,99.7,,
