Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,99.55,,
2003-07-31,2003-07-31,99.61,,
2003-08-31,2003-08-31,99.77,,
2003-09-30,2003-09-30,99.83,,
2003-10-31,2003-10-31,99.91,,
2003-11-30,2003-11-30,99.88,,
2003-12-31,2003-12-31,99.81,,
2004-01-31,2004-01-31,99.71,,
2004-02-29,2004-02-29,99.79,,
2004-03-31,2004-03-31,99.84,,
2004-04-30,2004-04-30,100.08,,
2004-05-31,2004-05-31,100.25,,
2004-06-30,2004-06-30,100.26,,
2004-07-31,2004-07-31,100.08,,
2004-08-31,2004-08-31,100.23,,
2004-09-30,2004-09-30,100.28,,
2004-10-31,2004-10-31,100.32,,
2004-11-30,2004-11-30,100.26,,
2004-12-31,2004-12-31,100.47,,
2005-01-31,2005-01-31,100.69,,
2005-02-28,2005-02-28,100.43,,
2005-03-31,2005-03-31,100.49,,
2005-04-30,2005-04-30,100.78,,
2005-05-31,2005-05-31,100.67,,
2005-06-30,2005-06-30,100.88,,
2005-07-31,2005-07-31,100.98,,
2005-08-31,2005-08-31,100.73,,
2005-09-30,2005-09-30,100.44,,
2005-10-31,2005-10-31,100.59,,
2005-11-30,2005-11-30,100.77,,
2005-12-31,2005-12-31,101.0,,
2006-01-31,2006-01-31,100.93,,
2006-02-28,2006-02-28,101.05,,
2006-03-31,2006-03-31,101.18,,
2006-04-30,2006-04-30,101.31,,
2006-05-31,2006-05-31,101.25,,
2006-06-30,2006-06-30,101.26,,
2006-07-31,2006-07-31,101.15,,
2006-08-31,2006-08-31,101.4,,
2006-09-30,2006-09-30,101.13,,
2006-10-31,2006-10-31,101.09,,
2006-11-30,2006-11-30,101.04,,
2006-12-31,2006-12-31,101.43,,
2007-01-31,2007-01-31,101.09,,
2007-02-28,2007-02-28,101.42,,
2007-03-31,2007-03-31,101.67,,
2007-04-30,2007-04-30,101.78,,
2007-05-31,2007-05-31,101.86,,
2007-06-30,2007-06-30,101.63,,
2007-07-31,2007-07-31,101.47,,
2007-08-31,2007-08-31,101.5,,
2007-09-30,2007-09-30,101.53,,
2007-10-31,2007-10-31,101.62,,
2007-11-30,2007-11-30,101.52,,
2007-12-31,2007-12-31,101.36,,
2008-01-31,2008-01-31,100.97,,
2008-02-29,2008-02-29,100.82,,
2008-03-31,2008-03-31,100.75,,
2008-04-30,2008-04-30,100.64,,
2008-05-31,2008-05-31,100.76,,
2008-06-30,2008-06-30,100.55,,
2008-07-31,2008-07-31,100.68,,
2008-08-31,2008-08-31,100.69,,
2008-09-30,2008-09-30,99.63,,
2008-10-31,2008-10-31,99.8,,
2008-11-30,2008-11-30,99.51,,
2008-12-31,2008-12-31,98.43,,
2009-01-31,2009-01-31,98.01,,
2009-02-28,2009-02-28,97.71,,
2009-03-31,2009-03-31,97.68,,
2009-04-30,2009-04-30,97.29,,
2009-05-31,2009-05-31,97.17,,
2009-06-30,2009-06-30,97.28,,
2009-07-31,2009-07-31,97.72,,
2009-08-31,2009-08-31,98.04,,
2009-09-30,2009-09-30,98.37,,
2009-10-31,2009-10-31,98.12,,
2009-11-30,2009-11-30,98.2,,
2009-12-31,2009-12-31,98.65,,
2010-01-31,2010-01-31,98.64,,
2010-02-28,2010-02-28,98.74,,
2010-03-31,2010-03-31,98.77,,
2010-04-30,2010-04-30,98.96,,
2010-05-31,2010-05-31,98.92,,
2010-06-30,2010-06-30,98.99,,
2010-07-31,2010-07-31,99.12,,
2010-08-31,2010-08-31,99.15,,
2010-09-30,2010-09-30,99.1,,
2010-10-31,2010-10-31,98.8,,
2010-11-30,2010-11-30,98.92,,
2010-12-31,2010-12-31,98.96,,
2011-01-31,2011-01-31,99.18,,
2011-02-28,2011-02-28,99.04,,
2011-03-31,2011-03-31,99.05,,
2011-04-30,2011-04-30,98.94,,
2011-05-31,2011-05-31,98.77,,
2011-06-30,2011-06-30,98.58,,
2011-07-31,2011-07-31,98.39,,
2011-08-31,2011-08-31,98.37,,
2011-09-30,2011-09-30,98.33,,
2011-10-31,2011-10-31,98.46,,
2011-11-30,2011-11-30,97.98,,
2011-12-31,2011-12-31,97.96,,
2012-01-31,2012-01-31,97.99,,
2012-02-29,2012-02-29,97.86,,
2012-03-31,2012-03-31,97.97,,
2012-04-30,2012-04-30,97.98,,
2012-05-31,2012-05-31,97.82,,
2012-06-30,2012-06-30,97.81,,
2012-07-31,2012-07-31,97.82,,
2012-08-31,2012-08-31,97.54,,
2012-09-30,2012-09-30,97.58,,
2012-10-31,2012-10-31,97.75,,
2012-11-30,2012-11-30,97.67,,
2012-12-31,2012-12-31,97.82,,
2013-01-31,2013-01-31,98.07,,
2013-02-28,2013-02-28,98.22,,
2013-03-31,2013-03-31,98.1,,
2013-04-30,2013-04-30,97.96,,
2013-05-31,2013-05-31,97.99,,
2013-06-30,2013-06-30,98.0,,
2013-07-31,2013-07-31,98.17,,
2013-08-31,2013-08-31,98.49,,
2013-09-30,2013-09-30,98.41,,
2013-10-31,2013-10-31,98.49,,
2013-11-30,2013-11-30,98.37,,
2013-12-31,2013-12-31,98.46,,
2014-01-31,2014-01-31,98.18,,
2014-02-28,2014-02-28,98.25,,
2014-03-31,2014-03-31,98.25,,
2014-04-30,2014-04-30,97.98,,
2014-05-31,2014-05-31,97.93,,
2014-06-30,2014-06-30,97.9,,
2014-07-31,2014-07-31,97.9,,
2014-08-31,2014-08-31,97.77,,
2014-09-30,2014-09-30,97.78,,
2014-10-31,2014-10-31,97.67,,
2014-11-30,2014-11-30,97.58,,
2014-12-31,2014-12-31,97.59,,
2015-01-31,2015-01-31,97.75,,
2015-02-28,2015-02-28,97.77,,
2015-03-31,2015-03-31,97.54,,
2015-04-30,2015-04-30,97.48,,
2015-05-31,2015-05-31,97.32,,
2015-06-30,2015-06-30,97.3,,
2015-07-31,2015-07-31,97.41,,
2015-08-31,2015-08-31,97.12,,
2015-09-30,2015-09-30,97.27,,
2015-10-31,2015-10-31,97.26,,
2015-11-30,2015-11-30,97.08,,
2015-12-31,2015-12-31,96.75,,
2016-01-31,2016-01-31,96.79,,
2016-02-29,2016-02-29,96.6,,
2016-03-31,2016-03-31,96.56,,
2016-04-30,2016-04-30,96.63,,
2016-05-31,2016-05-31,96.87,,
2016-06-30,2016-06-30,96.67,,
2016-07-31,2016-07-31,96.69,,
2016-08-31,2016-08-31,96.81,,
2016-09-30,2016-09-30,96.86,,
2016-10-31,2016-10-31,96.84,,
2016-11-30,2016-11-30,96.99,,
2016-12-31,2016-12-31,97.4,,
2017-01-31,2017-01-31,97.47,,
2017-02-28,2017-02-28,97.17,,
2017-03-31,2017-03-31,97.37,,
2017-04-30,2017-04-30,97.19,,
2017-05-31,2017-05-31,97.33,,
2017-06-30,2017-06-30,97.16,,
2017-07-31,2017-07-31,97.23,,
2017-08-31,2017-08-31,97.23,,
2017-09-30,2017-09-30,97.36,,
2017-10-31,2017-10-31,97.47,,
2017-11-30,2017-11-30,97.61,,
2017-12-31,2017-12-31,97.8,,
2018-01-31,2018-01-31,97.62,,
2018-02-28,2018-02-28,97.78,,
