Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2006-11-30,2007-01-16,0.5,,
2006-12-31,2007-02-20,0.6,,
2007-01-31,2007-03-20,0.1,,
2007-02-28,2007-04-25,0.9,,
2007-03-31,2007-05-22,0.2,,
2007-04-30,2007-06-19,0.7,,
2007-05-31,2007-07-17,0.2,,
2007-06-30,2007-08-21,1.0,,
2007-07-31,2007-09-18,0.2,,
2007-08-31,2007-10-16,0.6,,
2007-09-30,2007-11-20,0.8,,
2007-10-31,2007-12-18,0.5,,
2007-11-30,2008-01-22,1.0,,
2007-12-31,2008-02-19,-0.2,,
2008-01-31,2008-03-18,0.0,,
2008-02-29,2008-04-15,0.0,,
2008-03-31,2008-05-27,0.2,,
2008-04-30,2008-06-17,0.4,,
2008-05-31,2008-07-15,0.0,,
2008-06-30,2008-08-19,0.1,,
2008-07-31,2008-09-16,0.2,,
2008-08-31,2008-10-14,-0.1,,
2008-09-30,2008-11-18,-1.0,,
2008-10-31,2008-12-16,-0.1,,
2008-11-30,2009-01-27,-0.97,,
2008-12-31,2009-02-17,-0.4,,
2009-01-31,2009-03-17,-0.2,,
2009-02-28,2009-04-14,-0.3,,
2009-03-31,2009-05-26,0.3,,
2009-04-30,2009-06-16,0.7,,
2009-05-31,2009-07-14,-0.2,,
2009-06-30,2009-08-18,0.7,,
2009-07-31,2009-09-15,1.1,,
2009-08-31,2009-10-20,1.1,,
2009-09-30,2009-11-17,0.9,,
2009-10-31,2009-12-15,0.4,,
2009-11-30,2010-01-26,1.0,,
2009-12-31,2010-02-16,0.5,,
2010-01-31,2010-03-16,0.2,,
2010-02-28,2010-04-20,0.5,,
2010-03-31,2010-05-25,0.9,,
2010-04-30,2010-06-15,0.0,,
2010-05-31,2010-07-20,0.2,,
2010-06-30,2010-08-17,0.0,,
2010-07-31,2010-09-21,0.41,,
2010-08-31,2010-10-19,-0.1,,
2010-09-30,2010-11-16,0.0,,
2010-10-31,2010-12-21,0.3,,
2010-11-30,2011-01-26,0.0,,
2010-12-31,2011-02-15,0.8,,
2011-01-31,2011-03-15,-0.1,,
2011-02-28,2011-04-19,0.4,,
2011-03-31,2011-05-24,0.5,,
2011-04-30,2011-06-21,0.2,,
2011-05-31,2011-07-19,-0.1,,
2011-06-30,2011-08-16,0.1,,
2011-07-31,2011-09-20,0.5,,
2011-08-31,2011-10-18,0.8,,
2011-09-30,2011-11-15,-0.3,,
2011-10-31,2011-12-20,0.1,,
2011-11-30,2012-01-24,-0.2,,
2011-12-31,2012-02-21,0.5,,
2012-01-31,2012-03-20,0.6,,
2012-02-29,2012-04-17,0.2,,
2012-03-31,2012-05-22,0.4,,
2012-04-30,2012-06-19,0.5,,
2012-05-31,2012-07-17,0.8,,
2012-06-30,2012-08-21,0.5,,
2012-07-31,2012-09-18,0.4,,
2012-08-31,2012-10-16,0.5,,
2012-09-30,2012-11-20,0.7,,
2012-10-31,2012-12-18,0.1,,
2012-11-30,2013-01-22,0.6,,
2012-12-31,2013-02-19,0.2,,
2013-01-31,2013-03-19,0.3,,
2013-02-28,2013-04-16,0.6,,
2013-03-31,2013-05-28,0.2,,
2013-04-30,2013-06-18,0.6,,
2013-05-31,2013-07-16,0.2,,
2013-06-30,2013-08-20,0.0,,
2013-07-31,2013-09-17,0.6,,
2013-08-31,2013-10-15,-0.1,,
2013-09-30,2013-11-20,-0.1,,
2013-10-31,2013-11-19,0.1,,
2013-11-30,2013-12-17,-0.1,,
2013-12-31,2014-01-28,0.1,,
2014-01-31,2014-02-18,-0.2,,
2014-02-28,2014-03-18,-0.1,,
2014-03-31,2014-04-15,0.0,,
2014-04-30,2014-05-27,-0.5,,
2014-05-31,2014-06-17,0.1,,
2014-06-30,2014-07-15,0.1,,
2014-07-31,2014-08-19,-0.1,,
2014-08-31,2014-09-16,-0.1,,
2014-09-30,2014-10-21,-0.05,,
2014-10-31,2014-11-18,0.03,,
2014-11-30,2014-12-16,-0.06,,
2014-12-31,2015-01-27,0.0,,
2015-01-31,2015-02-17,0.1,,
2015-02-28,2015-03-17,0.3,,
2015-03-31,2015-04-21,-0.3,,
2015-04-30,2015-05-26,0.1,,
2015-05-31,2015-06-16,-0.1,,
2015-06-30,2015-07-21,0.0,,
2015-07-31,2015-08-18,0.03,,
2015-08-31,2015-09-15,-0.3,,
2015-09-30,2015-10-20,0.1,,
2015-10-31,2015-11-17,0.1,,
2015-11-30,2015-12-15,-0.2,,
2015-12-31,2016-01-26,-0.3,,
2016-01-31,2016-02-16,-0.04,,
2016-02-29,2016-03-15,-0.15,,
2016-03-31,2016-04-19,-0.12,,
2016-04-30,2016-05-17,0.24,,
2016-05-31,2016-06-21,0.21,,
2016-06-30,2016-07-19,-0.22,,
2016-07-31,2016-08-16,0.05,,
2016-08-31,2016-09-20,0.0,,
2016-09-30,2016-10-18,0.06,,
2016-10-31,2016-11-15,0.06,,
2016-11-30,2016-12-20,0.02,,
2016-12-31,2017-01-24,0.44,,
2017-01-31,2017-02-21,0.03,,
2017-02-28,2017-03-21,-0.07,,
2017-03-31,2017-04-18,0.08,,
2017-04-30,2017-05-23,-0.12,,
2017-05-31,2017-06-20,-0.02,,
2017-06-30,2017-07-18,-0.14,,
2017-07-31,2017-08-15,0.12,,
2017-08-31,2017-09-19,-0.08,,
2017-09-30,2017-10-17,0.08,,
2017-10-31,2017-11-21,0.13,,
2017-11-30,2017-12-19,0.1,,
2017-12-31,2018-01-23,0.27,,
2018-01-31,2018-02-20,-0.24,,
2018-02-28,2018-03-20,0.29,,
2018-03-31,2018-04-17,-0.22,,
2018-04-30,2018-05-22,0.19,,
2018-05-31,2018-06-19,-0.22,,
2018-06-30,2018-07-17,0.01,,
2018-07-31,2018-08-21,0.01,,
2018-08-31,2018-09-18,0.06,,
2018-09-30,2018-10-16,-0.06,,
2018-10-31,2018-11-20,0.08,,
2018-11-30,2018-12-18,-0.09,,
2018-12-31,2019-01-22,-0.21,,
2019-01-31,2019-02-19,-0.01,,
2019-02-28,2019-03-19,0.0,,
2019-03-31,2019-04-16,0.19,,
2019-04-30,2019-05-21,-0.09,,
2019-05-31,2019-06-18,-0.08,,
2019-06-30,2019-07-16,-0.08,,
2019-07-31,2019-08-20,0.14,,
2019-08-31,2019-09-17,-0.28,,
2019-09-30,2019-10-15,-0.08,,
2019-10-31,2019-11-19,-0.07,,
2019-11-30,2019-12-17,-0.09,,
2019-12-31,2020-01-28,0.05,,
2020-01-31,2020-02-18,0.05,,
2020-02-29,2020-03-17,-0.43,,
2020-03-31,2020-04-21,-0.84,,
2020-04-30,2020-05-19,-1.5,,
2020-05-31,2020-06-16,0.19,,
2020-06-30,2020-07-21,0.44,,
2020-07-31,2020-08-18,0.05,,
2020-08-31,2020-09-15,0.48,,
2020-09-30,2020-10-20,0.22,,
2020-10-31,2020-11-17,0.11,,
2020-11-30,2020-12-15,0.46,,
2020-12-31,2021-01-26,0.12,,
2021-01-31,2021-02-16,0.26,,
2021-02-28,2021-03-16,0.01,,
2021-03-31,2021-04-20,0.38,,
2021-04-30,2021-05-25,0.2,,
2021-05-31,2021-06-15,-0.06,,
2021-06-30,2021-07-20,-0.07,,
2021-07-31,2021-08-17,-0.11,,
2021-08-31,2021-09-21,-0.27,,
2021-09-30,2021-10-19,-0.02,,
2021-10-31,2021-11-16,0.16,,
2021-11-30,2021-12-21,0.12,,
2021-12-31,2022-01-26,-0.03,,
2022-01-31,2022-02-15,0.13,,
2022-02-28,2022-03-15,-0.15,,
2022-03-31,2022-04-19,0.35,,
2022-04-30,2022-05-17,-0.15,,
2022-05-31,2022-06-21,-0.06,,
2022-06-30,2022-07-19,-0.16,,
2022-07-31,2022-08-16,-0.15,,
2022-08-31,2022-09-20,-0.05,,
2022-09-30,2022-10-18,-0.04,,
2022-10-31,2022-11-15,-0.05,,
2022-11-30,2022-12-20,-0.13,,
2022-12-31,2023-01-24,-0.13,,
2023-01-31,2023-02-21,-0.08,,
2023-02-28,2023-03-21,-0.06,,
2023-03-31,2023-04-18,-0.01,,
2023-04-30,2023-05-23,-0.03,,
2023-05-31,2023-06-20,-0.27,,
2023-06-30,2023-07-18,0.11,,
2023-07-31,2023-08-15,-0.03,,
2023-08-31,2023-09-19,-0.04,,
2023-09-30,2023-10-17,0.07,,
2023-10-31,2023-11-21,-0.03,,
2023-11-30,2023-12-19,0.07,,
2023-12-31,2024-01-23,-0.04,,
2024-01-31,2024-02-20,-0.08,,
2024-02-29,2024-03-26,0.08,,
2024-03-31,2024-04-16,-0.05,,
2024-04-30,2024-05-28,-0.03,,
2024-05-31,2024-06-25,-0.01,,
2024-06-30,2024-07-16,0.0,,
2024-07-31,2024-08-20,-0.04,,
2024-08-31,2024-09-17,-0.05,,
2024-09-30,2024-10-15,0.03,,
2024-10-31,2024-11-19,0.18,,
2024-11-30,2024-12-17,0.05,,
2024-12-31,2025-01-21,-0.02,,
2025-01-31,2025-02-18,0.12,,
2025-02-28,2025-03-18,0.07,,
2025-03-31,2025-04-15,-0.11,,
2025-04-30,2025-05-20,-0.01,,
2025-05-31,2025-06-17,,,
