Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-0.73,,
2003-07-31,2003-07-31,-0.61,,
2003-08-31,2003-08-31,-0.49,,
2003-09-30,2003-09-30,-0.54,,
2003-10-31,2003-10-31,-0.26,,
2003-11-30,2003-11-30,-0.64,,
2003-12-31,2003-12-31,-0.36,,
2004-01-31,2004-01-31,-0.38,,
2004-02-29,2004-02-29,-0.27,,
2004-03-31,2004-03-31,-0.01,,
2004-04-30,2004-04-30,0.28,,
2004-05-31,2004-05-31,0.64,,
2004-06-30,2004-06-30,0.71,,
2004-07-31,2004-07-31,0.47,,
2004-08-31,2004-08-31,0.46,,
2004-09-30,2004-09-30,0.45,,
2004-10-31,2004-10-31,0.41,,
2004-11-30,2004-11-30,0.38,,
2004-12-31,2004-12-31,0.66,,
2005-01-31,2005-01-31,0.98,,
2005-02-28,2005-02-28,0.64,,
2005-03-31,2005-03-31,0.65,,
2005-04-30,2005-04-30,0.7,,
2005-05-31,2005-05-31,0.42,,
2005-06-30,2005-06-30,0.62,,
2005-07-31,2005-07-31,0.9,,
2005-08-31,2005-08-31,0.5,,
2005-09-30,2005-09-30,0.16,,
2005-10-31,2005-10-31,0.27,,
2005-11-30,2005-11-30,0.51,,
2005-12-31,2005-12-31,0.53,,
2006-01-31,2006-01-31,0.24,,
2006-02-28,2006-02-28,0.62,,
2006-03-31,2006-03-31,0.69,,
2006-04-30,2006-04-30,0.53,,
2006-05-31,2006-05-31,0.58,,
2006-06-30,2006-06-30,0.38,,
2006-07-31,2006-07-31,0.17,,
2006-08-31,2006-08-31,0.67,,
2006-09-30,2006-09-30,0.68,,
2006-10-31,2006-10-31,0.49,,
2006-11-30,2006-11-30,0.27,,
2006-12-31,2006-12-31,0.42,,
2007-01-31,2007-01-31,0.15,,
2007-02-28,2007-02-28,0.36,,
2007-03-31,2007-03-31,0.48,,
2007-04-30,2007-04-30,0.46,,
2007-05-31,2007-05-31,0.6,,
2007-06-30,2007-06-30,0.37,,
2007-07-31,2007-07-31,0.31,,
2007-08-31,2007-08-31,0.1,,
2007-09-30,2007-09-30,0.4,,
2007-10-31,2007-10-31,0.53,,
2007-11-30,2007-11-30,0.47,,
2007-12-31,2007-12-31,-0.07,,
2008-01-31,2008-01-31,-0.11,,
2008-02-29,2008-02-29,-0.59,,
2008-03-31,2008-03-31,-0.9,,
2008-04-30,2008-04-30,-1.12,,
2008-05-31,2008-05-31,-1.08,,
2008-06-30,2008-06-30,-1.06,,
2008-07-31,2008-07-31,-0.78,,
2008-08-31,2008-08-31,-0.8,,
2008-09-30,2008-09-30,-1.87,,
2008-10-31,2008-10-31,-1.79,,
2008-11-30,2008-11-30,-1.99,,
