Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2016-12-31,2017-01-20,0.2,,
2017-01-31,2017-02-24,1.7,,
2017-02-28,2017-03-24,1.6,,
2017-03-31,2017-04-21,1.4,,
2017-04-30,2017-05-19,1.3,,
2017-05-31,2017-06-23,1.2,,
2017-06-30,2017-07-21,1.2,,
2017-07-31,2017-08-18,1.3,,
2017-08-31,2017-09-22,1.4,,
2017-09-30,2017-10-20,1.5,,
2017-10-31,2017-11-17,1.5,,
2017-11-30,2017-12-21,1.8,,
2017-12-31,2018-01-26,1.9,,
2018-01-31,2018-02-23,1.8,,
2018-02-28,2018-03-23,2.1,,
2018-03-31,2018-04-20,2.0,2.1,2.1
2018-04-30,2018-05-18,2.1,2.1,2.0
2018-05-31,2018-06-22,1.9,2.1,2.1
2018-06-30,2018-07-20,2.0,,
2018-07-31,2018-08-17,2.1,,
2018-08-31,2018-09-21,2.2,,
2018-09-30,2018-10-19,2.1,,
2018-10-31,2018-11-23,2.1,2.1,2.0
2018-11-30,2018-12-19,1.9,,
2018-12-31,2019-01-18,1.9,1.9,1.8
2019-01-31,2019-02-27,1.9,1.9,1.8
2019-02-28,2019-03-22,1.9,1.8,1.7
2019-03-31,2019-04-17,2.1,1.8,1.8
2019-04-30,2019-05-15,2.0,2.1,2.0
2019-05-31,2019-06-19,2.3,2.1,2.0
2019-06-30,2019-07-17,2.1,2.2,2.1
2019-07-31,2019-08-21,2.1,2.0,2.0
2019-08-31,2019-09-18,2.1,2.1,2.1
2019-09-30,2019-10-16,2.1,2.1,2.1
2019-10-31,2019-11-20,2.1,2.1,2.1
2019-11-30,2019-12-18,2.2,2.2,2.2
2019-12-31,2020-01-22,2.1,2.2,2.2
2020-01-31,2020-02-19,2.1,2.1,2.1
2020-02-29,2020-03-18,2.0,2.1,2.1
2020-03-31,2020-04-22,1.8,2.0,2.0
2020-04-30,2020-05-20,1.8,1.8,2.0
2020-05-31,2020-06-17,1.7,1.7,2.0
2020-06-30,2020-07-22,1.8,1.6,1.8
2020-07-31,2020-08-19,1.7,1.8,2.0
2020-08-31,2020-09-16,1.7,1.8,1.9
2020-09-30,2020-10-21,1.8,1.7,1.7
2020-10-31,2020-11-18,1.8,1.8,1.8
2020-11-30,2020-12-16,1.7,1.8,1.8
2020-12-31,2021-01-20,1.6,1.7,1.7
2021-01-31,2021-02-17,1.8,1.6,1.7
2021-02-28,2021-03-17,1.9,2.0,1.9
2021-03-31,2021-04-21,2.2,2.0,2.0
2021-04-30,2021-05-19,2.3,2.2,2.1
2021-05-31,2021-06-16,2.7,2.3,2.2
2021-06-30,2021-07-28,2.6,2.6,2.4
2021-07-31,2021-08-18,3.1,2.5,2.3
2021-08-31,2021-09-15,3.3,3.1,3.1
2021-09-30,2021-10-20,3.4,3.3,3.0
2021-10-31,2021-11-17,3.3,3.4,3.2
2021-11-30,2021-12-15,3.4,3.3,3.3
2021-12-31,2022-01-19,3.7,3.4,3.5
2022-01-31,2022-02-16,4.0,3.7,3.7
2022-02-28,2022-03-16,4.3,4.2,3.9
2022-03-31,2022-04-20,4.7,,
2022-04-30,2022-05-18,5.1,4.7,4.4
2022-05-31,2022-06-22,5.4,5.4,5.3
2022-06-30,2022-07-20,5.5,5.6,5.6
2022-07-31,2022-08-16,5.4,5.4,5.1
2022-08-31,2022-09-20,5.2,5.5,5.4
2022-09-30,2022-10-19,5.2,5.1,5.1
2022-10-31,2022-11-16,5.3,5.3,5.2
2022-11-30,2022-12-21,5.3,5.3,5.3
2022-12-31,2023-01-17,5.3,5.2,5.2
2023-01-31,2023-02-21,5.1,5.2,5.2
2023-02-28,2023-03-21,4.8,4.9,4.9
2023-03-31,2023-04-18,4.4,4.4,4.4
2023-04-30,2023-05-16,4.2,4.1,4.1
2023-05-31,2023-06-27,3.8,3.9,3.9
2023-06-30,2023-07-18,3.7,3.6,3.6
2023-07-31,2023-08-15,3.6,3.6,3.6
2023-08-31,2023-09-19,3.9,3.7,3.7
2023-09-30,2023-10-17,3.7,3.8,3.8
2023-10-31,2023-11-21,3.5,3.6,3.6
2023-11-30,2023-12-19,3.5,3.4,3.4
2023-12-31,2024-01-16,3.7,3.4,3.4
2024-01-31,2024-02-20,3.4,3.6,3.6
2024-02-29,2024-03-19,3.2,3.4,3.4
2024-03-31,2024-04-16,3.1,3.2,3.2
2024-04-30,2024-05-21,2.9,2.9,2.9
2024-05-31,2024-06-25,2.9,2.8,2.8
2024-06-30,2024-07-16,2.9,2.8,2.8
2024-07-31,2024-08-20,2.7,2.8,2.8
2024-08-31,2024-09-17,2.4,2.5,2.6
2024-09-30,2024-10-15,2.4,2.5,2.4
2024-10-31,2024-11-19,2.6,2.4,2.4
2024-11-30,2024-12-17,2.7,2.6,2.6
2024-12-31,2025-01-21,2.5,2.5,2.5
2025-01-31,2025-02-18,2.7,2.6,2.6
2025-02-28,2025-03-18,2.9,2.8,2.8
2025-03-31,2025-04-15,2.8,3.0,2.9
2025-04-30,2025-05-20,3.1,2.8,2.8
2025-05-31,2025-06-24,,,
