Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2011-01-31,2011-01-31,5850.729,,
2011-02-28,2011-02-28,6311.536,,
2011-03-31,2011-03-31,6425.236,,
2011-04-30,2011-04-30,5531.941,,
2011-05-31,2011-05-31,6256.771,,
2011-06-30,2011-06-30,6199.002,,
2011-07-31,2011-07-31,6381.265,,
2011-08-31,2011-08-31,6037.978,,
2011-09-30,2011-09-30,5685.879,,
2011-10-31,2011-10-31,6008.423,,
2011-11-30,2011-11-30,6416.696,,
2011-12-31,2011-12-31,6860.195,,
2012-01-31,2012-01-31,6572.082,,
2012-02-29,2012-02-29,6992.873,,
2012-03-31,2012-03-31,6972.455,,
2012-04-30,2012-04-30,6924.081,,
2012-05-31,2012-05-31,6510.579,,
2012-06-30,2012-06-30,6926.354,,
2012-07-31,2012-07-31,6390.196,,
2012-08-31,2012-08-31,7309.07,,
2012-09-30,2012-09-30,6757.604,,
2012-10-31,2012-10-31,6822.642,,
2012-11-30,2012-11-30,6458.595,,
2012-12-31,2012-12-31,6214.156,,
2013-01-31,2013-01-31,6335.019,,
2013-02-28,2013-02-28,6573.05,,
2013-03-31,2013-03-31,6596.805,,
2013-04-30,2013-04-30,6978.641,,
2013-05-31,2013-05-31,6988.038,,
2013-06-30,2013-06-30,6433.579,,
2013-07-31,2013-07-31,7035.731,,
2013-08-31,2013-08-31,6493.313,,
2013-09-30,2013-09-30,6820.764,,
2013-10-31,2013-10-31,6962.882,,
2013-11-30,2013-11-30,6975.741,,
2013-12-31,2013-12-31,6647.337,,
2014-01-31,2014-01-31,7659.878,,
2014-02-28,2014-02-28,7064.939,,
2014-03-31,2014-03-31,6477.292,,
2014-04-30,2014-04-30,6243.434,,
2014-05-31,2014-05-31,6924.044,,
2014-06-30,2014-06-30,7586.248,,
2014-07-31,2014-07-31,7738.34,,
2014-08-31,2014-08-31,6603.317,,
2014-09-30,2014-09-30,7402.272,,
2014-10-31,2014-10-31,7036.631,,
2014-11-30,2014-11-30,7041.794,,
2014-12-31,2014-12-31,7153.89,,
2015-01-31,2015-01-31,6815.967,,
2015-02-28,2015-02-28,6666.775,,
2015-03-31,2015-03-31,7167.944,,
2015-04-30,2015-04-30,7501.763,,
2015-05-31,2015-05-31,6899.525,,
2015-06-30,2015-06-30,7391.646,,
2015-07-31,2015-07-31,7144.693,,
2015-08-31,2015-08-31,7400.763,,
2015-09-30,2015-09-30,7063.946,,
2015-10-31,2015-10-31,7438.832,,
2015-11-30,2015-11-30,6531.148,,
2015-12-31,2015-12-31,7117.038,,
2016-01-31,2016-01-31,6412.009,,
2016-02-29,2016-02-29,7123.839,,
2016-03-31,2016-03-31,6845.495,,
2016-04-30,2016-04-30,7499.468,,
2016-05-31,2016-05-31,6925.608,,
2016-06-30,2016-06-30,6440.058,,
2016-07-31,2016-07-31,6829.726,,
2016-08-31,2016-08-31,7598.999,,
2016-09-30,2016-09-30,7109.285,,
2016-10-31,2016-10-31,8164.666,,
2016-11-30,2016-11-30,7841.382,,
2016-12-31,2016-12-31,7111.214,,
2017-01-31,2017-01-31,7493.913,,
2017-02-28,2017-02-28,7670.174,,
2017-03-31,2017-03-31,7661.541,,
2017-04-30,2017-04-30,7387.478,,
2017-05-31,2017-05-31,8204.226,,
2017-06-30,2017-06-30,8512.774,,
2017-07-31,2017-07-31,8098.489,,
2017-08-31,2017-08-31,7789.137,,
2017-09-30,2017-09-30,8204.849,,
2017-10-31,2017-10-31,8521.681,,
2017-11-30,2017-11-30,7894.862,,
2017-12-31,2017-12-31,7818.531,,
2018-01-31,2018-01-31,8332.584,,
2018-02-28,2018-02-28,8352.147,,
2018-03-31,2018-03-31,8420.193,,
2018-04-30,2018-04-30,8101.601,,
2018-05-31,2018-05-31,8354.88,,
2018-06-30,2018-06-30,8433.815,,
2018-07-31,2018-07-31,8275.401,,
2018-08-31,2018-08-31,7912.106,,
2018-09-30,2018-09-30,8164.56,,
2018-10-31,2018-10-31,8280.514,,
2018-11-30,2018-11-30,8461.528,,
2018-12-31,2018-12-31,8683.503,,
2019-01-31,2019-01-31,8031.744,,
2019-02-28,2019-02-28,7869.014,,
2019-03-31,2019-03-31,8449.121,,
2019-04-30,2019-04-30,9399.703,,
2019-05-31,2019-05-31,8784.223,,
2019-06-30,2019-06-30,8257.355,,
2019-07-31,2019-07-31,8759.845,,
2019-08-31,2019-08-31,9293.231,,
2019-09-30,2019-09-30,8398.04,,
2019-10-31,2019-10-31,8633.872,,
2019-11-30,2019-11-30,8083.574,,
2019-12-31,2019-12-31,8903.845,,
2020-01-31,2020-01-31,8955.928,,
2020-02-29,2020-02-29,8379.867,,
2020-03-31,2020-03-31,7125.572,,
2020-04-30,2020-04-30,5947.895,,
2020-05-31,2020-05-31,7888.58,,
2020-06-30,2020-06-30,8100.12,,
2020-07-31,2020-07-31,8266.043,,
2020-08-31,2020-08-31,8357.089,,
2020-09-30,2020-09-30,9898.772,,
2020-10-31,2020-10-31,9158.976,,
2020-11-30,2020-11-30,9617.611,,
2020-12-31,2020-12-31,9332.127,,
2021-01-31,2021-01-31,10612.048,,
2021-02-28,2021-02-28,10265.22,,
2021-03-31,2021-03-31,10747.824,,
2021-04-30,2021-04-30,11303.998,,
2021-05-31,2021-05-31,9812.005,,
2021-06-30,2021-06-30,9951.548,,
2021-07-31,2021-07-31,10182.214,,
2021-08-31,2021-08-31,9687.46,,
2021-09-30,2021-09-30,10589.804,,
2021-10-31,2021-10-31,11329.219,,
2021-11-30,2021-11-30,11233.674,,
2021-12-31,2021-12-31,11656.234,,
2022-01-31,2022-01-31,10802.971,,
2022-02-28,2022-02-28,12237.347,,
2022-03-31,2022-03-31,11669.378,,
2022-04-30,2022-04-30,12208.982,,
2022-05-31,2022-05-31,12045.715,,
2022-06-30,2022-06-30,11718.568,,
2022-07-31,2022-07-31,11051.817,,
2022-08-31,2022-08-31,12161.12,,
2022-09-30,2022-09-30,10101.256,,
2022-10-31,2022-10-31,9935.837,,
2022-11-30,2022-11-30,11427.296,,
2022-12-31,2022-12-31,11258.004,,
2023-01-31,2023-01-31,10678.844,,
2023-02-28,2023-02-28,10506.177,,
2023-03-31,2023-03-31,12110.713,,
2023-04-30,2023-04-30,9577.323,,
2023-05-31,2023-05-31,11105.076,,
2023-06-30,2023-06-30,13247.302,,
2023-07-31,2023-07-31,11459.619,,
2023-08-31,2023-08-31,11620.874,,
2023-09-30,2023-09-30,11574.57,,
2023-10-31,2023-10-31,11362.003,,
2023-11-30,2023-11-30,11604.077,,
2023-12-31,2023-12-31,9944.211,,
2024-01-31,2024-01-31,11004.011,,
2024-02-29,2024-02-29,12137.426,,
2024-03-31,2024-03-31,11196.024,,
2024-04-30,2024-04-30,13617.078,,
2024-05-31,2024-05-31,12130.379,,
2024-06-30,2024-06-30,10760.755,,
2024-07-31,2024-07-31,12472.074,,
2024-08-31,2024-08-31,11843.088,,
2024-09-30,2024-09-30,13202.017,,
2024-10-31,2024-10-31,12605.522,,
2024-11-30,2024-11-30,12096.925,,
2024-12-31,2024-12-31,13311.261,,
2025-01-31,2025-01-31,12805.781,,
2025-02-28,2025-02-28,13429.762,,
2025-03-31,2025-03-31,12880.313,,
