Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-05,4.3,0.8,0.6
2003-07-31,2003-09-08,3.3,-0.5,-0.1
2003-08-31,2003-10-06,-13.4,0.0,-0.3
2003-09-30,2003-11-04,8.0,5.0,5.1
2003-10-31,2003-12-04,-4.9,-1.0,-0.4
2003-11-30,2004-01-12,-3.9,2.0,0.8
2003-12-31,2004-02-05,12.8,1.0,1.0
2004-01-31,2004-03-04,-0.9,-4.3,-5.2
2004-02-29,2004-04-06,1.6,0.0,0.1
2004-03-31,2004-05-06,-4.2,1.2,1.4
2004-04-30,2004-06-07,6.3,2.2,2.4
2004-05-31,2004-07-07,-9.5,-1.5,-1.1
2004-06-30,2004-08-09,27.1,4.8,4.3
2004-07-31,2004-09-07,-11.4,-12.0,-12.0
2004-08-31,2004-10-06,-4.6,1.5,1.3
2004-09-30,2004-11-04,-3.3,1.5,2.2
2004-10-31,2004-12-06,2.0,0.0,-0.3
2004-11-30,2005-01-10,9.3,0.5,0.1
2004-12-31,2005-02-07,1.6,-4.5,-4.8
2005-01-31,2005-03-07,-11.0,-2.0,-1.6
2005-02-28,2005-04-06,13.5,4.0,3.3
2005-03-31,2005-05-05,4.9,-4.0,-3.8
2005-04-30,2005-06-06,-2.6,-1.3,-1.9
2005-05-31,2005-07-07,-2.1,-0.5,-0.7
2005-06-30,2005-08-08,1.5,2.0,1.5
2005-07-31,2005-09-07,-3.0,1.0,0.5
2005-08-31,2005-10-06,10.2,0.0,-1.2
2005-09-30,2005-11-07,-5.3,-5.0,-4.1
2005-10-31,2005-12-06,1.2,0.0,0.0
2005-11-30,2006-01-10,-5.7,0.8,0.3
2005-12-31,2006-02-06,27.4,2.0,2.2
2006-01-31,2006-03-06,-19.3,-15.5,-16.3
2006-02-28,2006-04-06,3.6,0.2,0.4
2006-03-31,2006-05-04,5.3,2.0,2.0
2006-04-30,2006-06-06,-10.6,-2.9,-1.9
2006-05-31,2006-07-06,6.9,2.0,2.3
2006-06-30,2006-08-08,-1.4,-2.0,-1.6
2006-07-31,2006-09-07,-2.3,-2.3,-2.1
2006-08-31,2006-10-05,8.3,1.0,0.2
2006-09-30,2006-11-06,-2.5,-3.8,-4.2
2006-10-31,2006-12-06,6.1,-1.5,-1.6
2006-11-30,2007-01-10,3.0,-2.5,-2.4
2006-12-31,2007-02-06,-7.8,-2.0,-2.3
2007-01-31,2007-03-06,11.3,1.8,1.9
2007-02-28,2007-04-04,-22.4,-6.5,-7.1
2007-03-31,2007-05-07,27.4,5.0,5.6
2007-04-30,2007-06-06,-8.4,-3.0,-2.7
2007-05-31,2007-07-05,21.4,5.5,4.7
2007-06-30,2007-08-03,-0.4,-9.7,-8.9
2007-07-31,2007-09-06,-11.3,-3.3,-4.1
2007-08-31,2007-10-04,1.4,1.6,1.2
2007-09-30,2007-11-06,-1.7,1.8,1.8
2007-10-31,2007-12-06,6.8,0.8,-0.2
2007-11-30,2008-01-10,-9.9,-2.0,-2.3
2007-12-31,2008-02-06,0.4,0.0,-0.2
2008-01-31,2008-03-06,-2.9,1.0,0.1
2008-02-29,2008-04-07,-1.0,1.3,1.4
2008-03-31,2008-05-06,-4.5,1.2,1.1
2008-04-30,2008-06-05,14.5,0.5,0.5
2008-05-31,2008-07-07,1.1,-5.8,-6.2
2008-06-30,2008-08-07,-5.3,-1.0,-2.5
2008-07-31,2008-09-08,1.8,-1.8,-1.6
2008-08-31,2008-10-06,-13.5,-1.5,-1.5
2008-09-30,2008-11-06,13.4,-1.0,-0.9
2008-10-31,2008-12-04,-15.7,-6.0,-6.4
2008-11-30,2009-01-09,-11.8,-5.0,-3.6
2008-12-31,2009-02-05,-3.9,-5.0,-4.9
2009-01-31,2009-03-05,-4.6,-5.0,-5.1
2009-02-28,2009-04-06,-15.9,-4.0,-4.4
2009-03-31,2009-05-06,23.5,2.3,2.1
2009-04-30,2009-06-04,-5.4,-8.1,-8.9
2009-05-31,2009-07-07,14.8,0.8,0.7
2009-06-30,2009-08-06,1.0,-3.0,-2.7
2009-07-31,2009-09-08,-11.4,0.4,-0.1
2009-08-31,2009-10-06,7.2,5.0,7.7
2009-09-30,2009-11-05,1.6,1.6,1.5
2009-10-31,2009-12-07,18.0,1.0,1.5
2009-11-30,2010-01-11,-4.6,-3.3,-2.5
2009-12-31,2010-02-04,2.4,2.5,2.6
2010-01-31,2010-03-04,-4.9,0.8,0.6
2010-02-28,2010-04-07,-0.5,2.1,2.4
2010-03-31,2010-05-06,12.2,0.7,0.8
2010-04-30,2010-06-04,5.4,-2.0,-2.6
2010-05-31,2010-07-06,-10.8,-2.0,-2.5
2010-06-30,2010-08-05,6.5,1.8,0.9
2010-07-31,2010-09-08,-3.3,-4.9,-4.8
2010-08-31,2010-10-07,-9.2,-2.0,-1.9
2010-09-30,2010-11-05,15.3,2.5,2.2
2010-10-31,2010-12-06,-6.5,-4.0,-4.3
2010-11-30,2011-01-10,-11.2,1.5,1.1
2010-12-31,2011-02-07,2.4,2.5,1.4
2011-01-31,2011-03-07,-5.1,0.3,-0.3
2011-02-28,2011-04-07,9.9,1.3,0.8
2011-03-31,2011-05-05,17.2,-2.5,-3.3
2011-04-30,2011-06-06,-21.1,-7.5,-7.8
2011-05-31,2011-07-06,20.9,5.0,5.4
2011-06-30,2011-08-05,2.1,-5.0,-5.5
2011-07-31,2011-09-08,-0.6,-1.5,-1.2
2011-08-31,2011-10-06,-10.4,0.3,-0.5
2011-09-30,2011-11-04,-4.9,2.6,2.6
2011-10-31,2011-12-06,11.9,1.6,2.2
2011-11-30,2012-01-09,-3.6,-5.0,-4.5
2011-12-31,2012-02-07,11.1,1.0,0.1
2012-01-31,2012-03-07,-12.3,-3.2,-2.8
2012-02-29,2012-04-05,7.5,2.0,2.3
2012-03-31,2012-05-07,4.7,-1.5,-1.3
2012-04-30,2012-06-05,-5.2,-1.5,-2.1
2012-05-31,2012-07-06,7.4,-1.0,0.8
2012-06-30,2012-08-07,-2.5,-3.9,-3.7
2012-07-31,2012-09-07,-2.3,-1.0,-0.9
2012-08-31,2012-10-05,7.9,-1.3,-1.6
2012-09-30,2012-11-05,-13.2,-3.0,-3.8
2012-10-31,2012-12-06,15.0,2.3,2.2
2012-11-30,2013-01-10,-17.9,-5.0,-6.1
2012-12-31,2013-02-07,-11.2,5.0,4.2
2013-01-31,2013-03-07,1.7,5.3,5.6
2013-02-28,2013-04-09,1.7,3.0,2.7
2013-03-31,2013-05-06,8.6,1.3,1.7
2013-04-30,2013-06-05,10.5,-3.0,-2.9
2013-05-31,2013-07-08,4.5,-5.2,-6.0
2013-06-30,2013-08-07,-10.3,-2.8,-2.4
2013-07-31,2013-09-09,20.7,3.5,2.8
2013-08-31,2013-10-07,-21.2,-7.4,-7.1
2013-09-30,2013-11-06,1.7,6.0,6.2
2013-10-31,2013-12-05,7.4,1.0,1.7
2013-11-30,2014-01-09,-6.7,-2.7,-3.3
2013-12-31,2014-02-05,-4.1,1.5,1.0
