Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2008-12-31,2009-01-12,75.8,55.0,54.75
2009-03-31,2009-04-13,60.3,,
2009-06-30,2009-07-13,33.4,,
2009-09-30,2009-10-09,6.7,,
2009-12-31,2010-01-11,-8.7,,
2010-03-31,2010-04-12,-18.700001,,
2010-06-30,2010-07-12,-24.8,,
2010-09-30,2010-10-08,-22.26,,
2010-12-31,2011-01-10,-36.380001,,
2011-03-31,2011-04-04,-31.700001,,
2011-06-30,2011-07-11,-49.6,,
2011-09-30,2011-10-17,-26.9,,
2011-12-31,2012-01-09,-6.33,,
2012-03-31,2012-04-09,-16.88,,
2012-06-30,2012-07-09,-10.8,,
2012-09-30,2012-10-15,-15.8,-12.0,-11.766667
2012-12-31,2013-01-14,-3.4,,
2013-03-31,2013-04-08,-5.79,,
2013-06-30,2013-07-08,-12.7,-5.0,-4.333333
2013-09-30,2013-10-11,-7.34,,
2013-12-31,2014-01-13,-10.84,,
2014-03-31,2014-04-07,-10.9,,
2014-06-30,2014-07-07,-12.8,,
2014-09-30,2014-10-10,-10.3,,
2014-12-31,2015-01-12,-2.7,,
2015-03-31,2015-04-06,6.66,-1.0,1.333333
2015-06-30,2015-07-06,1.4,,
2015-09-30,2015-10-09,4.4,,
2015-12-31,2016-01-11,5.6,,
2016-03-31,2016-04-01,6.6,,
2016-06-30,2016-07-04,23.9,,
2016-09-30,2016-10-07,3.3,,
2016-12-31,2017-01-09,-2.6,,
2017-03-31,2017-04-03,-1.9,,
2017-06-30,2017-06-30,2.1,,
2017-09-30,2017-10-16,-0.5,,
2017-12-31,2018-01-08,-6.4,,
2018-03-31,2018-04-09,-5.2,,
2018-06-30,2018-06-29,-8.9,,
2018-09-30,2018-10-15,-10.94,,
2018-12-31,2018-12-21,-16.0,,
2019-03-31,2019-04-15,-2.7,,
2019-06-30,2019-06-28,-5.76,,
2019-09-30,2019-10-22,1.9,,
