Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2008-06-30,2008-07-07,3.96,,
2008-09-30,2008-10-10,3.0,,
2008-12-31,2009-01-12,-34.0,-5.0,-4.25
2009-03-31,2009-04-13,-22.0,,
2009-06-30,2009-07-13,38.0,,
2009-09-30,2009-10-09,53.0,34.0,33.0
2009-12-31,2010-01-11,49.0,,
2010-03-31,2010-04-12,44.0,,
2010-06-30,2010-07-12,25.0,35.5,37.75
2010-09-30,2010-10-08,29.0,,
2010-12-31,2011-01-10,22.0,,
2011-03-31,2011-04-04,13.0,26.5,27.0
2011-06-30,2011-07-11,20.0,18.0,17.67
2011-09-30,2011-10-17,6.0,,
2011-12-31,2012-01-09,-4.0,8.0,9.0
2012-03-31,2012-04-09,35.0,,
2012-06-30,2012-07-09,15.0,15.0,18.33
2012-09-30,2012-10-15,0.0,13.25,12.88
2012-12-31,2013-01-14,16.0,10.0,8.33
2013-03-31,2013-04-08,24.0,15.0,15.8
2013-06-30,2013-07-08,9.0,30.0,25.0
2013-09-30,2013-10-11,31.0,,
2013-12-31,2014-01-13,29.0,20.0,26.0
2014-03-31,2014-04-07,27.0,31.0,31.33
2014-06-30,2014-07-07,24.0,30.0,30.67
2014-09-30,2014-10-10,35.0,28.0,28.0
2014-12-31,2015-01-12,8.0,29.0,29.0
2015-03-31,2015-04-06,4.0,0.0,1.6
2015-06-30,2015-07-06,8.0,12.0,11.67
2015-09-30,2015-10-09,16.0,4.0,6.0
2015-12-31,2016-01-11,16.0,10.0,11.8
2016-03-31,2016-04-01,16.0,,
2016-06-30,2016-07-04,5.0,,
2016-09-30,2016-10-07,12.0,,
2016-12-31,2017-01-09,26.0,,
2017-03-31,2017-04-03,21.0,,
2017-06-30,2017-06-30,31.0,,
2017-09-30,2017-10-16,19.0,,
2017-12-31,2018-01-08,8.0,,
2018-03-31,2018-04-09,16.0,,
2018-06-30,2018-06-29,6.0,,
2018-09-30,2018-10-15,15.0,,
2018-12-31,2018-12-21,-1.0,,
2019-03-31,2019-04-15,6.0,,
2019-06-30,2019-06-28,23.0,,
2019-09-30,2019-10-22,23.0,,
2019-12-31,2020-01-13,11.0,,
2020-03-31,2020-04-06,22.0,,
2020-06-30,2020-07-06,-35.0,,
2020-09-30,2020-10-19,39.0,,
2020-12-31,2021-01-11,48.0,,
2021-03-31,2021-04-12,52.0,,
2021-06-30,2021-07-05,47.0,,
2021-09-30,2021-10-18,9.0,,
2021-12-31,2022-01-17,3.0,,
2022-03-31,2022-04-04,-11.0,,
2022-06-30,2022-07-04,-26.0,,
2022-09-30,2022-10-17,-18.0,,
2022-12-31,2023-01-16,-24.0,,
2023-03-31,2023-04-03,-18.0,,
2023-06-30,2023-06-30,-6.0,,
2023-09-30,2023-10-16,14.0,,
2023-12-31,2024-01-15,20.0,,
2024-03-31,2024-04-01,1.0,,
2024-06-30,2024-07-15,1.0,,
2024-09-30,2024-10-11,13.0,,
2024-12-31,2025-01-20,31.0,,
2025-03-31,2025-04-07,13.0,,
