Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-22,-0.1,0.1,0.1
2003-07-31,2003-08-19,0.0,0.2,0.2
2003-08-31,2003-09-23,0.2,0.2,0.2
2003-09-30,2003-10-21,0.3,0.1,0.2
2003-10-31,2003-11-19,0.2,0.3,0.2
2003-11-30,2003-12-19,0.2,0.2,0.1
2003-12-31,2004-01-22,-0.2,-0.2,-0.1
2004-01-31,2004-02-20,0.0,0.1,0.1
2004-02-29,2004-03-18,0.2,0.2,0.2
2004-03-31,2004-04-20,0.3,0.1,0.2
2004-04-30,2004-05-20,0.2,0.1,0.1
2004-05-31,2004-06-22,0.2,0.2,0.3
2004-06-30,2004-07-16,0.1,0.2,0.2
2004-07-31,2004-08-24,0.2,0.2,0.2
2004-08-31,2004-09-17,-0.2,0.2,0.2
2004-09-30,2004-10-26,0.3,0.2,0.2
2004-10-31,2004-11-23,0.0,0.2,0.2
2004-11-30,2004-12-17,0.5,0.2,0.2
2004-12-31,2005-01-19,-0.1,0.0,-0.1
2005-01-31,2005-02-22,-0.1,0.1,0.1
2005-02-28,2005-03-23,0.3,0.3,0.3
2005-03-31,2005-04-22,0.4,0.3,0.3
2005-04-30,2005-05-20,0.0,0.2,0.2
2005-05-31,2005-06-24,0.2,0.2,0.2
2005-06-30,2005-07-22,0.0,0.1,0.1
2005-07-31,2005-08-26,0.0,0.1,0.1
2005-08-31,2005-09-22,0.2,0.1,0.1
2005-09-30,2005-10-25,0.3,0.2,0.2
2005-10-31,2005-11-22,0.0,0.2,0.2
2005-11-30,2005-12-20,0.4,0.3,0.3
2005-12-31,2006-01-18,-0.1,0.0,0.0
2006-01-31,2006-02-22,0.0,-0.1,0.0
2006-02-28,2006-03-16,0.3,0.3,0.3
2006-03-31,2006-04-20,0.4,0.3,0.3
2006-04-30,2006-05-18,-0.1,0.2,0.2
2006-05-31,2006-06-20,0.5,0.2,0.2
2006-06-30,2006-07-21,-0.2,0.1,0.1
2006-07-31,2006-08-22,-0.2,-0.3,-0.3
2006-08-31,2006-09-19,0.2,0.2,0.2
2006-09-30,2006-10-20,0.5,0.3,0.3
2006-10-31,2006-11-22,0.1,0.0,0.0
2006-11-30,2006-12-19,0.3,0.2,0.2
2006-12-31,2007-01-23,-0.2,0.0,0.0
2007-01-31,2007-02-20,0.1,0.1,0.1
2007-02-28,2007-03-20,0.5,0.3,0.3
2007-03-31,2007-04-19,0.3,0.2,0.3
2007-04-30,2007-05-17,0.2,0.1,0.1
2007-05-31,2007-06-19,0.3,0.3,0.3
2007-06-30,2007-07-18,0.0,0.1,0.1
2007-07-31,2007-08-21,0.1,0.1,0.1
2007-08-31,2007-09-19,0.1,0.2,0.2
2007-09-30,2007-10-19,0.4,0.2,0.3
2007-10-31,2007-11-20,-0.2,0.1,0.1
2007-11-30,2007-12-18,0.0,0.2,0.1
2007-12-31,2008-01-25,-0.3,-0.1,-0.1
2008-01-31,2008-02-19,0.1,0.1,0.1
2008-02-29,2008-03-18,0.5,0.3,0.3
2008-03-31,2008-04-17,0.2,0.3,0.3
2008-04-30,2008-05-21,0.3,0.2,0.1
2008-05-31,2008-06-19,0.3,0.3,0.3
2008-06-30,2008-07-23,0.1,0.1,0.1
2008-07-31,2008-08-21,0.1,0.2,0.2
2008-08-31,2008-09-23,0.3,0.1,0.1
2008-09-30,2008-10-24,0.4,0.3,0.2
2008-10-31,2008-11-21,-0.2,0.0,-0.1
2008-11-30,2008-12-19,0.7,-0.1,-0.1
2008-12-31,2009-01-23,-0.4,-0.3,-0.2
2009-01-31,2009-02-20,-0.4,-0.1,-0.1
2009-02-28,2009-03-19,0.5,0.1,0.1
2009-03-31,2009-04-17,0.3,0.2,0.2
2009-04-30,2009-05-20,0.1,0.1,0.1
2009-05-31,2009-06-18,0.4,0.1,0.1
2009-06-30,2009-07-17,0.0,0.0,0.0
2009-07-31,2009-08-19,0.0,0.1,0.0
2009-08-31,2009-09-17,0.1,0.1,0.1
