Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-22,2.1,2.3,2.3
2003-07-31,2003-08-19,1.8,2.0,2.0
2003-08-31,2003-09-23,1.5,1.5,1.5
2003-09-30,2003-10-21,1.7,1.5,1.5
2003-10-31,2003-11-19,1.8,1.7,1.8
2003-11-30,2003-12-19,1.8,1.7,1.7
2003-12-31,2004-01-22,2.2,2.2,2.2
2004-01-31,2004-02-20,1.5,1.6,1.6
2004-02-29,2004-03-18,1.1,1.2,1.2
2004-03-31,2004-04-20,1.3,1.1,1.1
2004-04-30,2004-05-20,1.8,1.7,1.7
2004-05-31,2004-06-22,1.5,1.5,1.5
2004-06-30,2004-07-16,1.7,1.8,1.8
2004-07-31,2004-08-24,1.9,1.8,1.8
2004-08-31,2004-09-17,1.5,1.9,1.9
2004-09-30,2004-10-26,1.5,1.4,1.4
2004-10-31,2004-11-23,1.4,1.5,1.6
2004-11-30,2004-12-17,1.6,1.3,1.3
2004-12-31,2005-01-19,1.7,1.7,1.6
2005-01-31,2005-02-22,1.6,1.8,1.8
2005-02-28,2005-03-23,1.8,1.7,1.7
2005-03-31,2005-04-22,1.9,1.8,1.8
2005-04-30,2005-05-20,1.7,1.9,1.9
2005-05-31,2005-06-24,1.6,1.7,1.7
2005-06-30,2005-07-22,1.5,1.6,1.6
2005-07-31,2005-08-26,1.4,1.5,1.5
2005-08-31,2005-09-22,1.7,1.6,1.6
2005-09-30,2005-10-25,1.7,1.7,1.6
2005-10-31,2005-11-22,1.7,1.8,1.8
2005-11-30,2005-12-20,1.6,1.5,1.5
2005-12-31,2006-01-18,1.6,1.7,1.7
2006-01-31,2006-02-22,1.7,1.7,1.7
2006-02-28,2006-03-16,1.7,1.7,1.7
2006-03-31,2006-04-20,1.7,1.6,1.6
2006-04-30,2006-05-18,1.6,1.8,1.8
2006-05-31,2006-06-20,2.0,1.7,1.7
2006-06-30,2006-07-21,1.7,2.1,2.1
2006-07-31,2006-08-22,1.5,1.4,1.4
2006-08-31,2006-09-19,1.5,1.5,1.5
2006-09-30,2006-10-20,1.7,1.5,1.5
2006-10-31,2006-11-22,2.3,2.3,2.2
2006-11-30,2006-12-19,2.2,2.1,2.1
2006-12-31,2007-01-23,2.0,2.3,2.3
2007-01-31,2007-02-20,2.1,2.1,2.1
2007-02-28,2007-03-20,2.4,2.1,2.1
2007-03-31,2007-04-19,2.3,2.3,2.2
2007-04-30,2007-05-17,2.5,2.4,2.4
2007-05-31,2007-06-19,2.2,2.3,2.2
2007-06-30,2007-07-18,2.5,2.6,2.6
2007-07-31,2007-08-21,2.3,2.3,2.3
2007-08-31,2007-09-19,2.2,2.3,2.3
2007-09-30,2007-10-19,2.0,1.9,1.9
2007-10-31,2007-11-20,1.8,2.0,2.0
2007-11-30,2007-12-18,1.6,1.8,1.7
2007-12-31,2008-01-25,1.5,1.7,1.7
2008-01-31,2008-02-19,1.4,1.4,1.4
2008-02-29,2008-03-18,1.5,1.2,1.2
2008-03-31,2008-04-17,1.3,1.4,1.4
2008-04-30,2008-05-21,1.5,1.3,1.3
2008-05-31,2008-06-19,1.5,1.5,1.5
2008-06-30,2008-07-23,1.5,1.6,1.6
2008-07-31,2008-08-21,1.5,1.6,1.6
2008-08-31,2008-09-23,1.7,1.5,1.5
2008-09-30,2008-10-24,1.7,1.7,1.7
2008-10-31,2008-11-21,1.7,1.9,1.9
2008-11-30,2008-12-19,2.4,1.6,1.7
2008-12-31,2009-01-23,2.4,2.4,2.4
2009-01-31,2009-02-20,1.9,2.2,2.2
