Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-09-10,81.2,81.9,81.9
2003-09-30,2003-12-10,81.2,81.0,81.1
2003-12-31,2004-03-11,82.9,81.7,81.8
2004-03-31,2004-06-10,83.5,83.1,83.2
2004-06-30,2004-09-09,84.6,84.1,84.2
2004-09-30,2004-12-10,85.7,85.0,85.2
2004-12-31,2005-03-10,86.0,85.6,85.6
2005-03-31,2005-06-09,86.4,85.8,85.7
2005-06-30,2005-09-08,86.7,86.4,86.2
2005-09-30,2005-12-09,86.9,87.2,87.3
2005-12-31,2006-03-13,86.3,87.1,87.1
2006-03-31,2006-06-12,85.9,86.1,86.1
2006-06-30,2006-09-11,85.5,85.3,85.3
2006-09-30,2006-12-13,84.2,85.2,85.2
2006-12-31,2007-03-14,82.5,83.5,83.5
2007-03-31,2007-06-11,83.0,83.0,83.2
2007-06-30,2007-09-13,83.0,83.2,83.2
2007-09-30,2007-12-14,82.7,82.5,82.6
2007-12-31,2008-03-13,81.8,82.0,82.1
2008-03-31,2008-06-11,79.8,80.8,80.8
2008-06-30,2008-09-12,78.9,78.8,78.9
2008-09-30,2008-12-12,77.4,78.3,78.4
2008-12-31,2009-03-16,74.7,75.0,75.4
2009-03-31,2009-06-11,69.3,71.5,71.4
2009-06-30,2009-09-14,67.4,65.5,65.7
2009-09-30,2009-12-14,67.5,67.0,67.4
2009-12-31,2010-03-11,70.9,70.0,70.0
2010-03-31,2010-06-11,74.2,73.2,73.3
2010-06-30,2010-09-14,76.0,75.7,75.5
2010-09-30,2010-12-13,78.1,76.5,76.4
2010-12-31,2011-03-14,76.4,79.0,79.0
2011-03-31,2011-06-14,79.0,77.2,77.4
2011-06-30,2011-09-14,78.4,78.0,78.1
2011-09-30,2011-12-15,81.3,79.0,79.3
2011-12-31,2012-03-14,80.5,81.6,81.6
2012-03-31,2012-06-14,80.7,80.5,80.4
2012-06-30,2012-09-13,81.0,81.1,81.1
2012-09-30,2012-12-13,80.9,80.5,80.5
2012-12-31,2013-03-14,80.7,80.7,80.8
2013-03-31,2013-06-13,81.1,81.5,81.5
2013-06-30,2013-09-13,80.6,80.6,80.8
2013-09-30,2013-12-12,81.7,81.0,81.1
2013-12-31,2014-03-13,82.0,82.2,82.2
2014-03-31,2014-06-12,82.5,82.4,82.3
2014-06-30,2014-09-10,82.7,82.9,83.0
2014-09-30,2014-12-11,83.4,83.0,83.0
2014-12-31,2015-03-12,83.6,83.6,83.5
2015-03-31,2015-06-11,82.7,83.0,83.0
2015-06-30,2015-09-10,81.3,81.7,81.7
2015-09-30,2015-12-10,82.0,82.0,81.9
2015-12-31,2016-03-10,81.1,81.7,81.8
2016-03-31,2016-06-09,81.4,81.3,81.3
2016-06-30,2016-09-08,80.0,79.6,79.5
2016-09-30,2016-12-08,81.9,81.5,81.5
2016-12-31,2017-03-09,82.2,82.5,82.4
2017-03-31,2017-06-09,83.3,83.5,83.4
2017-06-30,2017-09-08,85.0,85.0,84.8
2017-09-30,2017-12-08,85.0,,
2017-12-31,2018-03-09,86.0,85.2,85.2
2018-03-31,2018-06-08,86.1,86.4,86.3
2018-06-30,2018-09-12,85.5,86.9,86.6
2018-09-30,2018-12-12,82.6,86.0,86.0
2018-12-31,2019-03-08,81.7,82.0,82.1
2019-03-31,2019-06-07,80.9,81.0,81.0
2019-06-30,2019-09-11,83.3,82.0,82.1
2019-09-30,2019-12-11,81.7,82.1,82.3
2019-12-31,2020-03-11,81.2,81.1,81.2
2020-03-31,2020-06-12,79.8,80.0,80.0
2020-06-30,2020-09-11,70.3,70.7,71.9
2020-09-30,2020-12-11,76.5,78.0,76.4
2020-12-31,2021-03-12,79.2,77.8,77.4
2021-03-31,2021-06-11,81.7,80.5,80.3
2021-06-30,2021-09-10,82.0,81.3,81.4
2021-09-30,2021-12-10,81.4,83.0,82.8
2021-12-31,2022-03-11,82.9,81.9,81.8
2022-03-31,2022-06-10,82.0,83.1,83.0
2022-06-30,2022-09-09,83.8,,
2022-09-30,2022-12-09,82.6,82.2,78.3
2022-12-31,2023-03-10,81.7,,
2023-03-31,2023-06-09,81.9,82.0,82.1
2023-06-30,2023-09-08,81.4,82.5,82.6
2023-09-30,2023-12-08,79.7,81.4,81.3
2023-12-31,2024-03-08,78.7,80.0,80.5
2024-03-31,2024-06-07,78.5,78.8,78.7
2024-06-30,2024-09-13,79.1,78.8,78.9
2024-09-30,2024-12-13,79.3,78.9,79.0
2024-12-31,2025-03-07,79.8,79.3,79.2
2025-03-31,2025-06-13,,79.8,79.7
