Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-22,0.1,0.2,0.2
2003-07-31,2003-08-19,0.1,0.2,0.2
2003-08-31,2003-09-23,0.2,0.4,0.3
2003-09-30,2003-10-21,0.2,0.2,0.1
2003-10-31,2003-11-19,-0.2,-0.1,-0.1
2003-11-30,2003-12-19,0.2,0.1,0.0
2003-12-31,2004-01-22,0.1,0.0,0.0
2004-01-31,2004-02-20,0.1,0.2,0.2
2004-02-29,2004-03-18,0.2,0.3,0.4
2004-03-31,2004-04-20,0.3,0.4,0.4
2004-04-30,2004-05-20,0.2,0.3,0.3
2004-05-31,2004-06-22,0.9,0.6,0.6
2004-06-30,2004-07-16,0.1,0.1,0.1
2004-07-31,2004-08-24,-0.1,0.1,0.1
2004-08-31,2004-09-17,-0.2,0.1,0.1
2004-09-30,2004-10-26,0.1,0.2,0.1
2004-10-31,2004-11-23,0.2,0.3,0.4
2004-11-30,2004-12-17,0.4,0.1,0.2
2004-12-31,2005-01-19,-0.2,-0.1,-0.1
2005-01-31,2005-02-22,-0.1,0.1,0.2
2005-02-28,2005-03-23,0.4,0.4,0.4
2005-03-31,2005-04-22,0.6,0.5,0.5
2005-04-30,2005-05-20,0.3,0.3,0.3
2005-05-31,2005-06-24,0.1,0.2,0.2
2005-06-30,2005-07-22,0.2,0.3,0.3
2005-07-31,2005-08-26,0.2,0.3,0.3
2005-08-31,2005-09-22,0.4,0.5,0.4
2005-09-30,2005-10-25,0.9,0.8,0.8
2005-10-31,2005-11-22,-0.5,-0.2,-0.2
2005-11-30,2005-12-20,-0.2,-0.2,-0.2
2005-12-31,2006-01-18,-0.1,0.1,0.1
2006-01-31,2006-02-22,0.5,0.4,0.3
2006-02-28,2006-03-16,-0.2,0.0,0.0
2006-03-31,2006-04-20,0.5,0.4,0.4
2006-04-30,2006-05-18,0.5,0.5,0.5
2006-05-31,2006-06-20,0.5,0.3,0.3
2006-06-30,2006-07-21,-0.2,0.1,0.1
2006-07-31,2006-08-22,0.1,-0.2,-0.2
2006-08-31,2006-09-19,0.2,0.1,0.1
2006-09-30,2006-10-20,-0.5,-0.3,-0.3
2006-10-31,2006-11-22,-0.2,-0.2,-0.3
2006-11-30,2006-12-19,0.2,0.3,0.3
2006-12-31,2007-01-23,0.2,0.2,0.2
2007-01-31,2007-02-20,0.1,0.1,0.0
2007-02-28,2007-03-20,0.7,0.3,0.3
2007-03-31,2007-04-19,0.8,0.6,0.7
2007-04-30,2007-05-17,0.4,0.3,0.3
2007-05-31,2007-06-19,0.4,0.4,0.4
2007-06-30,2007-07-18,-0.2,0.1,0.1
2007-07-31,2007-08-21,0.1,0.1,0.1
2007-08-31,2007-09-19,-0.3,0.1,0.0
2007-09-30,2007-10-19,0.2,0.2,0.2
2007-10-31,2007-11-20,-0.3,0.1,0.1
2007-11-30,2007-12-18,0.3,0.2,0.2
2007-12-31,2008-01-25,0.1,0.1,0.1
2008-01-31,2008-02-19,-0.2,-0.1,-0.2
2008-02-29,2008-03-18,0.4,0.3,0.3
2008-03-31,2008-04-17,0.4,0.5,0.5
2008-04-30,2008-05-21,0.8,0.4,0.5
2008-05-31,2008-06-19,1.0,0.6,0.6
2008-06-30,2008-07-23,0.7,0.5,0.5
2008-07-31,2008-08-21,0.3,0.4,0.3
2008-08-31,2008-09-23,-0.2,-0.2,-0.2
2008-09-30,2008-10-24,0.1,0.0,0.0
2008-10-31,2008-11-21,-1.0,-0.6,-0.6
2008-11-30,2008-12-19,-0.3,-0.8,-0.7
2008-12-31,2009-01-23,-0.7,-0.4,-0.5
2009-01-31,2009-02-20,-0.3,-0.2,-0.1
2009-02-28,2009-03-19,0.7,0.3,0.2
2009-03-31,2009-04-17,0.2,0.3,0.3
2009-04-30,2009-05-20,-0.1,0.2,0.2
2009-05-31,2009-06-18,0.7,0.4,0.3
2009-06-30,2009-07-17,0.3,0.3,0.3
2009-07-31,2009-08-19,-0.3,-0.2,-0.1
2009-08-31,2009-09-17,0.0,0.1,0.1
2009-09-30,2009-10-16,0.0,0.1,0.0
2009-10-31,2009-11-18,-0.1,0.1,0.0
2009-11-30,2009-12-17,0.5,0.3,0.3
2009-12-31,2010-01-20,-0.3,-0.1,-0.1
2010-01-31,2010-02-18,0.3,0.3,0.2
2010-02-28,2010-03-19,0.4,0.3,0.3
2010-03-31,2010-04-23,0.0,0.2,0.2
2010-04-30,2010-05-21,0.3,0.2,0.3
2010-05-31,2010-06-22,0.3,0.2,0.2
2010-06-30,2010-07-23,-0.1,0.0,0.0
2010-07-31,2010-08-20,0.5,0.6,0.5
2010-08-31,2010-09-21,-0.1,0.0,0.0
2010-09-30,2010-10-22,0.2,0.1,0.2
2010-10-31,2010-11-23,0.4,0.2,0.1
2010-11-30,2010-12-21,0.1,0.3,0.3
2010-12-31,2011-01-25,0.0,0.1,0.1
2011-01-31,2011-02-18,0.3,0.3,0.3
2011-02-28,2011-03-18,0.3,0.4,0.4
2011-03-31,2011-04-19,1.1,0.6,0.6
2011-04-30,2011-05-20,0.3,0.5,0.5
2011-05-31,2011-06-29,0.7,0.3,0.3
2011-06-30,2011-07-22,-0.7,-0.2,-0.2
2011-07-31,2011-08-19,0.2,0.2,0.2
2011-08-31,2011-09-21,0.3,0.1,0.0
2011-09-30,2011-10-21,0.2,0.2,0.1
2011-10-31,2011-11-18,0.2,0.1,0.1
2011-11-30,2011-12-20,0.1,0.1,0.1
2011-12-31,2012-01-20,-0.6,-0.2,-0.2
2012-01-31,2012-02-17,0.4,0.3,0.3
2012-02-29,2012-03-23,0.4,0.4,0.5
2012-03-31,2012-04-20,0.4,0.5,0.5
2012-04-30,2012-05-18,0.4,0.3,0.3
2012-05-31,2012-06-22,-0.1,0.1,0.1
2012-06-30,2012-07-20,-0.4,-0.2,-0.2
2012-07-31,2012-08-17,-0.1,0.2,0.2
2012-08-31,2012-09-21,0.2,0.3,0.3
2012-09-30,2012-10-19,0.2,0.3,0.3
2012-10-31,2012-11-23,0.2,0.1,0.1
2012-11-30,2012-12-21,-0.2,0.0,0.0
2012-12-31,2013-01-25,-0.6,-0.2,-0.2
2013-01-31,2013-02-22,0.1,0.2,0.2
2013-02-28,2013-03-27,1.2,0.7,0.6
2013-03-31,2013-04-19,0.2,0.3,0.3
2013-04-30,2013-05-17,-0.2,0.0,0.1
2013-05-31,2013-06-21,0.2,0.4,0.4
