Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-28,5.1,4.2,4.106
2003-09-30,2003-11-27,7.3,6.0,6.066
2003-12-31,2004-02-26,6.7,6.8,6.773
2004-03-31,2004-05-28,9.5,8.0,8.017
2004-06-30,2004-08-30,10.4,13.1,12.955
2004-09-30,2004-11-29,9.4,8.85,8.796
2004-12-31,2005-02-25,6.3,7.55,7.7
2005-03-31,2005-05-30,4.0,3.4,3.646
2005-06-30,2005-08-30,4.7,5.0,4.91
2005-09-30,2005-11-29,9.3,9.0,8.758
2005-12-31,2006-02-27,13.3,12.5,12.41
2006-03-31,2006-05-30,10.651,8.35,8.481
2006-06-30,2006-08-30,4.19,6.1,6.259
2006-09-30,2006-11-29,5.1,3.4,3.543
2006-12-31,2007-03-01,2.99,6.2,6.183
2007-03-31,2007-05-30,6.5,7.0,6.895
2007-06-30,2007-08-30,8.4,8.1,8.096
2007-09-30,2007-11-29,1.04,3.2,3.355
2007-12-31,2008-02-29,-0.5,-0.3,-0.376
2008-03-31,2008-05-29,5.56,2.9,2.9
2008-06-30,2008-08-28,6.76,8.0,7.91
2008-09-30,2008-11-28,5.64,5.05,4.738
2008-12-31,2009-02-27,-7.5,-5.0,-5.447
2009-03-31,2009-05-29,-9.1,-10.3,-10.2
2009-06-30,2009-08-28,-11.2,-11.2,-10.926
2009-09-30,2009-11-27,-13.1,-13.35,-13.317
2009-12-31,2010-02-26,-9.8,-8.5,-9.033
2010-03-31,2010-05-28,-7.8,-7.5,-7.538
2010-06-30,2010-08-30,-11.0,-10.7,-10.573
2010-09-30,2010-11-29,-17.5,-15.25,-15.313
2010-12-31,2011-02-28,-11.0,-9.7,-9.5
2011-03-31,2011-05-30,-8.9,-7.2,-6.674
2011-06-30,2011-08-30,-15.3,-13.7,-13.5
2011-09-30,2011-11-29,-12.1,-11.1,-11.088
2011-12-31,2012-03-01,-10.3,-9.6,-9.473
2012-03-31,2012-05-31,-10.3,-10.85,-10.764
2012-06-30,2012-08-30,-16.0,-15.3,-15.121
2012-09-30,2012-11-29,-18.909,-19.3,-18.844
2012-12-31,2013-02-28,-17.259,-17.0,-17.144
2013-03-31,2013-05-30,-14.1,-15.6,-15.569
2013-06-30,2013-08-29,-14.6,-14.8,-14.787
2013-09-30,2013-11-28,-15.5,-14.4,-14.335
2013-12-31,2014-02-27,-16.0,-17.0,-16.777
2014-03-31,2014-05-29,-12.4,-13.0,-13.153
2014-06-30,2014-08-28,-11.9,-11.5,-11.553
2014-09-30,2014-11-27,-8.4,-11.2,-11.215
2014-12-31,2015-03-02,-13.9,-12.5,-12.557
2015-03-31,2015-05-28,-17.47,-18.6,-18.55
2015-06-30,2015-08-31,-17.4,-16.9,-16.627
2015-09-30,2015-11-30,-16.21,-15.2,-15.554
2015-12-31,2016-02-29,-15.38,-15.55,-15.728
2016-03-31,2016-05-30,-16.77,-16.8,-16.856
2016-06-30,2016-08-30,-19.86,-20.2,-19.517
2016-09-30,2016-11-29,-18.3,-16.5,-16.86
2016-12-31,2017-03-01,-10.73,-9.75,-10.483
2017-03-31,2017-05-30,-14.05,-12.0,-12.358
2017-06-30,2017-08-30,-16.32,-17.4,-17.088
2017-09-30,2017-11-30,-19.35,-20.0,-19.9
2017-12-31,2018-03-01,-16.35,-17.645,-17.986
2018-03-31,2018-05-30,-19.5,-18.2,-18.146
2018-06-30,2018-08-29,-15.88,-15.3,-15.344
2018-09-30,2018-11-29,-10.34,-12.0,-11.771
2018-12-31,2019-02-28,-15.48,-13.25,-13.395
2019-03-31,2019-05-30,-17.35,-18.1,-18.01
2019-06-30,2019-08-29,-6.38,-9.75,-9.989
2019-09-30,2019-11-28,-9.86,-10.0,-9.699
2019-12-31,2020-02-27,-8.76,-8.955,-9.044
2020-03-31,2020-05-28,-11.1,-10.01,-10.33
2020-06-30,2020-08-27,-8.626,-12.2,-11.691
2020-09-30,2020-11-30,-7.528,-9.0,-8.981
2020-12-31,2021-03-01,-7.261,-8.0,-8.599
2021-03-31,2021-05-31,1.184,2.5,0.038
2021-06-30,2021-08-30,3.581,0.5,-0.4
2021-09-30,2021-11-29,1.369,5.7,5.299
2021-12-31,2022-02-28,-0.797,2.2,1.861
2022-03-31,2022-05-30,5.026,3.25,3.692
2022-06-30,2022-08-30,2.69,6.8,7.534
2022-09-30,2022-11-28,-11.1,-4.0,-2.814
2022-12-31,2023-02-27,-10.64,-11.0,-10.498
2023-03-31,2023-05-30,-6.17,-9.5,-9.033
2023-06-30,2023-08-31,-6.63,-11.45,-10.743
2023-09-30,2023-11-29,-3.223,1.0,0.345
2023-12-31,2024-02-28,-1.62,-1.97,-1.949
2024-03-31,2024-05-30,-5.37,-5.4,-3.857
2024-06-30,2024-08-29,-8.477,-6.0,-6.123
2024-09-30,2024-11-28,-3.23,-8.73,-8.395
2024-12-31,2025-02-27,-4.991,-3.1,-3.804
2025-03-31,2025-05-29,-2.127,-3.24,-4.038
