Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,31.39,,
2003-07-31,2003-07-31,32.615,,
2003-08-31,2003-08-31,31.434,,
2003-09-30,2003-09-30,33.409,,
2003-10-31,2003-10-31,32.6,,
2003-11-30,2003-11-30,32.687,,
2003-12-31,2003-12-31,33.11,,
2004-01-31,2004-01-31,32.048,,
2004-02-29,2004-02-29,34.288,,
2004-03-31,2004-03-31,34.66,,
2004-04-30,2004-04-30,35.98,,
2004-05-31,2004-05-31,36.891,,
2004-06-30,2004-06-30,38.143,,
2004-07-31,2004-07-31,37.44,,
2004-08-31,2004-08-31,37.006,,
2004-09-30,2004-09-30,35.874,,
2004-10-31,2004-10-31,35.852,,
2004-11-30,2004-11-30,34.934,,
2004-12-31,2004-12-31,35.139,,
2005-01-31,2005-01-31,35.502,,
2005-02-28,2005-02-28,35.98,,
2005-03-31,2005-03-31,35.722,,
2005-04-30,2005-04-30,36.306,,
2005-05-31,2005-05-31,36.493,,
2005-06-30,2005-06-30,36.513,,
2005-07-31,2005-07-31,36.732,,
2005-08-31,2005-08-31,37.863,,
2005-09-30,2005-09-30,38.927,,
2005-10-31,2005-10-31,40.274,,
2005-11-30,2005-11-30,39.198,,
2005-12-31,2005-12-31,39.925,,
2006-01-31,2006-01-31,39.125,,
2006-02-28,2006-02-28,36.907,,
2006-03-31,2006-03-31,36.947,,
2006-04-30,2006-04-30,37.428,,
2006-05-31,2006-05-31,36.994,,
2006-06-30,2006-06-30,37.552,,
2006-07-31,2006-07-31,37.801,,
2006-08-31,2006-08-31,37.918,,
2006-09-30,2006-09-30,37.559,,
2006-10-31,2006-10-31,36.524,,
2006-11-30,2006-11-30,37.797,,
2006-12-31,2006-12-31,40.398,,
2007-01-31,2007-01-31,39.669,,
2007-02-28,2007-02-28,39.011,,
2007-03-31,2007-03-31,40.499,,
2007-04-30,2007-04-30,40.705,,
2007-05-31,2007-05-31,39.911,,
2007-06-30,2007-06-30,38.598,,
2007-07-31,2007-07-31,38.044,,
2007-08-31,2007-08-31,38.15,,
2007-09-30,2007-09-30,37.172,,
2007-10-31,2007-10-31,36.715,,
2007-11-30,2007-11-30,37.717,,
2007-12-31,2007-12-31,36.119,,
2008-01-31,2008-01-31,37.7,,
2008-02-29,2008-02-29,39.077,,
2008-03-31,2008-03-31,40.214,,
2008-04-30,2008-04-30,40.932,,
2008-05-31,2008-05-31,43.11,,
2008-06-30,2008-06-30,43.746,,
2008-07-31,2008-07-31,44.625,,
2008-08-31,2008-08-31,43.007,,
2008-09-30,2008-09-30,41.828,,
2008-10-31,2008-10-31,41.727,,
2008-11-30,2008-11-30,38.362,,
2008-12-31,2008-12-31,33.857,,
2009-01-31,2009-01-31,30.62,,
2009-02-28,2009-02-28,32.436,,
2009-03-31,2009-03-31,32.142,,
2009-04-30,2009-04-30,30.411,,
2009-05-31,2009-05-31,27.896,,
2009-06-30,2009-06-30,29.398,,
2009-07-31,2009-07-31,30.814,,
2009-08-31,2009-08-31,29.356,,
2009-09-30,2009-09-30,30.144,,
2009-10-31,2009-10-31,31.104,,
2009-11-30,2009-11-30,31.58,,
2009-12-31,2009-12-31,32.2,,
2010-01-31,2010-01-31,32.415,,
2010-02-28,2010-02-28,33.173,,
2010-03-31,2010-03-31,32.796,,
2010-04-30,2010-04-30,32.958,,
2010-05-31,2010-05-31,33.827,,
2010-06-30,2010-06-30,33.46,,
2010-07-31,2010-07-31,33.112,,
2010-08-31,2010-08-31,34.022,,
2010-09-30,2010-09-30,33.358,,
2010-10-31,2010-10-31,34.284,,
